# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.278
metadata : {}


# id : NWRW1800000032.278.1.1
종편 첫날 간판상품은 ‘박근혜’

종편	종편/NNG
첫날	첫날/NNG
간판상품은	간판/NNG+상품/NNG+은/JX
‘박근혜’	‘/SS+박근혜/NNP+’/SS


# id : NWRW1800000032.278.2.1
4사 인터뷰 잇단 방영…녹음장치 안켜 재녹화한 곳도

4사	4사/NNG
인터뷰	인터뷰/NNG
잇단	잇달/VV+ㄴ/ETM
방영…녹음장치	방영/NNG+…/SE+녹음/NNG+장치/NNG
안켜	안/MAG+켜/VV+어/EC
재녹화한	재/XPN+녹화/NNG+하/XSV+ㄴ/ETM
곳도	곳/NNG+도/JX


# id : NWRW1800000032.278.3.1
1일 개국한 종합편성채널이 일제히 박근혜 전 한나라당 대표의 인터뷰를 밤 황금시간대에 내보냈다.

1일	1/SN+일/NNB
개국한	개국/NNG+하/XSV+ㄴ/ETM
종합편성채널이	종합/NNG+편성/NNG+채널/NNG+이/JKS
일제히	일제히/MAG
박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표의	대표/NNG+의/JKG
인터뷰를	인터뷰/NNG+를/JKO
밤	밤/NNG
황금시간대에	황금/NNG+시간대/NNG+에/JKB
내보냈다.	내보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.278.4.1
종편들은 이날 저녁 8시 <티브이조선>을 시작으로 9시 <엠비엔>, 10시50분 <제이티비시>, 11시50분 <채널에이>까지 잇따라 ‘특집’, ‘특별’이라는 수식어를 달아 박 전 대표 인터뷰를 방영했다.

종편들은	종편/NNG+들/XSN+은/JX
이날	이날/NNG
저녁	저녁/NNG
8시	8/SN+시/NNB
<티브이조선>을	</SS+티브이조선/NNP+>/SS+을/JKO
시작으로	시작/NNG+으로/JKB
9시	9/SN+시/NNB
<엠비엔>,	</SS+엠비엔/NNP+>/SS+,/SP
10시50분	10/SN+시/NNB+50/SN+분/NNB
<제이티비시>,	</SS+제이티비시/NNP+>/SS+,/SP
11시50분	11/SN+시/NNB+50/SN+분/NNB
<채널에이>까지	</SS+채널에이/NNP+>/SS+까지/JX
잇따라	잇따르/VV+아/EC
‘특집’,	‘/SS+특집/NNG+’/SS+,/SP
‘특별’이라는	‘/SS+특별/NNG+’/SS+이/VCP+라는/ETM
수식어를	수식어/NNG+를/JKO
달아	달/VV+아/EC
박	박/NNP
전	전/MMD
대표	대표/NNG
인터뷰를	인터뷰/NNG+를/JKO
방영했다.	방영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.278.4.2
박 전 대표 인터뷰를 사실상 개국 간판 프로그램으로 삼은 셈이다.

박	박/NNP
전	전/MMD
대표	대표/NNG
인터뷰를	인터뷰/NNG+를/JKO
사실상	사실/NNG+상/XSN
개국	개국/NNG
간판	간판/NNG
프로그램으로	프로그램/NNG+으로/JKB
삼은	삼/VV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.278.5.1
하지만 박 전 대표의 인터뷰는 기존의 발언을 재확인하는 수준에 머물렀다.

하지만	하지만/MAJ
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
인터뷰는	인터뷰/NNG+는/JX
