# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.398
metadata : {}


# id : NWRW1800000028.398.1.1
여자농구 대표팀 가까스로 12명

여자농구	여자/NNG+농구/NNG
대표팀	대표/NNG+팀/NNG
가까스로	가까스로/MAG
12명	12/SN+명/NNB


# id : NWRW1800000028.398.2.1
여자농구대표팀 소집에 응하지 않았던 김지윤(34·신세계)이 막판 합류하기로 해 엔트리 12명이 채워졌다.

여자농구대표팀	여자/NNG+농구/NNG+대표/NNG+팀/NNG
소집에	소집/NNG+에/JKB
응하지	응하/VV+지/EC
않았던	않/VX+았/EP+던/ETM
김지윤(34·신세계)이	김지윤/NNP+(/SS+34/SN+·/SP+신세계/NNP+)/SS+이/JKS
막판	막판/NNG
합류하기로	합류/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
엔트리	엔트리/NNG
12명이	12/SN+명/NNB+이/JKS
채워졌다.	채우/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.398.3.1
신세계 구단은 11일 “김지윤이 12일 아침 광저우행 비행기를 타고 여자대표팀에 합류한다”고 밝혔다.

신세계	신세계/NNP
구단은	구단/NNG+은/JX
11일	11/SN+일/NNB
“김지윤이	“/SS+김지윤/NNP+이/JKS
12일	12/SN+일/NNB
아침	아침/NNG
광저우행	광저우행/NNG
비행기를	비행기/NNG+를/JKO
타고	타/VV+고/EC
여자대표팀에	여자/NNG+대표/NNG+팀/NNG+에/JKB
합류한다”고	합류/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.398.3.2
김지윤은 고질적인 무릎 부상에 손, 발목 상태가 좋지 않아 구단이 대표팀 차출을 반대했다.

김지윤은	김지윤/NNP+은/JX
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
무릎	무릎/NNG
부상에	부상/NNG+에/JKB
손,	손/NNG+,/SP
발목	발목/NNG
상태가	상태/NNG+가/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
구단이	구단/NNG+이/JKS
대표팀	대표/NNG+팀/NNG
차출을	차출/NNG+을/JKO
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.398.3.3
