# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.184
metadata : {}


# id : NWRW1800000056.184.1.1
특검, 우병우 오늘 오전 10시 피의자 소환

특검,	특검/NNG+,/SP
우병우	우병우/NNP
오늘	오늘/NNG
오전	오전/NNG
10시	10/SN+시/NNB
피의자	피의자/NNG
소환	소환/NNG


# id : NWRW1800000056.184.2.1
최순실 국정농단 비호 및 특별감찰관실 해체 주도 의혹

최순실	최순실/NNP
국정농단	국정/NNG+농단/NNG
비호	비호/NNG
및	및/MAG
특별감찰관실	특별/NNG+감찰관실/NNG
해체	해체/NNG
주도	주도/NNG
의혹	의혹/NNG


# id : NWRW1800000056.184.3.1
법원 “특감실 담당관들 지위 유지, 직무대행 체제로 가야”

법원	법원/NNG
“특감실	“/SS+특감실/NNG
담당관들	담당관/NNG+들/XSN
지위	지위/NNG
유지,	유지/NNG+,/SP
직무대행	직무/NNG+대행/NNG
체제로	체제/NNG+로/JKB
가야”	가/VV+아야/EC+”/SS


# id : NWRW1800000056.184.4.1
박영수 특별검사팀이 18일 오전 10시 우병우(50) 전 청와대 민정수석을 불러 조사한다.

박영수	박영수/NNP
특별검사팀이	특별/NNG+검사/NNG+팀/NNG+이/JKS
18일	18/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
우병우(50)	우병우/NNP+(/SS+50/SN+)/SS
전	전/MMD
청와대	청와대/NNP
민정수석을	민정/NNG+수석/NNG+을/JKO
불러	부르/VV+어/EC
조사한다.	조사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.184.4.2
우 전 수석은 직권남용 권리행사방해 혐의 등의 피의자 신분이다.

우	우/NNP
전	전/MMD
수석은	수석/NNG+은/JX
직권남용	직권/NNG+남용/NNG
권리행사방해	권리/NNG+행사/NNG+방해/NNG
혐의	혐의/NNG
등의	등/NNB+의/JKG
피의자	피의자/NNG
신분이다.	신분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.184.5.1
우 전 수석은 2014년 5월부터 2016년 10월까지 청와대 민정비서관 및 민정수석 재직 중 최순실(61·구속기소)씨의 비리 행위를 제대로 감찰·예방하지 못했거나 이를 알고도 묵인한 의혹을 사고 있다.

우	우/NNP
전	전/MMD
수석은	수석/NNG+은/JX
2014년	2014/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
2016년	2016/SN+년/NNB
10월까지	10/SN+월/NNB+까지/JX
청와대	청와대/NNP
민정비서관	민정/NNG+비서관/NNG
및	및/MAG
민정수석	민정/NNG+수석/NNG
재직	재직/NNG
중	중/NNB
최순실(61·구속기소)씨의	최순실/NNP+(/SS+61/SN+·/SP+구속/NNG+기소/NNG+)/SS+씨/NNB+의/JKG
비리	비리/NNG
행위를	행위/NNG+를/JKO
제대로	제대로/MAG
감찰·예방하지	감찰/NNG+·/SP+예방/NNG+하/XSV+지/EC
못했거나	못하/VX+았/EP+거나/EC
이를	이/NP+를/JKO
알고도	알/VV+고/EC+도/JX
묵인한	묵인/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.184.5.2
그는 또 지난해 상반기 이석수 전 특별감찰관이 미르·케이스포츠재단의 불법 모금과 우 전 수석 가족기업인 정강의 횡령 의혹을 감찰할 때 이를 무마하기 위해 이 전 특별감찰관을 해임시키려고 압력을 가한 혐의도 받고 있다.

그는	그/NP+는/JX
또	또/MAG
지난해	지난해/NNG
상반기	상반기/NNG
이석수	이석수/NNP
전	전/MMD
특별감찰관이	특별/NNG+감찰관/NNG+이/JKS
미르·케이스포츠재단의	미르/NNP+·/SP+케이스포츠재단/NNP+의/JKG
불법	불법/NNG
모금과	모금/NNG+과/JC
우	우/NNP
수석	수석/NNG
가족기업인	가족/NNG+기업/NNG+이/VCP+ㄴ/ETM
정강의	정강/NNP+의/JKG
횡령	횡령/NNG
의혹을	의혹/NNG+을/JKO
감찰할	감찰/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이를	이/NP+를/JKO
무마하기	무마/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이	이/NNP
특별감찰관을	특별/NNG+감찰관/NNG+을/JKO
해임시키려고	해임/NNG+시키/XSV+려고/EC
압력을	압력/NNG+을/JKO
가한	가하/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.184.6.1
