# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.265
metadata : {}


# id : NWRW1800000026.265.1.1
막말 토해내는 '인강(인터넷 강의)';"으아! ○○○ 도지사 죽여버리고 싶어요" "여학생들 재수할 돈으로 쌍꺼풀 수술해라"

막말	막말/NNG
토해내는	토하/VV+아/EC+내/VX+는/ETM
'인강(인터넷	'/SS+인강/NNG+(/SS+인터넷/NNG
강의)';"으아!	강의/NNG+)/SS+'/SS+;/SW+"/SS+으아/IC+!/SF
○○○	○○○/SW
도지사	도지사/NNG
죽여버리고	죽이/VV+어/EC+버리/VX+고/EC
싶어요"	싶/VX+어요/EF+"/SS
"여학생들	"/SS+여학생/NNG+들/XSN
재수할	재수/NNG+하/XSV+ㄹ/ETM
돈으로	돈/NNG+으로/JKB
쌍꺼풀	쌍꺼풀/NNG
수술해라"	수술/NNG+하/XSV+아라/EF+"/SS


# id : NWRW1800000026.265.2.1
인터넷 강의(인강) 외국어 영역의 스타 강사 송모씨는 강의 도중 욕설은 기본이고 특정 대학을 비하하고 남녀차별 발언도 서슴지 않는다.

인터넷	인터넷/NNG
강의(인강)	강의/NNG+(/SS+인강/NNG+)/SS
외국어	외국어/NNG
영역의	영역/NNG+의/JKG
스타	스타/NNG
강사	강사/NNG
송모씨는	송/NNP+모/NP+씨/NNB+는/JX
강의	강의/NNG
도중	도중/NNG
욕설은	욕설/NNG+은/JX
기본이고	기본/NNG+이/VCP+고/EC
특정	특정/NNG
대학을	대학/NNG+을/JKO
비하하고	비하/NNG+하/XSV+고/EC
남녀차별	남녀/NNG+차별/NNG
발언도	발언/NNG+도/JX
서슴지	서슴/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.265.2.2
송씨는 최근 인강에서 "남학생들은 씨X, 딱 까놓고 J대까지야. S대만 들어가도 인생 살기 고달파진다. 여학생들은 A대까지만 들어가도 그냥 돼. 재수할 돈으로 쌍꺼풀 수술해"라고 말했다.

송씨는	송/NNP+씨/NNB+는/JX
최근	최근/MAG
인강에서	인강/NNG+에서/JKB
"남학생들은	"/SS+남학생/NNG+들/XSN+은/JX
씨X,	씨X/NA+,/SP
딱	딱/MAG
까놓고	까놓/VV+고/EC
J대까지야.	J/SL+대/NNG+까지/JX+야/JX+./SF
S대만	S/SL+대/NNG+만/JX
들어가도	들어가/VV+아도/EC
인생	인생/NNG
살기	살/VV+기/ETN
고달파진다.	고달프/VA+아/EC+지/VX+ㄴ다/EF+./SF
여학생들은	여학생/NNG+들/XSN+은/JX
A대까지만	A/SL+대/NNG+까지/JX+만/JX
그냥	그냥/MAG
돼.	되/VV+어/EF+./SF
재수할	재수/NNG+하/XSV+ㄹ/ETM
돈으로	돈/NNG+으로/JKB
쌍꺼풀	쌍꺼풀/NNG
수술해"라고	수술/NNG+하/XSV+아/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.265.3.1
수능 사회탐구 영역 스타 강사인 최모 강사는 최근 수업 도중 한 지방자치단체장 관련 기사가 나온 신문을 구겨 찢어버리면서 "으아, ○○○지사 죽여버리고 싶어요!"라고 말했다.

수능	수능/NNG
사회탐구	사회/NNG+탐구/NNG
영역	영역/NNG
스타	스타/NNG
강사인	강사/NNG+이/VCP+ㄴ/ETM
최모	최/NNP+모/NP
강사는	강사/NNG+는/JX
최근	최근/MAG
수업	수업/NNG
도중	도중/NNG
한	한/MMN
지방자치단체장	지방/NNG+자치/NNG+단체장/NNG
관련	관련/NNG
기사가	기사/NNG+가/JKS
