# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.394
metadata : {}


# id : NWRW1800000037.394.1.1
[수도권]한강에 모래톱 - 생태숲 되살린다

[수도권]한강에	[/SS+수도/NNG+권/XSN+]/SS+한강/NNP+에/JKB
모래톱	모래톱/NNG
-	-/SO
생태숲	생태/NNG+숲/NNG
되살린다	되살리/VV+ㄴ다/EF


# id : NWRW1800000037.394.2.1
안양천 밤섬 등 4곳 선정… 생태계 복원-수질개선 추진

안양천	안양천/NNP
밤섬	밤섬/NNP
등	등/NNB
4곳	4/SN+곳/NNG
선정…	선정/NNG+…/SE
생태계	생태/NNG+계/XSN
복원-수질개선	복원/NNG+-/SO+수질/NNG+개선/NNG
추진	추진/NNG


# id : NWRW1800000037.394.3.1
“한강을 천연기념물인 큰고니가 날아오르고 아이들이 멱을 감는 공간으로 바꿔놓겠습니다.”

“한강을	“/SS+한강/NNP+을/JKO
천연기념물인	천연기념물/NNG+이/VCP+ㄴ/ETM
큰고니가	큰고니/NNG+가/JKS
날아오르고	날아오르/VV+고/EC
아이들이	아이/NNG+들/XSN+이/JKS
멱을	멱/NNG+을/JKO
감는	감/VV+는/ETM
공간으로	공간/NNG+으로/JKB
바꿔놓겠습니다.”	바꾸/VV+어/EC+놓/VX+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000037.394.4.1
서울시와 한강시민위원회는 20일 서울시청 신청사에서 기자회견을 열고 2030년까지 한강을 인간과 동식물이 공존하는 생태계로 복원하기 위해 ‘8대 핵심과제’를 시행한다는 ‘한강 자연성 회복 기본 구상’을 발표했다.

서울시와	서울시/NNP+와/JC
한강시민위원회는	한강시민위원회/NNP+는/JX
20일	20/SN+일/NNB
서울시청	서울시청/NNP
신청사에서	신/XPN+청사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
2030년까지	2030/SN+년/NNB+까지/JX
한강을	한강/NNP+을/JKO
인간과	인간/NNG+과/JC
동식물이	동식물/NNG+이/JKS
