# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.44
metadata : {}


# id : NWRW1800000026.44.1.1
中 對北담당 왕자루이, 곧 김정일 만날 듯;후진타오 친서 전달 가능성

中	中/SH
對北담당	對北/SH+담당/NNG
왕자루이,	왕자루이/NNP+,/SP
곧	곧/MAG
김정일	김정일/NNP
만날	만나/VV+ㄹ/ETM
듯;후진타오	듯/NNB+;/SW+후진타오/NNP
친서	친서/NNG
전달	전달/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000026.44.2.1
중국 공산당의 대북(對北) 외교 전담인 왕자루이(王家瑞) 당 대외연락부장이 이르면 이번 주말 평양을 방문할 것으로 알려졌다.

중국	중국/NNP
공산당의	공산당/NNP+의/JKG
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
외교	외교/NNG
전담인	전담/NNG+이/VCP+ㄴ/ETM
왕자루이(王家瑞)	왕자루이/NNP+(/SS+王家瑞/SH+)/SS
당	당/NNG
대외연락부장이	대외/NNG+연락부장/NNG+이/JKS
이르면	이르/VA+면/EC
이번	이번/NNG
주말	주말/NNG
평양을	평양/NNP+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.44.3.1
베이징 외교가 소식통은 5일 "왕 부장이 이르면 이번 주말, 늦어도 다음 주에는 북한 노동당 초청으로 평양을 방문해 김정일 국방위원장을 면담할 것"이라고 밝혔다.

베이징	베이징/NNP
외교가	외교가/NNG
소식통은	소식통/NNG+은/JX
5일	5/SN+일/NNB
"왕	"/SS+왕/NNP
부장이	부장/NNG+이/JKS
이르면	이르/VA+면/EC
이번	이번/NNG
주말,	주말/NNG+,/SP
늦어도	늦/VA+어도/EC
다음	다음/NNG
주에는	주/NNG+에/JKB+는/JX
북한	북한/NNP
노동당	노동당/NNP
초청으로	초청/NNG+으로/JKB
평양을	평양/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
김정일	김정일/NNP
국방위원장을	국방/NNG+위원장/NNG+을/JKO
면담할	면담/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.44.3.2
이 소식통은 "왕 부장의 이번 방문은 중국 공산당과 북한 노동당 간의 정기 교류와 신년 인사를 위한 것이지만 김 위원장의 방중 및 북한의 6자회담 복귀 문제 등이 논의될 가능성이 있다"며 "(중국으로서는) 화폐개혁 이후 북한 상황을 직접 파악하려는 뜻도 있을 것"이라고 말했다.

이	이/MMD
소식통은	소식통/NNG+은/JX
"왕	"/SS+왕/NNP
부장의	부장/NNG+의/JKG
이번	이번/NNG
방문은	방문/NNG+은/JX
중국	중국/NNP
공산당과	공산당/NNP+과/JC
북한	북한/NNP
노동당	노동당/NNP
간의	간/NNB+의/JKG
정기	정기/NNG
교류와	교류/NNG+와/JC
신년	신년/NNG
인사를	인사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
김	김/NNP
위원장의	위원장/NNG+의/JKG
방중	방중/NNG
및	및/MAG
북한의	북한/NNP+의/JKG
6자회담	6자/NNG+회담/NNG
복귀	복귀/NNG
문제	문제/NNG
등이	등/NNB+이/JKS
논의될	논의/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"(중국으로서는)	"/SS+(/SS+중국/NNP+으로서/JKB+는/JX+)/SS
화폐개혁	화폐/NNG+개혁/NNG
이후	이후/NNG
상황을	상황/NNG+을/JKO
직접	직접/MAG
파악하려는	파악/NNG+하/XSV+려는/ETM
뜻도	뜻/NNG+도/JX
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.44.4.1
왕 부장은 이번 방문 길에 후진타오(胡錦濤) 국가 주석의 친서도 휴대할 것으로 전해졌다.

왕	왕/NNP
부장은	부장/NNG+은/JX
이번	이번/NNG
방문	방문/NNG
길에	길/NNG+에/JKB
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
국가	국가/NNG
주석의	주석/NNG+의/JKG
친서도	친서/NNG+도/JX
휴대할	휴대/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


