# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.18
metadata : {}


# id : NWRW1800000021.18.1.1
겨울이라 건조해?

겨울이라	겨울/NNG+이/VCP+라/EC
건조해?	건조/NNG+하/XSA+아/EF+?/SF


# id : NWRW1800000021.18.1.2
촉촉한 화장품 써봐∼

촉촉한	촉촉하/VA+ㄴ/ETM
화장품	화장품/NNG
써봐∼	쓰/VV+어/EC+보/VX+아/EF+∼/SO


# id : NWRW1800000021.18.2.1
춥고 건조한 겨울, 최대 성수기를 맞은 보습 제품들의 ‘촉촉한’ 전쟁이 시작됐다.

춥고	춥/VA+고/EC
건조한	건조/NNG+하/XSA+ㄴ/ETM
겨울,	겨울/NNG+,/SP
최대	최대/NNG
성수기를	성수기/NNG+를/JKO
맞은	맞/VV+은/ETM
보습	보습/NNG
제품들의	제품/NNG+들/XSN+의/JKG
‘촉촉한’	‘/SS+촉촉하/VA+ㄴ/ETM+’/SS
전쟁이	전쟁/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.18.3.1
특히 최근 화장품 성분에 대한 소비자들의 관심이 높아지면서 업체들은 친환경 자연 성분을 활용한 보습 제품을 잇달아 내놓고 있다.

특히	특히/MAG
최근	최근/MAG
화장품	화장품/NNG
성분에	성분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
업체들은	업체/NNG+들/XSN+은/JX
친환경	친/XPN+환경/NNG
자연	자연/NNG
성분을	성분/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
보습	보습/NNG
제품을	제품/NNG+을/JKO
잇달아	잇달/VV+아/EC
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.18.4.1
한국존슨앤드존슨 아비노의 ‘크리미 모이스춰라이징 오일’은 천연 오트밀을 주성분으로 사용했다.

한국존슨앤드존슨	한국존슨앤드존슨/NNP
아비노의	아비노/NNP+의/JKG
‘크리미	‘/SS+크리미/NNP
모이스춰라이징	모이스춰라이징/NNP
오일’은	오일/NNP+’/SS+은/JX
천연	천연/NNG
오트밀을	오트밀/NNG+을/JKO
주성분으로	주성분/NNG+으로/JKB
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.18.4.2
수분을 잘 흡수하는 오트밀의 특성을 활용해 미끈거리지 않는 크림 형태로 선보였다.

수분을	수분/NNG+을/JKO
잘	잘/MAG
흡수하는	흡수/NNG+하/XSV+는/ETM
오트밀의	오트밀/NNG+의/JKG
특성을	특성/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
미끈거리지	미끈거리/VV+지/EC
않는	않/VX+는/ETM
크림	크림/NNG
형태로	형태/NNG+로/JKB
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.18.5.1
더페이스샵은 친환경 제품으로 유명한 프랑스 AMI사와 손잡고 ‘아르쌩뜨 에코-테라피 익스트림 모이스처’ 라인을 개발했다.

더페이스샵은	더페이스샵/NNP+은/JX
친환경	친/XPN+환경/NNG
제품으로	제품/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
프랑스	프랑스/NNP
AMI사와	AMI/SL+사/NNG+와/JKB
손잡고	손잡/VV+고/EC
‘아르쌩뜨	‘/SS+아르쌩뜨/NNP
에코-테라피	에코/NNP+-/SO+테라피/NNP
익스트림	익스트림/NNP
모이스처’	모이스처/NNP+’/SS
라인을	라인/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


