# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.78
metadata : {}


# id : NWRW1800000036.78.1.1
일 ‘원전 주민투표’ 정치권 거부로 무산

일	일/NNP
‘원전	‘/SS+원전/NNG
주민투표’	주민/NNG+투표/NNG+’/SS
정치권	정치/NNG+권/XSN
거부로	거부/NNG+로/JKB
무산	무산/NNG


# id : NWRW1800000036.78.2.1
[한겨레] 유권자 2% 서명한 조례 제정안

[한겨레]	[/SS+한겨레/NNP+]/SS
유권자	유권자/NNG
2%	2/SN+%/SW
서명한	서명/NNG+하/XSV+ㄴ/ETM
조례	조례/NNG
제정안	제정안/NNG


# id : NWRW1800000036.78.3.1
오사카 의회 “5억엔 든다” 부결

오사카	오사카/NNP
의회	의회/NNG
“5억엔	“/SS+5/SN+억/NR+엔/NNB
든다”	들/VV+ㄴ다/EF+”/SS
부결	부결/NNG


# id : NWRW1800000036.78.4.1
도쿄 주민청구도 통과 어려울 듯

도쿄	도쿄/NNP
주민청구도	주민/NNG+청구/NNG+도/JX
통과	통과/NNG
어려울	어렵/VA+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000036.78.5.1
주민투표를 통해 원자력발전에 대한 주민 여론을 확인하려던 일본 시민단체의 움직임이 정치권의 거부로 무산됐다.

주민투표를	주민/NNG+투표/NNG+를/JKO
통해	통하/VV+아/EC
원자력발전에	원자력/NNG+발전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주민	주민/NNG
여론을	여론/NNG+을/JKO
확인하려던	확인/NNG+하/XSV+려던/ETM
일본	일본/NNP
시민단체의	시민/NNG+단체/NNG+의/JKG
움직임이	움직임/NNG+이/JKS
정치권의	정치/NNG+권/XSN+의/JKG
거부로	거부/NNG+로/JKB
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.78.5.2
오사카 시의회는 27일 지역 주민들이 서명을 모아 직접청구한 주민투표 조례 제정안을 부결시켰다.

오사카	오사카/NNP
시의회는	시/NNG+의회/NNG+는/JX
27일	27/SN+일/NNB
지역	지역/NNG
주민들이	주민/NNG+들/XSN+이/JKS
서명을	서명/NNG+을/JKO
모아	모으/VV+아/EC
직접청구한	직접/NNG+청구/NNG+하/XSV+ㄴ/ETM
주민투표	주민/NNG+투표/NNG
조례	조례/NNG
제정안을	제정안/NNG+을/JKO
부결시켰다.	부결/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.78.5.3
도쿄도에서도 주민들이 청구한 주민투표에 이시하라 신타로 지사가 매우 부정적이어서 실현 가능성이 그리 높지 않다.

도쿄도에서도	도쿄도/NNP+에서/JKB+도/JX
주민들이	주민/NNG+들/XSN+이/JKS
청구한	청구/NNG+하/XSV+ㄴ/ETM
주민투표에	주민/NNG+투표/NNG+에/JKB
이시하라	이시하라/NNP
신타로	신타로/NNP
지사가	지사/NNG+가/JKS
매우	매우/MAG
부정적이어서	부정/NNG+적/XSN+이/VCP+어서/EC
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
그리	그리/MAG
높지	높/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.78.6.1
28일 <아사히신문> 보도를 보면, 오사카 시의회는 27일 본회의에서 오사카유신회와 자민당, 공명당 소속 의원 등의 반대로 주민투표 조례제정안을 부결시켰다.

28일	28/SN+일/NNB
<아사히신문>	</SS+아사히신문/NNP+>/SS
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
오사카	오사카/NNP
시의회는	시/NNG+의회/NNG+는/JX
27일	27/SN+일/NNB
본회의에서	본회의/NNG+에서/JKB
오사카유신회와	오사카유신회/NNP+와/JC
자민당,	자민당/NNP+,/SP
공명당	공명당/NNP
소속	소속/NNG
의원	의원/NNG
등의	등/NNB+의/JKG
반대로	반대/NNG+로/JKB
주민투표	주민/NNG+투표/NNG
조례제정안을	조례/NNG+제정안/NNG+을/JKO
부결시켰다.	부결/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.78.6.2
공산당 의원들만이 조례 제정에 찬성했다.

공산당	공산당/NNP
의원들만이	의원/NNG+들/XSN+만/JX+이/JKS
조례	조례/NNG
제정에	제정/NNG+에/JKB
찬성했다.	찬성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.78.6.3
하시모토 도루 시장의 지휘 아래 과반수 의석을 차지하고 있는 오사카 유신회는 ‘탈원전’에는 찬성하고 있지만, 비용을 이유로 주민투표에 반대했다.

하시모토	하시모토/NNP
도루	도루/NNP
시장의	시장/NNG+의/JKG
지휘	지휘/NNG
아래	아래/NNG
과반수	과반수/NNG
의석을	의석/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
오사카	오사카/NNP
유신회는	유신회/NNG+는/JX
‘탈원전’에는	‘/SS+탈/XPN+원전/NNG+’/SS+에/JKB+는/JX
찬성하고	찬성/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
비용을	비용/NNG+을/JKO
이유로	이유/NNG+로/JKB
주민투표에	주민/NNG+투표/NNG+에/JKB
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.78.6.4
미노베 테루오 간사장은 “하시모토 시장이 이미 간사이전력에 탈원전을 요구하는 주주 제안을 준비하고 있다”며 “5억엔을 들여 주민투표를 할 필요는 없다”고 말했다.

미노베	미노베/NNP
테루오	테루오/NNP
간사장은	간사장/NNG+은/JX
“하시모토	“/SS+하시모토/NNP
시장이	시장/NNG+이/JKS
이미	이미/MAG
간사이전력에	간사이전력/NNP+에/JKB
탈원전을	탈/XPN+원전/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
주주	주주/NNG
제안을	제안/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“5억엔을	“/SS+5/SN+억/NR+엔/NNB+을/JKO
들여	들이/VV+어/EC
주민투표를	주민/NNG+투표/NNG+를/JKO
할	하/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.78.6.5
일본에선 특정 사안에 대해 주민투표를 하려면 매번 조례를 새로 제정해야 한다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
특정	특정/NNG
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
주민투표를	주민/NNG+투표/NNG+를/JKO
하려면	하/VV+려면/EC
매번	매번/MAG
조례를	조례/NNG+를/JKO
새로	새로/MAG
제정해야	제정/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.78.7.1
‘모두 함께 결정하자 원전 국민투표’라는 이름의 시민단체는 주민투표 조례제정 직접청구에 필요한 오사카 유권자의 2%가 넘는 5만5428명의 서명을 모아 지난 1월 시장에게 제출한 바 있다.

‘모두	‘/SS+모두/MAG
함께	함께/MAG
결정하자	결정/NNG+하/XSV+자/EF
원전	원전/NNG
국민투표’라는	국민/NNG+투표/NNG+’/SS+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
시민단체는	시민/NNG+단체/NNG+는/JX
주민투표	주민/NNG+투표/NNG
조례제정	조례/NNG+제정/NNG
직접청구에	직접/NNG+청구/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
오사카	오사카/NNP
유권자의	유권자/NNG+의/JKG
2%가	2/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
5만5428명의	5/SN+만/NR+5428/SN+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
모아	모으/VV+아/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
시장에게	시장/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.78.7.2
같은 이름의 시민단체는 도쿄에서도 31만여명(필요서명인수 24만명)의 서명을 받아 지난달 9일 도에 주민투표 조례 제정을 청구했다.

같은	같/VA+은/ETM
이름의	이름/NNG+의/JKG
시민단체는	시민/NNG+단체/NNG+는/JX
도쿄에서도	도쿄/NNP+에서/JKB+도/JX
31만여명(필요서명인수	31/SN+만/NR+여/XSN+명/NNB+(/SS+필요/NNG+서명인/NNG+수/NNG
24만명)의	24/SN+만/NR+명/NNB+)/SS+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
지난달	지난달/NNG
9일	9/SN+일/NNB
도에	도/NNG+에/JKB
주민투표	주민/NNG+투표/NNG
조례	조례/NNG
제정을	제정/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.78.7.3
그러나 이시하라 지사는 “조례를 만들 생각이 없다”고 잘라 말했고, 자민·공명당 중심의 시의회가 조례 제정안을 통과시킬 가능성은 낮다는 관측이 많다.

그러나	그러나/MAJ
이시하라	이시하라/NNP
지사는	지사/NNG+는/JX
“조례를	“/SS+조례/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
생각이	생각/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
잘라	자르/VV+아/EC
말했고,	말/NNG+하/XSV+았/EP+고/EC+,/SP
자민·공명당	자민/NNP+·/SP+공명당/NNP
중심의	중심/NNG+의/JKG
시의회가	시/NNG+의회/NNG+가/JKS
조례	조례/NNG
제정안을	제정안/NNG+을/JKO
통과시킬	통과/NNG+시키/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
낮다는	낮/VA+다는/ETM
관측이	관측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000036.78.8.1
한편 도쿄전력은 후쿠시마 제1원전 2호기의 격납용기 안의 방사선량을 처음 측정한 결과 최고 시간당 73시버트에 이르렀다고 27일 밝혔다.

한편	한편/MAG
도쿄전력은	도쿄전력/NNP+은/JX
후쿠시마	후쿠시마/NNP
