# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.77
metadata : {}


# id : NWRW1800000029.77.1.1
삼성 올 임원인사 어떻게… “실적 청렴 비전 모두 갖춘 인재 발탁”

삼성	삼성/NNP
올	올/NNG
임원인사	임원/NNG+인사/NNG
어떻게…	어떻/VA+게/EC+…/SE
“실적	“/SS+실적/NNG
청렴	청렴/NNG
비전	비전/NNG
모두	모두/MAG
갖춘	갖추/VV+ㄴ/ETM
인재	인재/NNG
발탁”	발탁/NNG+”/SS


# id : NWRW1800000029.77.2.1
올해 삼성의 임원인사는 예년에 비해 훨씬 빠르게 단행될 것으로 보인다.

올해	올해/NNG
삼성의	삼성/NNP+의/JKG
임원인사는	임원/NNG+인사/NNG+는/JX
예년에	예년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
빠르게	빠르/VA+게/EC
단행될	단행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.77.2.2
이건희 삼성전자 회장의 혁신 요구가 어느 때보다 높고 대내외 변수도 많기 때문이다.

이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장의	회장/NNG+의/JKG
혁신	혁신/NNG
요구가	요구/NNG+가/JKS
어느	어느/MMD
때보다	때/NNG+보다/JKB
높고	높/VA+고/EC
대내외	대내외/NNG
변수도	변수/NNG+도/JX
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.77.2.3
삼성은 매년 12월 정기 임원인사를 실시했지만 올해 들어 이런 관행은 이미 깨졌다.

삼성은	삼성/NNP+은/JX
매년	매년/MAG
12월	12/SN+월/NNB
정기	정기/NNG
임원인사를	임원/NNG+인사/NNG+를/JKO
실시했지만	실시/NNG+하/XSV+았/EP+지만/EC
올해	올해/NNG
들어	들/VV+어/EC
이런	이런/MMD
관행은	관행/NNG+은/JX
이미	이미/MAG
깨졌다.	깨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.77.3.1
삼성은 현재 미국을 방문한 이 회장이 일본을 거쳐 이달 중순 귀국하면 감사 결과를 확정해 발표할 계획이다.

삼성은	삼성/NNP+은/JX
현재	현재/MAG
미국을	미국/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이	이/NNP
회장이	회장/NNG+이/JKS
일본을	일본/NNP+을/JKO
거쳐	거치/VV+어/EC
이달	이달/NNG
중순	중순/NNG
귀국하면	귀국/NNG+하/XSV+면/EC
감사	감사/NNG
결과를	결과/NNG+를/JKO
확정해	확정/NNG+하/XSV+아/EC
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.77.3.2
임원인사 시기도 11월로 앞당길 방침이다.

임원인사	임원/NNG+인사/NNG
시기도	시기/NNG+도/JX
11월로	11/SN+월/NNB+로/JKB
앞당길	앞당기/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.77.3.3
삼성의 한 고위 관계자는 “요즘 그룹 고위층이 강조하는 위기론을 감안하면 실적, 청렴, 미래 비전을 모두 인정받아야만 임원으로 살아남을 수 있는 분위기”라고 전했다.

삼성의	삼성/NNP+의/JKG
한	한/MMN
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“요즘	“/SS+요즘/NNG
그룹	그룹/NNG
고위층이	고위/NNG+층/XSN+이/JKS
강조하는	강조/NNG+하/XSV+는/ETM
위기론을	위기/NNG+론/XSN+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
실적,	실적/NNG+,/SP
청렴,	청렴/NNG+,/SP
미래	미래/NNG
비전을	비전/NNG+을/JKO
모두	모두/MAG
인정받아야만	인정/NNG+받/XSV+아야/EC+만/JX
임원으로	임원/NNG+으로/JKB
살아남을	살아남/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
분위기”라고	분위기/NNG+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.77.4.1
삼성그룹의 컨트롤타워인 미래전략실 소속 경영진단팀은 올 하반기에 전 계열사에서 강도 높은 감사를 진행했다.

삼성그룹의	삼성그룹/NNP+의/JKG
컨트롤타워인	컨트롤/NNG+타워/NNG+이/VCP+ㄴ/ETM
미래전략실	미래/NNG+전략실/NNG
소속	소속/NNG
경영진단팀은	경영/NNG+진단/NNG+팀/NNG+은/JX
올	올/NNG
하반기에	하반기/NNG+에/JKB
전	전/MMN
계열사에서	계열사/NNG+에서/JKB
강도	강도/NNG
높은	높/VA+은/ETM
감사를	감사/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.77.4.2
이 과정에서 비위 사실 등이 적발된 건설 부문과 금융 부문은 바짝 긴장하고 있다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
비위	비위/NNG
사실	사실/NNG
등이	등/NNB+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
건설	건설/NNG
부문과	부문/NNG+과/JC
금융	금융/NNG
부문은	부문/NNG+은/JX
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.77.4.3
6월 임직원 비위 사실이 드러나 최고경영자(CEO)를 비롯한 임원 10여 명이 줄줄이 옷을 벗은 삼성테크윈 사태를 기억하고 있기 때문이다.

6월	6/SN+월/NNB
임직원	임직원/NNG
비위	비위/NNG
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
최고경영자(CEO)를	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
임원	임원/NNG
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
줄줄이	줄줄이/MAG
옷을	옷/NNG+을/JKO
벗은	벗/VV+은/ETM
삼성테크윈	삼성테크윈/NNP
사태를	사태/NNG+를/JKO
기억하고	기억/NNG+하/XSV+고/EC
