# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.20
metadata : {}


# id : NWRW1800000026.20.1.1
[수도권I][이슈 앤 현장] 학교 밖으로 진출하는 '꿈나무 안심학교';사교육비 절감·일자리 창출 '일석이조'

[수도권I][이슈	[/SS+수도/NNG+권/XSN+I/SL+]/SS+[/SS+이슈/NNG
앤	앤/NNP
현장]	현장/NNG+]/SS
학교	학교/NNG
밖으로	밖/NNG+으로/JKB
진출하는	진출/NNG+하/XSV+는/ETM
'꿈나무	'/SS+꿈나무/NNG
안심학교';사교육비	안심/NNG+학교/NNG+'/SS+;/SP+사교육비/NNG
절감·일자리	절감/NNG+·/SP+일자리/NNG
창출	창출/NNG
'일석이조'	'/SS+일석이조/NNG+'/SS


# id : NWRW1800000026.20.2.1
'방과후'에 대한 고민이 사회의 몫이 된 지 벌써 여러 해다.

'방과후'에	'/SS+방과/NNG+후/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
고민이	고민/NNG+이/JKS
사회의	사회/NNG+의/JKG
몫이	몫/NNG+이/JKC
된	되/VV+ㄴ/ETM
지	지/NNB
벌써	벌써/MAG
여러	여러/MMN
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.2.2
맞벌이 부모, 한부모 가정의 자녀들을 학교가 파한 뒤 어떻게 돌볼지 대안이 절실하다.

맞벌이	맞벌이/NNG
부모,	부모/NNG+,/SP
한부모	한/MMN+부모/NNG
가정의	가정/NNG+의/JKG
자녀들을	자녀/NNG+들/XSN+을/JKO
학교가	학교/NNG+가/JKS
파한	파하/VV+ㄴ/ETM
뒤	뒤/NNG
어떻게	어떻/VA+게/EC
돌볼지	돌보/VV+ㄹ지/EC
대안이	대안/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000026.20.2.3
보살핌이 꼭 필요한 아이들을 어른 눈 밖에 둘 수도 없고, 마냥 '학원 순례'를 하도록 내버려 두자니 늘어가는 사교육비 부담이 천근만근이다.

보살핌이	보살핌/NNG+이/JKS
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
아이들을	아이/NNG+들/XSN+을/JKO
어른	어른/NNG
눈	눈/NNG
