# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.309
metadata : {}


# id : NWRW1800000022.309.1.1
환매사태 속… 작은 자산운용사들이 매웠다;설정액 3000억 미만 11곳 시장 평균수익률 상회 펀드 수 적어 관리 쉬워

환매사태	환매/NNG+사태/NNG
속…	속/NNG+…/SE
작은	작/VA+은/ETM
자산운용사들이	자산/NNG+운용사/NNG+들/XSN+이/JKS
매웠다;설정액	맵/VA+었/EP+다/EF+;/SP+설정액/NNG
3000억	3000/SN+억/NR
미만	미만/NNG
11곳	11/SN+곳/NNG
시장	시장/NNG
평균수익률	평균/NNG+수익/NNG+률/XSN
상회	상회/NNG
펀드	펀드/NNG
수	수/NNG
적어	적/VA+어/EC
관리	관리/NNG
쉬워	쉽/VA+어/EF


# id : NWRW1800000022.309.2.1
코스피지수가 가파르게 1600선을 뚫고 올라갔지만, 국내 주식형펀드를 운용하는 자산운용사들의 시름은 깊어가고 있다.

코스피지수가	코스피/NNP+지수/NNG+가/JKS
가파르게	가파르/VA+게/EC
1600선을	1600/SN+선/NNG+을/JKO
뚫고	뚫/VV+고/EC
올라갔지만,	올라가/VV+았/EP+지만/EC+,/SP
국내	국내/NNG
주식형펀드를	주식/NNG+형/XSN+펀드/NNG+를/JKO
운용하는	운용/NNG+하/XSV+는/ETM
자산운용사들의	자산/NNG+운용사/NNG+들/XSN+의/JKG
시름은	시름/NNG+은/JX
깊어가고	깊/VA+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.309.2.2
주가가 올라갈수록 환매가 늘어나면서 올라가는 주식을 사서 상승장을 쫓아가기보다는 주식을 팔기에 급급하기 때문이다.

주가가	주가/NNG+가/JKS
올라갈수록	올라가/VV+ㄹ수록/EC
환매가	환매/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
올라가는	올라가/VV+는/ETM
주식을	주식/NNG+을/JKO
사서	사/VV+아서/EC
상승장을	상승장/NNG+을/JKO
쫓아가기보다는	쫓아가/VV+기/ETN+보다/JKB+는/JX
팔기에	팔/VV+기/ETN+에/JKB
급급하기	급급하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.309.2.3
상황이 이렇다 보니 요즘 같은 장에서는 애초 운용 취지대로 펀드를 꾸려가기가 어렵다고 펀드 전문가들은 말한다.

상황이	상황/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니	보/VX+니/EC
요즘	요즘/NNG
같은	같/VA+은/ETM
장에서는	장/NNG+에서/JKB+는/JX
애초	애초/NNG
운용	운용/NNG
취지대로	취지/NNG+대로/JX
펀드를	펀드/NNG+를/JKO
꾸려가기가	꾸리/VV+어/EC+가/VX+기/ETN+가/JKS
어렵다고	어렵/VA+다고/EC
펀드	펀드/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.309.2.4
그렇다면 운신의 폭이 좁아진 최근 장세에서 어떤 운용사들이 선전하고 있을까.

그렇다면	그렇/VA+다면/EC
운신의	운신/NNG+의/JKG
폭이	폭/NNG+이/JKS
좁아진	좁아지/VV+ㄴ/ETM
최근	최근/NNG
장세에서	장세/NNG+에서/JKB
어떤	어떤/MMD
운용사들이	운용사/NNG+들/XSN+이/JKS
선전하고	선전/NNG+하/XSV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000022.309.3.1
◆규모 작은 운용사 수익률 좋아

◆규모	◆/SW+규모/NNG
작은	작/VA+은/ETM
운용사	운용사/NNG
수익률	수익/NNG+률/XSN
좋아	좋/VA+아/EF


# id : NWRW1800000022.309.4.1
올해 운용사별 수익률을 살펴보면 규모가 작은 운용사들의 수익률이 상대적으로 좋았다.

올해	올해/NNG
