# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.386
metadata : {}


# id : NWRW1800000049.386.1.1
견제 나선 문재인, 손짓하는 국민의당… 반기문의 선택은

견제	견제/NNG
나선	나서/VV+ㄴ/ETM
문재인,	문재인/NNP+,/SP
손짓하는	손짓/NNG+하/XSV+는/ETM
국민의당…	국민의당/NNP+…/SE
반기문의	반기문/NNP+의/JKG
선택은	선택/NNG+은/JX


# id : NWRW1800000049.386.2.1
[빨라진 대선시계]반기문 내년초 귀국 앞두고 엇갈린 야권

[빨라진	[/SS+빠르/VA+아/EC+지/VX+ㄴ/ETM
대선시계]반기문	대선/NNG+시계/NNG+]/SS+반기문/NNP
내년초	내년/NNG+초/NNB
귀국	귀국/NNG
앞두고	앞두/VV+고/EC
엇갈린	엇갈리/VV+ㄴ/ETM
야권	야권/NNG


# id : NWRW1800000049.386.3.1
내년 1월 귀국하는 반기문 유엔 사무총장을 두고 야권의 움직임이 엇갈리고 있다.

내년	내년/NNG
1월	1/SN+월/NNB
귀국하는	귀국/NNG+하/XSV+는/ETM
반기문	반기문/NNP
유엔	유엔/NNP
사무총장을	사무총장/NNG+을/JKO
두고	두/VV+고/EC
야권의	야권/NNG+의/JKG
움직임이	움직임/NNG+이/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.386.3.2
차기 대선 후보 지지율 1위를 달리는 더불어민주당 문재인 전 대표는 지지율 2위인 반 총장 견제에 나섰다.

차기	차기/NNG
대선	대선/NNG
후보	후보/NNG
지지율	지지/NNG+율/XSN
1위를	1/SN+위/NNB+를/JKO
달리는	달리/VV+는/ETM
더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
전	전/MMD
대표는	대표/NNG+는/JX
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
반	반/NNP
총장	총장/NNG
견제에	견제/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.386.3.3
반면 국민의당은 ‘제3지대 확장’을 위해 반 총장 끌어안기를 시도하는 모양새다.

반면	반면/NNG
국민의당은	국민의당/NNP+은/JX
‘제3지대	‘/SS+제/XPN+3/SN+지대/NNG
확장’을	확장/NNG+’/SS+을/JKO
위해	위하/VV+아/EC
반	반/NNP
총장	총장/NNG
끌어안기를	끌어안기/NNG+를/JKO
시도하는	시도/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.4.1
○ 潘 견제하며 ‘굳히기’ 모색하는 文

○	○/SW
潘	潘/SH
견제하며	견제/NNG+하/XSV+며/EC
‘굳히기’	‘/SS+굳히/VV+기/ETN+’/SS
모색하는	모색/NNG+하/XSV+는/ETM
文	文/SH


# id : NWRW1800000049.386.5.1
문 전 대표는 20일 연합뉴스와의 인터뷰에서 “반 총장이 실제로 (대선에) 나설 경우 파급력이 얼마인지 알 수 없다”며 평가 절하하는 듯한 발언을 했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
20일	20/SN+일/NNB
연합뉴스와의	연합뉴스/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“반	“/SS+반/NNP
총장이	총장/NNG+이/JKS
실제로	실제로/MAG
(대선에)	(/SS+대선/NNG+에/JKB+)/SS
나설	나서/VV+ㄹ/ETM
경우	경우/NNG
파급력이	파급력/NNG+이/JKS
얼마인지	얼마/NNG+이/VCP+ㄴ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
평가	평가/NNG
