# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.308
metadata : {}


# id : NWRW1800000038.308.1.1
[김태익의 태평로] '대한민국 부정하는 史觀'의 이력서

[김태익의	[/SS+김태익/NNP+의/JKG
태평로]	태평로/NNP+]/SS
'대한민국	'/SS+대한민국/NNP
부정하는	부정/NNG+하/XSV+는/ETM
史觀'의	史觀/SH+'/SS+의/JKG
이력서	이력서/NNG


# id : NWRW1800000038.308.2.1
1988년 6월 한양대에서 열린 10개 학술 운동단체들의 연합심포지엄은 지금 떠올려도 생생하다.

1988년	1988/SN+년/NNB
6월	6/SN+월/NNB
한양대에서	한양대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
10개	10/SN+개/NNB
학술	학술/NNG
운동단체들의	운동/NNG+단체/NNG+들/XSN+의/JKG
연합심포지엄은	연합/NNG+심포지엄/NNG+은/JX
지금	지금/MAG
떠올려도	떠올리/VV+어도/EC
생생하다.	생생하/VA+다/EF+./SF


# id : NWRW1800000038.308.2.2
'80년대 인문사회과학의 현황과 전망'을 주제로 내걸었지만 내막은 어떻게 하면 한국 사회를 혁명으로 뒤엎을 것인가 토론하는 자리였다.

'80년대	'/SS+80/SN+년대/NNB
인문사회과학의	인문/NNG+사회/NNG+과학/NNG+의/JKG
현황과	현황/NNG+과/JC
전망'을	전망/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
내걸었지만	내걸/VV+었/EP+지만/EC
내막은	내막/NNG+은/JX
어떻게	어떻/VA+게/EC
하면	하/VV+면/EC
한국	한국/NNP
사회를	사회/NNG+를/JKO
혁명으로	혁명/NNG+으로/JKB
뒤엎을	뒤엎/VV+을/ETM
것인가	것/NNB+이/VCP+ㄴ가/EF
토론하는	토론/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.308.2.3
그 전해 6월 항쟁에서 거둔 승리로 분위기는 한껏 고조돼 있었다.

그	그/MMD
전해	전/MMD+해/NNG
6월	6/SN+월/NNB
항쟁에서	항쟁/NNG+에서/JKB
거둔	거두/VV+ㄴ/ETM
승리로	승리/NNG+로/JKB
분위기는	분위기/NNG+는/JX
한껏	한껏/MAG
고조돼	고조/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.308.2.4
한국 사회는 '신식민지 독점자본주의 사회'인가, '식민지 반봉건사회'인가.

한국	한국/NNP
사회는	사회/NNG+는/JX
'신식민지	'/SS+신/XPN+식민지/NNG
독점자본주의	독점/NNG+자본주의/NNG
사회'인가,	사회/NNG+'/SS+이/VCP+ㄴ가/EF+,/SP
'식민지	'/SS+식민지/NNG
반봉건사회'인가.	반/XPN+봉건/NNG+사회/NNG+'/SS+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000038.308.2.5
노동자나 농민이 주체가 된 민중혁명은 움직일 수 없는 시대적 명령이었다.

노동자나	노동자/NNG+나/JC
농민이	농민/NNG+이/JKS
주체가	주체/NNG+가/JKC
된	되/VV+ㄴ/ETM
민중혁명은	민중/NNG+혁명/NNG+은/JX
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
시대적	시대/NNG+적/XSN
명령이었다.	명령/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.308.2.6
제대로 된 학문이라면 혁명의 실현을 위해 '복무(服務)'하는 것이어야 했다.

제대로	제대로/MAG
된	되/VV+ㄴ/ETM
학문이라면	학문/NNG+이/VCP+라면/EC
혁명의	혁명/NNG+의/JKG
실현을	실현/NNG+을/JKO
위해	위하/VV+아/EC
'복무(服務)'하는	'/SS+복무/NNG+(/SS+服務/SH+)/SS+'/SS+하/XSV+는/ETM
것이어야	것/NNB+이/VCP+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.308.2.7
경제학·사회학·정치학 단체들과 함께 역사문제연구소가 심포지엄에 참여했다.

경제학·사회학·정치학	경제학/NNG+·/SP+사회학/NNG+·/SP+정치학/NNG
단체들과	단체/NNG+들/XSN+과/JKB
함께	함께/MAG
역사문제연구소가	역사/NNG+문제/NNG+연구소/NNG+가/JKS
심포지엄에	심포지엄/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.308.2.8
지금 대한민국을 상대로 역사 전쟁을 벌이고 있는 좌파 사관의 씨앗도 이 무렵 뿌려졌다.

지금	지금/MAG
대한민국을	대한민국/NNP+을/JKO
상대로	상대/NNG+로/JKB
역사	역사/NNG
전쟁을	전쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
좌파	좌파/NNG
사관의	사관/NNG+의/JKG
씨앗도	씨앗/NNG+도/JX
이	이/MMD
무렵	무렵/NNB
뿌려졌다.	뿌리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.308.3.1
그때까지 한국의 역사학에서 현대사 연구는 없었다고 할 수 있다.

그때까지	그때/NNG+까지/JX
한국의	한국/NNP+의/JKG
역사학에서	역사학/NNG+에서/JKB
현대사	현대사/NNG
연구는	연구/NNG+는/JX
없었다고	없/VA+었/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.308.3.2
기껏해야 일제시대 연구까지였고 그나마 대부분은 독립운동사 연구였다.

기껏해야	기껏해야/MAG
일제시대	일제시대/NNG
연구까지였고	연구/NNG+까지/JX+이/VCP+었/EP+고/EC
그나마	그나마/MAG
대부분은	대/XPN+부분/NNG+은/JX
독립운동사	독립운동사/NNG
연구였다.	연구/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.308.3.3
무주공산(無主空山) 같은 현대사 영토에 좌파 혁명 이념으로 무장한 젊은 역사가들이 깃발을 꽂고 주인 노릇을 시작했다.

무주공산(無主空山)	무주공산/NNG+(/SS+無主空山/SH+)/SS
같은	같/VA+은/ETM
현대사	현대사/NNG
영토에	영토/NNG+에/JKB
좌파	좌파/NNG
혁명	혁명/NNG
이념으로	이념/NNG+으로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
젊은	젊/VA+은/ETM
역사가들이	역사가/NNG+들/XSN+이/JKS
깃발을	깃발/NNG+을/JKO
꽂고	꽂/VV+고/EC
주인	주인/NNG
노릇을	노릇/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.308.3.4
친일, 독재, 반(反)민중에다 반(反)민족 분단 원흉이라는 멍에가 대한민국 현대사에 드리워졌다.

친일,	친일/NNG+,/SP
독재,	독재/NNG+,/SP
반(反)민중에다	반/XPN+(/SS+反/SH+)/SS+민중/NNG+에다/JKB
반(反)민족	반/XPN+(/SS+反/SH+)/SS+민족/NNG
분단	분단/NNG
원흉이라는	원흉/NNG+이/VCP+라는/ETM
멍에가	멍에/NNG+가/JKS
대한민국	대한민국/NNP
현대사에	현대사/NNG+에/JKB
드리워졌다.	드리워지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.308.3.5
대한민국은 태어나선 안 됐을 나라, 혁명을 통해 타도해야 할 나라가 됐다.

대한민국은	대한민국/NNP+은/JX
태어나선	태어나/VV+아서/EC+ㄴ/JX
안	안/MAG
됐을	되/VV+었/EP+을/ETM
나라,	나라/NNG+,/SP
혁명을	혁명/NNG+을/JKO
통해	통하/VV+아/EC
타도해야	타도/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
나라가	나라/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.308.4.1
그로부터 24년, 역사문제연구소는 작년 기관지 '역사 비평' 발간 100호를 맞아 14명의 역사학자에게 '당신의 사관(史觀)은 무엇인가' 묻는 특집을 실었다.

그로부터	그/NP+로부터/JKB
24년,	24/SN+년/NNB+,/SP
역사문제연구소는	역사/NNG+문제/NNG+연구소/NNG+는/JX
작년	작년/NNG
기관지	기관지/NNG
'역사	'/SS+역사/NNG
비평'	비평/NNG+'/SS
발간	발간/NNG
