# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.16
metadata : {}


# id : NWRW1800000022.16.1.1
[뉴스 블로그] 달아오른 부동산 경매… 낙찰가는 '싸늘'

[뉴스	[/SS+뉴스/NNG
블로그]	블로그/NNG+]/SS
달아오른	달아오르/VV+ㄴ/ETM
부동산	부동산/NNG
경매…	경매/NNG+…/SE
낙찰가는	낙찰/NNG+가/XSN+는/JX
'싸늘'	'/SS+싸늘/XR+'/SS


# id : NWRW1800000022.16.2.1
지난 8일 서울중앙지법 경매 법정이 인산인해를 이뤘습니다.

지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
서울중앙지법	서울중앙지법/NNP
경매	경매/NNG
법정이	법정/NNG+이/JKS
인산인해를	인산인해/NNG+를/JKO
이뤘습니다.	이루/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.2.2
500명에 가까운 사람들이 몰리다 보니 법정 안이 후끈 달아올라 온풍기를 끌 정도였습니다.

500명에	500/SN+명/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
몰리다	몰리/VV+다/EC
보니	보/VX+니/EC
법정	법정/NNG
안이	안/NNG+이/JKS
후끈	후끈/MAG
달아올라	달아오르/VV+아/EC
온풍기를	온풍기/NNG+를/JKO
끌	끌/VV+ㄹ/ETM
정도였습니다.	정도/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.2.3
하지만 경매 결과는 예상 밖이었습니다.

하지만	하지만/MAJ
경매	경매/NNG
결과는	결과/NNG+는/JX
예상	예상/NNG
밖이었습니다.	밖/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.3.1
그동안 세 번이나 낙찰에 실패했던 대치동 D아파트(108㎡)가 감정가(13억6000만원)의 60% 수준인 8억2900만원에 팔렸고, 다른 경매 물건들도 유찰되거나 경매 시작가에서 크게 오르지 않은 가격에 낙찰됐습니다.

그동안	그동안/NNG
세	세/MMN
번이나	번/NNB+이나/JX
낙찰에	낙찰/NNG+에/JKB
실패했던	실패/NNG+하/XSV+았/EP+던/ETM
대치동	대치동/NNP
D아파트(108㎡)가	D/SL+아파트/NNG+(/SS+108/SN+㎡/SW+)/SS+가/JKS
감정가(13억6000만원)의	감정/NNG+가/XSN+(/SS+13/SN+억/NR+6000/SN+만/NR+원/NNB+)/SS+의/JKG
60%	60/SN+%/SW
수준인	수준/NNG+이/VCP+ㄴ/ETM
8억2900만원에	8/SN+억/NR+2900/SN+만/NR+원/NNB+에/JKB
팔렸고,	팔리/VV+었/EP+고/EC+,/SP
다른	다른/MMD
경매	경매/NNG
물건들도	물건/NNG+들/XSN+도/JX
유찰되거나	유찰/NNG+되/XSV+거나/EC
시작가에서	시작/NNG+가/XSN+에서/JKB
크게	크/VA+게/EC
오르지	오르/VV+지/EC
않은	않/VX+은/ETM
가격에	가격/NNG+에/JKB
낙찰됐습니다.	낙찰/NNG+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.3.2
이날 총 176건의 경매 물건이 나왔으나 이 중 낙찰된 것은 32건에 불과해 낙찰률은 18.2%에 그쳤습니다.

이날	이날/NNG
총	총/MMA
176건의	176/SN+건/NNB+의/JKG
경매	경매/NNG
물건이	물건/NNG+이/JKS
나왔으나	나오/VV+았/EP+으나/EC
이	이/MMD
중	중/NNB
낙찰된	낙찰/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
32건에	32/SN+건/NNB+에/JKB
불과해	불과/MAG+하/XSA+아/EC
낙찰률은	낙찰/NNG+률/XSN+은/JX
18.2%에	18/SN+./SP+2/SN+%/SW+에/JKB
그쳤습니다.	그치/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.3.3
지난해 서울중앙지법 경매 법정의 평균 낙찰률 36.7%에 훨씬 못 미치는 수준이었습니다.

지난해	지난해/NNG
서울중앙지법	서울중앙지법/NNP
경매	경매/NNG
법정의	법정/NNG+의/JKG
평균	평균/NNG
낙찰률	낙찰/NNG+률/XSN
36.7%에	36/SN+./SP+7/SN+%/SW+에/JKB
훨씬	훨씬/MAG
못	못/MAG
미치는	미치/VV+는/ETM
수준이었습니다.	수준/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000022.16.4.1
경매 법정에 사람이 대거 몰리는데도 유찰 물건이 늘어나는 것은 '이제나저제나' 하며 기회를 노리는 경매 초보자들이 경매 법정에 '체험 학습'을 나온 경우가 크게 늘었기 때문이라는 분석입니다.

경매	경매/NNG
법정에	법정/NNG+에/JKB
사람이	사람/NNG+이/JKS
대거	대거/MAG
몰리는데도	몰리/VV+는데/EC+도/JX
유찰	유찰/NNG
물건이	물건/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
것은	것/NNB+은/JX
'이제나저제나'	'/SS+이제나저제나/MAG+'/SS
하며	하/VV+며/EC
기회를	기회/NNG+를/JKO
노리는	노리/VV+는/ETM
초보자들이	초보자/NNG+들/XSN+이/JKS
'체험	'/SS+체험/NNG
학습'을	학습/NNG+'/SS+을/JKO
나온	나오/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
크게	크/VA+게/EC
늘었기	늘/VV+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석입니다.	분석/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.16.4.2
일부러 경매 날짜에 맞춰 지방에서 서울로 '원정'에 나선 경우도 부쩍 늘었다고 합니다.

일부러	일부러/MAG
경매	경매/NNG
날짜에	날짜/NNG+에/JKB
맞춰	맞추/VV+어/EC
지방에서	지방/NNG+에서/JKB
서울로	서울/NNP+로/JKB
