# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.324
metadata : {}


# id : NWRW1800000046.324.1.1
공무원勞組(노조) 일부, 연금개혁 필요성 공식 인정

공무원勞組(노조)	공무원/NNG+勞組/SH+(/SS+노조/NNG+)/SS
일부,	일부/NNG+,/SP
연금개혁	연금/NNG+개혁/NNG
필요성	필요/NNG+성/XSN
공식	공식/NNG
인정	인정/NNG


# id : NWRW1800000046.324.2.1
與·野·정부·노조가 참여한 대타협기구 "개혁 필요한 상황" 중간 결과 발표

與·野·정부·노조가	與/SH+·/SP+野/SH+·/SP+정부/NNG+·/SP+노조/NNG+가/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
대타협기구	대/XPN+타협/NNG+기구/NNG
"개혁	"/SS+개혁/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황"	상황/NNG+"/SS
중간	중간/NNG
결과	결과/NNG
발표	발표/NNG


# id : NWRW1800000046.324.3.1
공무원연금개혁 국민대타협기구는 10일 "연금 개혁의 필요성에 공감한다"는 내용의 중간 논의 결과 발표를 했다.

공무원연금개혁	공무원/NNG+연금/NNG+개혁/NNG
국민대타협기구는	국민/NNG+대/XPN+타협/NNG+기구/NNG+는/JX
10일	10/SN+일/NNB
"연금	"/SS+연금/NNG
개혁의	개혁/NNG+의/JKG
필요성에	필요/NNG+성/XSN+에/JKB
공감한다"는	공감/NNG+하/XSV+ㄴ다/EF+"/SS+는/ETM
내용의	내용/NNG+의/JKG
중간	중간/NNG
논의	논의/NNG
결과	결과/NNG
발표를	발표/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.3.2
여·야·정부·공무원노조가 참여한 대타협기구에서 공무원연금 개혁 필요성을 공식 인정한 것은 이번이 처음이다.

여·야·정부·공무원노조가	여·야/NNG+·/SP+정부/NNG+·/SP+공무원/NNG+노조/NNG+가/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
대타협기구에서	대/XPN+타협/NNG+기구/NNG+에서/JKB
공무원연금	공무원/NNG+연금/NNG
개혁	개혁/NNG
필요성을	필요/NNG+성/XSN+을/JKO
공식	공식/NNG
인정한	인정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.324.3.3
구체적 개혁 방향이 담기지는 않았다.

구체적	구체/NNG+적/XSN
개혁	개혁/NNG
방향이	방향/NNG+이/JKS
담기지는	담기/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.324.3.4
하지만 각 협상 주체가 개혁의 필요성에는 공감한 만큼 앞으로 대타협기구가 구체적인 협상에 들어갈 수 있는 명분이 마련됐다는 평가다.

하지만	하지만/MAJ
각	각/MMD
협상	협상/NNG
주체가	주체/NNG+가/JKS
개혁의	개혁/NNG+의/JKG
필요성에는	필요/NNG+성/XSN+에/JKB+는/JX
공감한	공감/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
앞으로	앞/NNG+으로/JKB
대타협기구가	대/XPN+타협/NNG+기구/NNG+가/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
협상에	협상/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
명분이	명분/NNG+이/JKS
마련됐다는	마련/NNG+되/XSV+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.324.4.1
대타협기구는 발표문에서 공무원연금 개혁이 필요한 배경에 대해 "최근 급속한 고령화로 연금 수급자가 증가하고 오랫동안 지속된 수급구조 불균형 등으로 재정 안정화가 요구되고 있다"고 했다.

대타협기구는	대/XPN+타협/NNG+기구/NNG+는/JX
발표문에서	발표문/NNG+에서/JKB
공무원연금	공무원/NNG+연금/NNG
개혁이	개혁/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
"최근	"/SS+최근/NNG
급속한	급속/NNG+하/XSA+ㄴ/ETM
고령화로	고령/NNG+화/XSN+로/JKB
연금	연금/NNG
수급자가	수급자/NNG+가/JKS
증가하고	증가/NNG+하/XSV+고/EC
오랫동안	오랫동안/NNG
지속된	지속/NNG+되/XSV+ㄴ/ETM
수급구조	수급/NNG+구조/NNG
불균형	불/XPN+균형/NNG
등으로	등/NNB+으로/JKB
재정	재정/NNG
안정화가	안정/NNG+화/XSN+가/JKS
요구되고	요구/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.4.2
대타협기구는 또 "공직 세대 간 및 공적연금(공무원연금·사학연금·군인연금·국민연금) 간 형평성을 고려하고, 연금 재정의 지속 가능성 제고 및 공무원의 적정한 노후 소득 보장을 추구하는 방향에서 개혁이 필요한 상황이라는 데 대해 인식을 같이한다"고 했다.

대타협기구는	대/XPN+타협/NNG+기구/NNG+는/JX
또	또/MAG
"공직	"/SS+공직/NNG
세대	세대/NNG
간	간/NNB
및	및/MAG
공적연금(공무원연금·사학연금·군인연금·국민연금)	공/NNG+적/XSN+연금/NNG+(/SS+공무원/NNG+연금/NNG+·/SP+사학/NNG+연금/NNG+·/SP+군인/NNG+연금/NNG+·/SP+국민연금/NNG+)/SS
