# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.41
metadata : {}


# id : NWRW1800000029.41.1.1
30년 사용가능한 희토류 광맥… 충북 충주-강원 홍천에서 발견

30년	30/SN+년/NNB
사용가능한	사용/NNG+가능/NNG+하/XSA+ㄴ/ETM
희토류	희토/NNG+류/XSN
광맥…	광맥/NNG+…/SE
충북	충북/NNP
충주-강원	충주/NNP+-/SO+강원/NNP
홍천에서	홍천/NNP+에서/JKB
발견	발견/NNG


# id : NWRW1800000029.41.2.1
희토류 함유율 낮지만… 철광석 섞여 경제성 있어

희토류	희토/NNG+류/XSN
함유율	함유/NNG+율/XSN
낮지만…	낮/VA+지만/EC+…/SE
철광석	철광석/NNG
섞여	섞이/VV+어/EC
경제성	경제/NNG+성/XSN
있어	있/VA+어/EF


# id : NWRW1800000029.41.3.1
고상모 한국지질자원연구원 희유금속 탐사기술연구단장은 “충주 희토류 광맥의 규모와 품위로 미뤄 1100만 t의 희토류 광맥 가운데 약 7만1500t의 희토류가 존재하는 것으로 보인다”고 말했다.

고상모	고상모/NNP
한국지질자원연구원	한국지질자원연구원/NNP
희유금속	희유금속/NNG
탐사기술연구단장은	탐사/NNG+기술/NNG+연구단장/NNG+은/JX
“충주	“/SS+충주/NNP
희토류	희토/NNG+류/XSN
광맥의	광맥/NNG+의/JKG
규모와	규모/NNG+와/JC
품위로	품위/NNG+로/JKB
미뤄	미루/VV+어/EC
1100만	1100/SN+만/NR
t의	t/SW+의/JKG
광맥	광맥/NNG
가운데	가운데/NNG
약	약/MMA
7만1500t의	7/SN+만/NR+1500/SN+t/SW+의/JKG
희토류가	희토/NNG+류/XSN+가/JKS
존재하는	존재/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.41.4.1
이곳의 희토류는 철광석과 뒤섞여 존재한다.

이곳의	이곳/NP+의/JKG
희토류는	희토/NNG+류/XSN+는/JX
철광석과	철광석/NNG+과/JKB
뒤섞여	뒤섞이/VV+어/EC
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.41.4.2
철광석 중에서도 제련이 쉬운 ‘자철석’ 계열이다.

철광석	철광석/NNG
중에서도	중/NNB+에서/JKB+도/JX
제련이	제련/NNG+이/JKS
쉬운	쉽/VA+ㄴ/ETM
