# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.315
metadata : {}


# id : NWRW1800000048.315.1.1
새누리 박상은도 의원직 잃었다

새누리	새누리/NNP
박상은도	박상은/NNP+도/JX
의원직	의원직/NNG
잃었다	잃/VV+었/EP+다/EF


# id : NWRW1800000048.315.2.1
대법, 징역 6월·집행유예 1년 확정

대법,	대법/NNG+,/SP
징역	징역/NNG
6월·집행유예	6/SN+월/NNB+·/SP+집행/NNG+유예/NNG
1년	1/SN+년/NNB
확정	확정/NNG


# id : NWRW1800000048.315.3.1
해운조합 등서 불법자금 받은 혐의

해운조합	해운/NNG+조합/NNG
등서	등/NNB+서/JKB
불법자금	불법/NNG+자금/NNG
받은	받/VV+은/ETM
혐의	혐의/NNG


# id : NWRW1800000048.315.4.1
신계륜·신학용은 1심서 의원직상실형

신계륜·신학용은	신계륜/NNP+·/SP+신학용/NNP+은/JX
1심서	1심/NNG+서/JKB
의원직상실형	의원직/NNG+상실/NNG+형/NNG


# id : NWRW1800000048.315.5.1
박상은(66) 새누리당 의원이 징역형이 확정돼 올 들어 6번째로 의원직을 잃은 국회의원이 됐다.

박상은(66)	박상은/NNP+(/SS+66/SN+)/SS
새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
징역형이	징역형/NNG+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
올	올/NNG
들어	들/VV+어/EC
6번째로	6/SN+번/NNB+째/XSN+로/JKB
의원직을	의원직/NNG+을/JKO
잃은	잃/VV+은/ETM
국회의원이	국회/NNG+의원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.315.6.1
대법원 2부(주심 김창석 대법관)는 정치자금법 위반 혐의 등으로 기소된 박 의원에게 징역 6월·집행유예 1년, 벌금 3000만원과 추징금 8065만원을 선고한 원심을 24일 확정했다.

대법원	대/XPN+법원/NNG
2부(주심	2부/NNG+(/SS+주심/NNG
김창석	김창석/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
정치자금법	정치/NNG+자금법/NNG
위반	위반/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
박	박/NNP
의원에게	의원/NNG+에게/JKB
징역	징역/NNG
6월·집행유예	6/SN+월/NNB+·/SP+집행/NNG+유예/NNG
1년,	1/SN+년/NNB+,/SP
벌금	벌금/NNG
3000만원과	3000/SN+만/NR+원/NNB+과/JC
추징금	추징금/NNG
8065만원을	8065/SN+만/NR+원/NNB+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
원심을	원심/NNG+을/JKO
24일	24/SN+일/NNB
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.315.6.2
박 의원은 사료업체에서 경제특보 급여 1515만2060원을, 한국학술연구원에서 자신의 후원회 회계책임자 급여 6250만원을 대납받고 한국해운조합에서 불법 정치자금 300만원을 수수한 사실이 인정됐다.

박	박/NNP
의원은	의원/NNG+은/JX
사료업체에서	사료업체/NNG+에서/JKB
경제특보	경제/NNG+특보/NNG
급여	급여/NNG
1515만2060원을,	1515/SN+만/NR+2060/SN+원/NNB+을/JKO+,/SP
한국학술연구원에서	한국학술연구원/NNP+에서/JKB
자신의	자신/NNG+의/JKG
후원회	후원회/NNG
회계책임자	회계/NNG+책임자/NNG
6250만원을	6250/SN+만/NR+원/NNB+을/JKO
대납받고	대납/NNG+받/XSV+고/EC
한국해운조합에서	한국해운조합/NNP+에서/JKB
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
300만원을	300/SN+만/NR+원/NNB+을/JKO
수수한	수수/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.315.6.3
