# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.11
metadata : {}


# id : NWRW1800000037.11.1.1
안철수, 1000억원대 주식부자 재등극

안철수,	안철수/NNP+,/SP
1000억원대	1000/SN+억/NR+원/NNB+대/XSN
주식부자	주식/NNG+부자/NNG
재등극	재/XPN+등극/NNG


# id : NWRW1800000037.11.2.1
안랩 주가 급등… 지분가치 60% 늘어, 유양석 한일이화 회장 증가율 1위

안랩	안랩/NNP
주가	주가/NNG
급등…	급등/NNG+…/SE
지분가치	지분/NNG+가치/NNG
60%	60/SN+%/SW
늘어,	늘/VV+어/EF+,/SP
유양석	유양석/NNP
한일이화	한일이화/NNP
회장	회장/NNG
증가율	증가/NNG+율/XSN
1위	1/SN+위/NNB


# id : NWRW1800000037.11.3.1
서울 노원병 국회의원 보궐선거에 출마한 무소속 안철수 후보가 다시 1000억 원대 ‘주식 부자’에 올랐다.

서울	서울/NNP
노원병	노원병/NNP
국회의원	국회/NNG+의원/NNG
보궐선거에	보궐/NNG+선거/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
다시	다시/MAG
1000억	1000/SN+억/NR
원대	원/NNB+대/XSN
‘주식	‘/SS+주식/NNG
부자’에	부자/NNG+’/SS+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.11.4.1
10일 금융정보업체 에프앤가이드가 상장사 대주주와 특수 관계인이 보유한 주식 지분가치를 이달 1일 기준으로 평가한 결과, 1000억 원 이상을 가진 주주는 181명이었다.

10일	10/SN+일/NNB
금융정보업체	금융/NNG+정보업체/NNG
에프앤가이드가	에프앤가이드/NNP+가/JKS
상장사	상장사/NNG
대주주와	대/XPN+주주/NNG+와/JC
특수	특수/NNG
관계인이	관계인/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
주식	주식/NNG
지분가치를	지분/NNG+가치/NNG+를/JKO
이달	이달/NNG
1일	1/SN+일/NNB
기준으로	기준/NNG+으로/JKB
평가한	평가/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
1000억	1000/SN+억/NR
원	원/NNB
이상을	이상/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
주주는	주주/NNG+는/JX
181명이었다.	181/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.11.5.1
이 가운데 안 후보의 주식평가액은 1331억7600만 원으로 지난해 말(832억3500만 원)보다 60%나 올랐다.

이	이/MMD
가운데	가운데/NNG
안	안/NNP
후보의	후보/NNG+의/JKG
주식평가액은	주식/NNG+평가액/NNG+은/JX
1331억7600만	1331/SN+억/NR+7600/SN+만/NR
원으로	원/NNB+으로/JKB
지난해	지난해/NNG
말(832억3500만	말/NNB+(/SS+832/SN+억/NR+3500/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
60%나	60/SN+%/SW+나/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.11.5.2
안랩의 주가가 급등하면서 안 후보는 작년 말 대비 지분가치가 많이 늘어난 주주 순위 2위였다.

안랩의	안랩/NNP+의/JKG
주가가	주가/NNG+가/JKS
급등하면서	급등/NNG+하/XSV+면서/EC
안	안/NNP
후보는	후보/NNG+는/JX
작년	작년/NNG
말	말/NNB
대비	대비/NNG
지분가치가	지분/NNG+가치/NNG+가/JKS
많이	많이/MAG
늘어난	늘어나/VV+ㄴ/ETM
주주	주주/NNG
순위	순위/NNG
2위였다.	2/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.11.6.1
지분가치가 가장 많이 늘어난 사람은 유양석 한일이화 회장이었다.

지분가치가	지분/NNG+가치/NNG+가/JKS
가장	가장/MAG
많이	많이/MAG
늘어난	늘어나/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
유양석	유양석/NNP
한일이화	한일이화/NNP
회장이었다.	회장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.11.6.2
유 회장은 한일이화의 지분 28.75%를 가진 최대주주로, 주식평가액은 1385억2400만 원이었다.

유	유/NNP
회장은	회장/NNG+은/JX
한일이화의	한일이화/NNP+의/JKG
지분	지분/NNG
28.75%를	28/SN+./SP+75/SN+%/SW+를/JKO
가진	가지/VV+ㄴ/ETM
최대주주로,	최대/NNG+주주/NNG+로/JKB+,/SP
주식평가액은	주식/NNG+평가액/NNG+은/JX
1385억2400만	1385/SN+억/NR+2400/SN+만/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.11.6.3
주식평가액 증가폭은 68.49%.

주식평가액	주식/NNG+평가액/NNG
증가폭은	증가/NNG+폭/NNG+은/JX
68.49%.	68/SN+./SP+49/SN+%/SW+./SF


# id : NWRW1800000037.11.6.4
한일이화 주가가 3개월간 7300원에서 1만2300원으로 뛰면서 지분가치도 함께 늘었다.

한일이화	한일이화/NNP
주가가	주가/NNG+가/JKS
3개월간	3/SN+개월/NNB+간/XSN
7300원에서	7300/SN+원/NNB+에서/JKB
1만2300원으로	1/SN+만/NR+2300/SN+원/NNB+으로/JKB
뛰면서	뛰/VV+면서/EC
지분가치도	지분/NNG+가치/NNG+도/JX
함께	함께/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.11.7.1
임성기 한미약품 회장(주식평가액 2094억여 원)이 작년보다 지분가치가 55.48% 늘며 3위를 차지했다.

임성기	임성기/NNP
한미약품	한미약품/NNP
회장(주식평가액	회장/NNG+(/SS+주식/NNG+평가액/NNG
2094억여	2094/SN+억/NR+여/XSN
원)이	원/NNB+)/SS+이/JKS
작년보다	작년/NNG+보다/JKB
지분가치가	지분/NNG+가치/NNG+가/JKS
55.48%	55/SN+./SP+48/SN+%/SW
늘며	늘/VV+며/EC
3위를	3/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.11.7.2
유성락 이연제약 사장(1115억여 원·54.82%), 이장한 종근당 회장(1550억여 원·48.97%)이 뒤를 잇는 등 제약업계의 강세가 두드러졌다.

유성락	유성락/NNP
이연제약	이연제약/NNP
사장(1115억여	사장/NNG+(/SS+1115/SN+억/NR+여/XSN
원·54.82%),	원/NNB+·/SP+54/SN+./SP+82/SN+%/SW+)/SS+,/SP
이장한	이장한/NNP
종근당	종근당/NNP
회장(1550억여	회장/NNG+(/SS+1550/SN+억/NR+여/XSN
원·48.97%)이	원/NNB+·/SP+48/SN+./SP+97/SN+%/SW+)/SS+이/JKS
뒤를	뒤/NNG+를/JKO
잇는	잇/VV+는/ETM
등	등/NNB
제약업계의	제약업/NNG+계/XSN+의/JKG
강세가	강세/NNG+가/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.11.8.1
반면 1000억 원 이상 주식 부자 가운데 지분가치가 가장 많이 줄어든 사람은 조석래 효성그룹 회장이었다.

반면	반면/NNG
1000억	1000/SN+억/NR
원	원/NNB
이상	이상/NNG
주식	주식/NNG
부자	부자/NNG
가운데	가운데/NNG
지분가치가	지분/NNG+가치/NNG+가/JKS
가장	가장/MAG
많이	많이/MAG
줄어든	줄어들/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
조석래	조석래/NNP
효성그룹	효성그룹/NNP
회장이었다.	회장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.11.8.2
효성 주가가 연말 대비 25%나 곤두박질치면서 주식평가액도 2683억 원에서 2011억 원으로 줄었다.

효성	효성/NNP
주가가	주가/NNG+가/JKS
연말	연말/NNG
대비	대비/NNG
25%나	25/SN+%/SW+나/JX
곤두박질치면서	곤두박질치/VV+면서/EC
주식평가액도	주식/NNG+평가액/NNG+도/JX
2683억	2683/SN+억/NR
원에서	원/NNB+에서/JKB
2011억	2011/SN+억/NR
원으로	원/NNB+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.11.8.3
효성의 조현준 사장과 조현상 부사장의 지분 평가액도 각각 17.03%, 16.59% 감소했다.

효성의	효성/NNP+의/JKG
조현준	조현준/NNP
