# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.337
metadata : {}


# id : NWRW1800000056.337.1.1
특검서 공 넘겨받은 검찰, 우병우 수사 전담팀 꾸려

특검서	특검/NNG+서/JKB
공	공/NNG
넘겨받은	넘겨받/VV+은/ETM
검찰,	검찰/NNG+,/SP
우병우	우병우/NNP
수사	수사/NNG
전담팀	전담/NNG+팀/NNG
꾸려	꾸리/VV+어/EF


# id : NWRW1800000056.337.2.1
‘2기 특별수사본부’ 가동…1기보다 규모 줄어

‘2기	‘/SS+2/SN+기/NNG
특별수사본부’	특별/NNG+수사본부/NNG+’/SS
가동…1기보다	가동/NNG+…/SE+1/SN+기/NNG+보다/JKB
규모	규모/NNG
줄어	줄/VV+어/EF


# id : NWRW1800000056.337.3.1
박 대통령 수사는 탄핵심판·대선 등 변수 많아

박	박/NNP
대통령	대통령/NNG
수사는	수사/NNG+는/JX
탄핵심판·대선	탄핵/NNG+심판/NNG+·/SP+대선/NNG
등	등/NNB
변수	변수/NNG
많아	많/VA+아/EF


# id : NWRW1800000056.337.4.1
‘검찰과 1천여번 통화’ 의혹 우 먼저 처리할 듯

‘검찰과	‘/SS+검찰/NNG+과/JKB
1천여번	1/SN+천/NR+여/XSN+번/NNB
통화’	통화/NNG+’/SS
의혹	의혹/NNG
우	우/NNP
먼저	먼저/MAG
처리할	처리/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000056.337.5.1
검찰이 ‘2기 특별수사본부’를 가동해 ‘박근혜-최순실 국정농단 사건’ 수사에 재돌입했다.

검찰이	검찰/NNG+이/JKS
‘2기	‘/SS+2/SN+기/NNG
특별수사본부’를	특별/NNG+수사본부/NNG+’/SS+를/JKO
가동해	가동/NNG+하/XSV+아/EC
‘박근혜-최순실	‘/SS+박근혜/NNP+-/SO+최순실/NNP
국정농단	국정/NNG+농단/NNG
사건’	사건/NNG+’/SS
수사에	수사/NNG+에/JKB
재돌입했다.	재/XPN+돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.337.5.2
지난해 11월말 박영수 특별검사팀에 수사 자료를 넘긴 지 석달여 만이다.

지난해	지난해/NNG
11월말	11/SN+월/NNB+말/NNB
박영수	박영수/NNP
특별검사팀에	특별/NNG+검사/NNG+팀/NNG+에/JKB
수사	수사/NNG
자료를	자료/NNG+를/JKO
넘긴	넘기/VV+ㄴ/ETM
지	지/NNB
석달여	석/MMN+달/NNB+여/XSN
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.337.5.3
검찰은 박근혜 대통령과 우병우 전 민정수석에 대한 수사를 우선 과제로 놓고 수사에 나설 예정이다.

검찰은	검찰/NNG+은/JX
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JKB
우병우	우병우/NNP
전	전/MMD
민정수석에	민정/NNG+수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
우선	우선/MAG
과제로	과제/NNG+로/JKB
놓고	놓/VV+고/EC
수사에	수사/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.337.6.1
검찰은 서울중앙지검 형사부와 특수부, 첨단범죄수사부 등 2~3개 부서에서 인력을 차출해 2기 특수본을 꾸린 것으로 5일 알려졌다.

검찰은	검찰/NNG+은/JX
서울중앙지검	서울중앙지검/NNP
형사부와	형사부/NNG+와/JC
특수부,	특수부/NNG+,/SP
첨단범죄수사부	첨단/NNG+범죄/NNG+수사부/NNG
등	등/NNB
2~3개	2/SN+~/SO+3/SN+개/NNB
부서에서	부서/NNG+에서/JKB
인력을	인력/NNG+을/JKO
차출해	차출/NNG+하/XSV+아/EC
2기	2/SN+기/NNG
특수본을	특수본/NNG+을/JKO
꾸린	꾸리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
5일	5/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.337.6.2
지난해 10월말 조직했던 1기 특수본에 견줘 규모만 약간 줄었다.

지난해	지난해/NNG
10월말	10/SN+월/NNB+말/NNB
조직했던	조직/NNG+하/XSV+았/EP+던/ETM
1기	1/SN+기/NNG
특수본에	특수본/NNG+에/JKB
견줘	견주/VV+어/EC
규모만	규모/NNG+만/JX
약간	약간/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.337.6.3
이들은 지난 3일 특검팀으로부터 1톤 분량의 수사기록을 넘겨받아 주말 내내 검토 작업을 했다.

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
특검팀으로부터	특검/NNG+팀/NNG+으로부터/JKB
