# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.177
metadata : {}


# id : NWRW1800000025.177.1.1
韓 전총리 여동생 소환 통보

韓	韓/SH
전총리	전/MMD+총리/NNG
여동생	여동생/NNG
소환	소환/NNG
통보	통보/NNG


# id : NWRW1800000025.177.2.1
검찰이 한명숙 전 국무총리의 불법 정치자금 수수 의혹과 관련해 한 전 총리의 동생과 측근 등에게 소환 통보를 하는 등 본격적으로 수사 재개에 나섰다.

검찰이	검찰/NNG+이/JKS
한명숙	한명숙/NNP
전	전/MMD
국무총리의	국무총리/NNG+의/JKG
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
수수	수수/NNG
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
한	한/NNP
총리의	총리/NNG+의/JKG
동생과	동생/NNG+과/JC
측근	측근/NNG
등에게	등/NNB+에게/JKB
소환	소환/NNG
통보를	통보/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
본격적으로	본격/NNG+적/XSN+으로/JKB
수사	수사/NNG
재개에	재개/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.177.3.1
서울중앙지검 특수1부(부장 김기동)가 18일 한 전 총리의 여동생, 한 전 총리의 자금을 관리했다는 의혹을 받고 있는 김모 씨(여), 한 전 총리의 옛 지구당 사무실 관계자 2명 등 4명에게 다음 주 검찰에 나와 참고인 조사를 받으라고 통보했다.

서울중앙지검	서울중앙지검/NNP
특수1부(부장	특수/NNG+1/SN+부/NNG+(/SS+부장/NNG
김기동)가	김기동/NNP+)/SS+가/JKS
18일	18/SN+일/NNB
한	한/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
여동생,	여동생/NNG+,/SP
자금을	자금/NNG+을/JKO
관리했다는	관리/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김모	김/NNP+모/NP
씨(여),	씨/NNB+(/SS+여/NNG+)/SS+,/SP
옛	옛/MMA
지구당	지구당/NNG
사무실	사무실/NNG
관계자	관계자/NNG
2명	2/SN+명/NNB
등	등/NNB
4명에게	4/SN+명/NNB+에게/JKB
다음	다음/NNG
주	주/NNG
검찰에	검찰/NNG+에/JKB
나와	나오/VV+아/EC
참고인	참고인/NNG
조사를	조사/NNG+를/JKO
받으라고	받/VV+으라고/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.177.4.1
검찰은 한신건영 전 대표 한만호 씨(49·복역 중)가 2007년 한 전 총리에게 건넸다고 진술한 9억 원 가운데 수표로 건넨 1억 원을 한 전 총리의 여동생이 지난해 전세금으로 지불한 정황을 파악하고 이 돈이 어떻게 한 전 총리의 여동생에게 흘러갔는지 조사하고 있다.

검찰은	검찰/NNG+은/JX
한신건영	한신건영/NNP
전	전/MMD
대표	대표/NNG
한만호	한만호/NNP
씨(49·복역	씨/NNB+(/SS+49/SN+·/SP+복역/NNG
중)가	중/NNB+)/SS+가/JKS
2007년	2007/SN+년/NNB
한	한/NNP
총리에게	총리/NNG+에게/JKB
건넸다고	건네/VV+었/EP+다고/EC
진술한	진술/NNG+하/XSV+ㄴ/ETM
9억	9/SN+억/NR
원	원/NNB
가운데	가운데/NNG
수표로	수표/NNG+로/JKB
건넨	건네/VV+ㄴ/ETM
1억	1/SN+억/NR
원을	원/NNB+을/JKO
총리의	총리/NNG+의/JKG
여동생이	여동생/NNG+이/JKS
지난해	지난해/NNG
전세금으로	전세금/NNG+으로/JKB
지불한	지불/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
이	이/MMD
돈이	돈/NNG+이/JKS
어떻게	어떻/VA+게/EC
여동생에게	여동생/NNG+에게/JKB
흘러갔는지	흘러가/VV+았/EP+는지/EF
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.177.4.2
또 한 전 총리를 오랫동안 보좌해온 것으로 알려진 김 씨와 지구당 사무실 관계자 등을 불러 불법 정치자금이 건네진 경위와 사용처 등을 확인할 방침이다.

또	또/MAG
한	한/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
오랫동안	오랫동안/NNG
보좌해온	보좌/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
김	김/NNP
씨와	씨/NNB+와/JC
지구당	지구당/NNG
사무실	사무실/NNG
관계자	관계자/NNG
등을	등/NNB+을/JKO
불러	부르/VV+어/EC
불법	불법/NNG
정치자금이	정치/NNG+자금/NNG+이/JKS
건네진	건네/VV+어/EC+지/VX+ㄴ/ETM
경위와	경위/NNG+와/JC
사용처	사용처/NNG
확인할	확인/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.177.4.3
이에 한 전 총리 측은 “참고인들에 대한 출석요구서가 도착하면 내용을 살펴보고 논의한 뒤 어떻게 대응할지 결정하겠다”고 밝혔다.

이에	이/NP+에/JKB
한	한/NNP
전	전/MMD
총리	총리/NNG
측은	측/NNB+은/JX
“참고인들에	“/SS+참고인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
출석요구서가	출석/NNG+요구서/NNG+가/JKS
도착하면	도착/NNG+하/XSV+면/EC
내용을	내용/NNG+을/JKO
살펴보고	살펴보/VV+고/EC
논의한	논의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
어떻게	어떻/VA+게/EC
대응할지	대응/NNG+하/XSV+ㄹ지/EF
결정하겠다”고	결정/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.177.5.1
검찰은 주변 인물 조사가 끝나는 대로 한 전 총리도 소환조사하는 방안도 검토하고 있지만 한 전 총리가 응할지는 미지수다.

검찰은	검찰/NNG+은/JX
주변	주변/NNG
인물	인물/NNG
조사가	조사/NNG+가/JKS
끝나는	끝나/VV+는/ETM
대로	대로/NNB
한	한/NNP
전	전/MMD
총리도	총리/NNG+도/JX
소환조사하는	소환/NNG+조사/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
총리가	총리/NNG+가/JKS
응할지는	응하/VV+ㄹ지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.177.5.2
검찰은 4월부터 한 전 총리의 2007년 경선자금과 관련한 의혹을 수사해오다 한 전 총리가 6·2지방선거에 민주당 서울시장 후보로 출마함에 따라 수사를 잠시 미루고 계좌추적 등을 통해 증거 확보에 주력해 왔다.

검찰은	검찰/NNG+은/JX
4월부터	4/SN+월/NNB+부터/JX
한	한/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
2007년	2007/SN+년/NNB
경선자금과	경선/NNG+자금/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
수사해오다	수사/NNG+하/XSV+아/EC+오/VX+다/EC
총리가	총리/NNG+가/JKS
6·2지방선거에	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+에/JKB
민주당	민주당/NNP
서울시장	서울시장/NNG
후보로	후보/NNG+로/JKB
출마함에	출마/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
수사를	수사/NNG+를/JKO
잠시	잠시/MAG
미루고	미루/VV+고/EC
계좌추적	계좌/NNG+추적/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
증거	증거/NNG
확보에	확보/NNG+에/JKB
주력해	주력/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


