# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.259
metadata : {}


# id : NWRW1800000044.259.1.1
경기도, ‘이케아 상륙’ 대비 가구업계 구하기

경기도,	경기도/NNP+,/SP
‘이케아	‘/SS+이케아/NNP
상륙’	상륙/NNG+’/SS
대비	대비/NNG
가구업계	가구업/NNG+계/XSN
구하기	구하/VV+기/ETN


# id : NWRW1800000044.259.2.1
[한겨레] 전담반 구성 전방위 지원 나서

[한겨레]	[/SS+한겨레/NNP+]/SS
전담반	전담반/NNG
구성	구성/NNG
전방위	전방위/NNG
지원	지원/NNG
나서	나서/VV+어/EC


# id : NWRW1800000044.259.3.1
물류·교통·인력양성·마케팅 등

물류·교통·인력양성·마케팅	물류/NNG+·/SP+교통/NNG+·/SP+인력/NNG+양성/NNG+·/SP+마케팅/NNG
등	등/NNB


# id : NWRW1800000044.259.4.1
글로벌 가구·생활용품 기업인 이케아의 국내 진출을 앞두고 경기도가 가구산업 위기 극복을 위한 태스크포스(TF)를 꾸려 가구업계 구하기에 나섰다.

글로벌	글로벌/NNG
가구·생활용품	가구/NNG+·/SP+생활용품/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
이케아의	이케아/NNP+의/JKG
국내	국내/NNG
진출을	진출/NNG+을/JKO
앞두고	앞두/VV+고/EC
경기도가	경기도/NNP+가/JKS
가구산업	가구/NNG+산업/NNG
위기	위기/NNG
극복을	극복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
꾸려	꾸리/VV+어/EC
가구업계	가구업/NNG+계/XSN
구하기에	구하/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.259.5.1
남경필 경기도지사는 지난 3일 포천시 가산면 가구공장단지에서 열린 입주업체 간담회에서 “이케아라는 공룡기업의 상륙은 도내 가구업계의 생사가 달린 문제다.

남경필	남경필/NNP
경기도지사는	경기/NNP+도지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
포천시	포천시/NNP
가산면	가산면/NNP
가구공장단지에서	가구/NNG+공장/NNG+단지/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
입주업체	입주/NNG+업체/NNG
간담회에서	간담회/NNG+에서/JKB
“이케아라는	“/SS+이케아/NNP+이/VCP+라는/ETM
공룡기업의	공룡/NNG+기업/NNG+의/JKG
상륙은	상륙/NNG+은/JX
도내	도내/NNG
가구업계의	가구업/NNG+계/XSN+의/JKG
생사가	생사/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.259.5.2
전담반을 구성해 물류, 교통 인프라, 인력, 교육기관, 마케팅 등을 지원하겠다”고 밝혔다.

전담반을	전담반/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
물류,	물류/NNG+,/SP
교통	교통/NNG
인프라,	인프라/NNG+,/SP
인력,	인력/NNG+,/SP
교육기관,	교육/NNG+기관/NNG+,/SP
마케팅	마케팅/NNG
등을	등/NNB+을/JKO
지원하겠다”고	지원/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.259.6.1
가구업체 대표들은 자생력 확보를 위해 가구기술학교와 가구산업지원센터 설립, 구리~포천 고속도로 등 교통 인프라 확충 등을 요청했다.

가구업체	가구업체/NNG
대표들은	대표/NNG+들/XSN+은/JX
자생력	자생력/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
가구기술학교와	가구/NNG+기술/NNG+학교/NNG+와/JC
가구산업지원센터	가구/NNG+산업/NNG+지원/NNG+센터/NNG
설립,	설립/NNG+,/SP
구리~포천	구리/NNP+~/SO+포천/NNP
고속도로	고속/NNG+도로/NNG
등	등/NNB
교통	교통/NNG
인프라	인프라/NNG
확충	확충/NNG
등을	등/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.259.6.2
유은조 포천가구사업협동조합 이사장은 “생활가구는 자동화되어 가고 있으나 명품·원목가구는 많은 수작업과 첨단 기계가 필요하다.

유은조	유은조/NNP
포천가구사업협동조합	포천가구사업협동조합/NNP
이사장은	이사장/NNG+은/JX
“생활가구는	“/SS+생활/NNG+가구/NNG+는/JX
자동화되어	자동/NNG+화/XSN+되/XSV+어/EC
가고	가/VX+고/EC
있으나	있/VX+으나/EC
명품·원목가구는	명품/NNG+·/SP+원목/NNG+가구/NNG+는/JX
많은	많/VA+은/ETM
수작업과	수작업/NNG+과/JC
첨단	첨단/NNG
기계가	기계/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.259.6.3
가구학교를 만들어 기술을 발전시켜 가구산업을 명품화해야 한다”고 제안했다.

가구학교를	가구/NNG+학교/NNG+를/JKO
만들어	만들/VV+어/EC
기술을	기술/NNG+을/JKO
발전시켜	발전/NNG+시키/XSV+어/EC
가구산업을	가구/NNG+산업/NNG+을/JKO
명품화해야	명품/NNG+화/XSN+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.259.7.1
경기도는 우선 대진테크노파크와 협력해 가구 기능인을 양성하고, 중·장기적으로 가구학교를 설립하거나 폴리텍대학에 가구학과를 만들기로 했다.

경기도는	경기도/NNP+는/JX
우선	우선/MAG
대진테크노파크와	대진테크노파크/NNP+와/JKB
협력해	협력/NNG+하/XSV+아/EC
가구	가구/NNG
기능인을	기능인/NNG+을/JKO
양성하고,	양성/NNG+하/XSV+고/EC+,/SP
