# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.102
metadata : {}


# id : NWRW1800000021.102.1.1
[이 주일의 추천 신상품]삼성증권 ‘슈퍼스텝 ELS 2365회’

[이	[/SS+이/MMD
주일의	주일/NNG+의/JKG
추천	추천/NNG
신상품]삼성증권	신/XPN+상품/NNG+]/SS+삼성증권/NNP
‘슈퍼스텝	‘/SS+슈퍼/NNG+스텝/NNG
ELS	ELS/SL
2365회’	2365/SN+회/NNB+’/SS


# id : NWRW1800000021.102.2.1
삼성증권은 ‘슈퍼스텝다운플러스 주가연계증권(ELS) 2365회’를 26일까지 판매한다.

삼성증권은	삼성증권/NNP+은/JX
‘슈퍼스텝다운플러스	‘/SS+슈퍼스텝다운플러스/NNP
주가연계증권(ELS)	주가/NNG+연계/NNG+증권/NNG+(/SS+ELS/SL+)/SS
2365회’를	2365/SN+회/NNB+’/SS+를/JKO
26일까지	26/SN+일/NNB+까지/JX
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.102.3.1
이번 ELS 2365회는 한국전력과 하이닉스의 주가에 따라 수익이 결정되는 상품으로 2년 뒤 두 종목의 주가가 기준일과 비교해 45% 이상 하락하지 않으면 연 27%의 수익을 지급한다.

이번	이번/NNG
ELS	ELS/SL
2365회는	2365/SN+회/NNB+는/JX
한국전력과	한국전력/NNP+과/JC
하이닉스의	하이닉스/NNP+의/JKG
주가에	주가/NNG+에/JKB
따라	따르/VV+아/EC
수익이	수익/NNG+이/JKS
결정되는	결정/NNG+되/XSV+는/ETM
상품으로	상품/NNG+으로/JKB
2년	2/SN+년/NNB
뒤	뒤/NNG
두	두/MMN
종목의	종목/NNG+의/JKG
주가가	주가/NNG+가/JKS
기준일과	기준일/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
45%	45/SN+%/SW
이상	이상/NNG
하락하지	하락/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
연	연/NNG
27%의	27/SN+%/SW+의/JKG
수익을	수익/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.102.4.1
이 상품은 만기일에 한국전력과 하이닉스 중 하나라도 45% 이상 하락한다면 45%를 초과 하락한 폭에 1.818을 곱해 최종 수익률을 계산하는 것이 특징이다.

이	이/MMD
상품은	상품/NNG+은/JX
만기일에	만기일/NNG+에/JKB
한국전력과	한국전력/NNP+과/JC
하이닉스	하이닉스/NNP
중	중/NNB
하나라도	하나/NR+이/VCP+라도/EC
45%	45/SN+%/SW
이상	이상/NNG
하락한다면	하락/NNG+하/XSV+ㄴ다면/EC
45%를	45/SN+%/SW+를/JKO
초과	초과/NNG
하락한	하락/NNG+하/XSV+ㄴ/ETM
폭에	폭/NNG+에/JKB
1.818을	1/SN+./SP+818/SN+을/JKO
곱해	곱/NNG+하/XSV+아/EC
최종	최종/NNG
수익률을	수익/NNG+률/XSN+을/JKO
계산하는	계산/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.102.5.1
예를 들어 주가가 50% 하락한다면 초과 하락폭인 5%포인트에 1.818을 곱한 9.09%만큼 원금 손실이 나는 셈이다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
주가가	주가/NNG+가/JKS
50%	50/SN+%/SW
하락한다면	하락/NNG+하/XSV+ㄴ다면/EC
초과	초과/NNG
하락폭인	하락/NNG+폭/NNG+이/VCP+ㄴ/ETM
5%포인트에	5/SN+%포인트/NNG+에/JKB
1.818을	1/SN+./SP+818/SN+을/JKO
곱한	곱/NNG+하/XSV+ㄴ/ETM
9.09%만큼	9/SN+./SP+09/SN+%/SW+만큼/JKB
원금	원금/NNG
손실이	손실/NNG+이/JKS
나는	나/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.102.6.1
삼성증권 신상근 상품지원파트장은 “이번 ELS는 2년간 주가 변화에 관계없이 만기일에 주가가 오를 것이라는 판단이 서면 가입이 가능하다”며 “만기 시 주가가 기대 수준에 미치지 못하더라도 기존 ELS와 비교해 손실률을 크게 줄인 상품”이라고 설명했다.

삼성증권	삼성증권/NNP
신상근	신상근/NNP
상품지원파트장은	상품/NNG+지원/NNG+파트장/NNG+은/JX
“이번	“/SS+이번/NNG
ELS는	ELS/SL+는/JX
2년간	2/SN+년/NNB+간/XSN
주가	주가/NNG
변화에	변화/NNG+에/JKB
관계없이	관계없이/MAG
만기일에	만기일/NNG+에/JKB
주가가	주가/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
판단이	판단/NNG+이/JKS
서면	서/VV+면/EC
가입이	가입/NNG+이/JKS
가능하다”며	가능/NNG+하/XSA+다/EF+”/SS+며/EC
“만기	“/SS+만기/NNG
시	시/NNB
기대	기대/NNG
수준에	수준/NNG+에/JKB
미치지	미치/VV+지/EC
못하더라도	못하/VX+더라도/EC
기존	기존/NNG
ELS와	ELS/SL+와/JKB
비교해	비교/NNG+하/XSV+아/EC
손실률을	손실/NNG+률/XSN+을/JKO
크게	크/VA+게/EC
줄인	줄이/VV+ㄴ/ETM
상품”이라고	상품/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.102.7.1
4개월마다 조기상환 기회가 주어지는데 조기상환일에 두 종목 모두 최초 기준 주가와 비교해 85% 이상(4, 8개월), 80% 이상(12, 16개월), 75% 이상(20개월)이면 연 27%로 조기상환된다.

4개월마다	4/SN+개월/NNB+마다/JX
조기상환	조기/NNG+상환/NNG
기회가	기회/NNG+가/JKS
주어지는데	주어지/VV+는데/EC
조기상환일에	조기/NNG+상환일/NNG+에/JKB
두	두/MMN
종목	종목/NNG
모두	모두/MAG
최초	최초/NNG
기준	기준/NNG
주가와	주가/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
85%	85/SN+%/SW
이상(4,	이상/NNG+(/SS+4/SN+,/SP
8개월),	8/SN+개월/NNB+)/SS+,/SP
80%	80/SN+%/SW
이상(12,	이상/NNG+(/SS+12/SN+,/SP
16개월),	16/SN+개월/NNB+)/SS+,/SP
75%	75/SN+%/SW
이상(20개월)이면	이상/NNG+(/SS+20/SN+개월/NNB+)/SS+이/VCP+면/EC
연	연/NNG
27%로	27/SN+%/SW+로/JKB
조기상환된다.	조기/NNG+상환/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.102.7.2
이달 27일 하이닉스, 한국전력의 종가가 기준 가격이다.

이달	이달/NNG
27일	27/SN+일/NNB
하이닉스,	하이닉스/NNP+,/SP
한국전력의	한국전력/NNP+의/JKG
종가가	종가/NNG+가/JKS
기준	기준/NNG
가격이다.	가격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.102.8.1
삼성증권 전 지점에서 가입할 수 있으며 최소 가입금액은 100만 원이다.

삼성증권	삼성증권/NNP
전	전/MMN
