# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.340
metadata : {}


# id : NWRW1800000038.340.1.1
[朴정부 경제 정책] 재벌 규제_대기업 금융사 지분 합쳐 5%까지만 의결권… 순환출자기업 증자 금지

[朴정부	[/SS+朴/SH+정부/NNG
경제	경제/NNG
정책]	정책/NNG+]/SS
재벌	재벌/NNG
규제_대기업	규제/NNG+_/SW+대/XPN+기업/NNG
금융사	금융사/NNG
지분	지분/NNG
합쳐	합치/VV+어/EC
5%까지만	5/SN+%/SW+까지/JX+만/JX
의결권…	의결/NNG+권/XSN+…/SE
순환출자기업	순환/NNG+출자/NNG+기업/NNG
증자	증자/NNG
금지	금지/NNG


# id : NWRW1800000038.340.2.1
인수위가 지난 21일 발표한 새 정부 국정 과제에서 '경제 민주화'라는 용어가 사라진 데 대해 갑론을박이 뜨겁다.

인수위가	인수위/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
새	새/MMA
정부	정부/NNG
국정	국정/NNG
과제에서	과제/NNG+에서/JKB
'경제	'/SS+경제/NNG
민주화'라는	민주/NNG+화/XSN+'/SS+이/VCP+라는/ETM
용어가	용어/NNG+가/JKS
사라진	사라지/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
갑론을박이	갑론을박/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000038.340.2.2
새누리당 경제민주화실천모임 소속 김성태 의원은 22일 "정책 우선순위에서 경제 민주화가 뒤로 밀리는 것이라는 생각이 들어서 우려스럽다"고 말했다.

새누리당	새누리당/NNP
경제민주화실천모임	경제/NNG+민주/NNG+화/XSN+실천/NNG+모임/NNG
소속	소속/NNG
김성태	김성태/NNP
의원은	의원/NNG+은/JX
22일	22/SN+일/NNB
"정책	"/SS+정책/NNG
우선순위에서	우선순위/NNG+에서/JKB
경제	경제/NNG
민주화가	민주/NNG+화/XSN+가/JKS
뒤로	뒤/NNG+로/JKB
밀리는	밀리/VV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들어서	들/VV+어서/EC
우려스럽다"고	우려/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.340.2.3
야당도 강도 높은 비판을 쏟아냈다.

야당도	야당/NNG+도/JX
강도	강도/NNG
높은	높/VA+은/ETM
비판을	비판/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.340.2.4
변재일 민주통합당 정책위의장은 이날 국회에서 기자회견을 갖고 "산업화 논리, 성장 지상주의 담론으로 회귀한 것"이라고 비판했다.

변재일	변재일/NNP
민주통합당	민주통합당/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
이날	이날/NNG
