# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.282
metadata : {}


# id : NWRW1800000044.282.1.1
황재균 악송구에…롯데 6연패 수렁

황재균	황재균/NNP
악송구에…롯데	악송구/NNG+에/JKB+…/SE+롯데/NNP
6연패	6/SN+연패/NNG
수렁	수렁/NNG


# id : NWRW1800000044.282.2.1
[한겨레] 롯데 정훈의 직선타가 엘지(LG) 2루수 박경수의 글러브에 들어가며 경기가 끝나는 순간, 황재균은 더그아웃에서 고개를 푹 숙인 채 한참을 움직이지 않았다.

[한겨레]	[/SS+한겨레/NNP+]/SS
롯데	롯데/NNP
정훈의	정훈/NNP+의/JKG
직선타가	직선타/NNG+가/JKS
엘지(LG)	엘지/NNP+(/SS+LG/SL+)/SS
2루수	2루수/NNG
박경수의	박경수/NNP+의/JKG
글러브에	글러브/NNG+에/JKB
들어가며	들어가/VV+며/EC
경기가	경기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
순간,	순간/NNG+,/SP
황재균은	황재균/NNP+은/JX
더그아웃에서	더그아웃/NNG+에서/JKB
고개를	고개/NNG+를/JKO
푹	푹/MAG
숙인	숙이/VV+ㄴ/ETM
채	채/NNB
한참을	한참/NNG+을/JKO
움직이지	움직이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.282.2.2
경기의 패배가 자신의 결정적 실책 때문이라고 자책하는 모습이었다.

경기의	경기/NNG+의/JKG
패배가	패배/NNG+가/JKS
자신의	자신/NNG+의/JKG
결정적	결정/NNG+적/XSN
실책	실책/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
자책하는	자책/NNG+하/XSV+는/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.282.3.1
24일 사직구장에서 열린 엘지와의 안방경기 8회초는 롯데엔 악몽의 이닝이었다.

24일	24/SN+일/NNB
사직구장에서	사직구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
엘지와의	엘지/NNP+와/JKB+의/JKG
안방경기	안방/NNG+경기/NNG
8회초는	8/SN+회/NNB+초/NNB+는/JX
롯데엔	롯데/NNP+에/JKB+ㄴ/JX
악몽의	악몽/NNG+의/JKG
이닝이었다.	이닝/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.282.3.2
7회까지 2실점으로 호투한 선발투수 장원준은 5-2로 앞선 상황에서 무사에 주자 2명을 출루시키고 이정민으로 교체됐다.

7회까지	7/SN+회/NNB+까지/JX
2실점으로	2/SN+실점/NNG+으로/JKB
호투한	호투/NNG+하/XSV+ㄴ/ETM
선발투수	선발/NNG+투수/NNG
장원준은	장원준/NNP+은/JX
5-2로	5/SN+-/SO+2/SN+로/JKB
앞선	앞서/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
무사에	무사/NNG+에/JKB
주자	주자/NNG
2명을	2/SN+명/NNB+을/JKO
출루시키고	출루/NNG+시키/XSV+고/EC
이정민으로	이정민/NNP+으로/JKB
교체됐다.	교체/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.282.3.3
이정민은 엘지의 대타 이병규에게 적시타를 맞고 1점은 내줬지만 박용택과 브래드 스나이더를 삼진과 범타 처리하며 위기를 벗어나는 듯했다.

이정민은	이정민/NNP+은/JX
엘지의	엘지/NNP+의/JKG
대타	대타/NNG
이병규에게	이병규/NNP+에게/JKB
적시타를	적시타/NNG+를/JKO
맞고	맞/VV+고/EC
1점은	1/SN+점/NNB+은/JX
내줬지만	내주/VV+었/EP+지만/EC
박용택과	박용택/NNP+과/JC
브래드	브래드/NNP
스나이더를	스나이더/NNP+를/JKO
삼진과	삼진/NNG+과/JC
범타	범타/NNG
처리하며	처리/NNG+하/XSV+며/EC
위기를	위기/NNG+를/JKO
벗어나는	벗어나/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.282.3.4
하지만 후속타자 이진영의 강습 타구가 다이빙캐치를 시도한 황재균의 글러브를 맞고 내야안타가 되며 만루 위기를 맞았다.

하지만	하지만/MAJ
후속타자	후속/NNG+타자/NNG
이진영의	이진영/NNP+의/JKG
강습	강습/NNG
타구가	타구/NNG+가/JKS
다이빙캐치를	다이빙/NNG+캐치/NNG+를/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
황재균의	황재균/NNP+의/JKG
글러브를	글러브/NNG+를/JKO
맞고	맞/VV+고/EC
내야안타가	내야/NNG+안타/NNG+가/JKC
되며	되/VV+며/EC
만루	만루/NNG
위기를	위기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.282.3.5
