# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.7
metadata : {}


# id : NWRW1800000022.7.1.1
태극마크 새내기 김동찬 "우선 살아남아야죠"

태극마크	태극/NNG+마크/NNG
새내기	새내기/NNG
김동찬	김동찬/NNP
"우선	"/SS+우선/MAG
살아남아야죠"	살아남/VV+아야지/EF+요/JX+"/SS


# id : NWRW1800000022.7.2.1
살아남는 것이 목표입니다.

살아남는	살아남/VV+는/ETM
것이	것/NNB+이/JKS
목표입니다.	목표/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.7.2.2
난생 처음 국가대표로 뽑힌 김동찬(23·사진·경남FC)은 요즘 꿈을 꾸는 듯한 기분이다.

난생	난생/MAG
처음	처음/NNG
국가대표로	국가/NNG+대표/NNG+로/JKB
뽑힌	뽑히/VV+ㄴ/ETM
김동찬(23·사진·경남FC)은	김동찬/NNP+(/SS+23/SN+·/SP+사진/NNG+·/SP+경남FC/NNP+)/SS+은/JX
요즘	요즘/NNG
꿈을	꿈/NNG+을/JKO
꾸는	꾸/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.7.3.1
지난해 초만 해도 그는 소속 팀 방출 명단에 올라 있었다.

지난해	지난해/NNG
초만	초/NNB+만/JX
해도	하/VV+아도/EC
그는	그/NP+는/JX
소속	소속/NNG
팀	팀/NNG
방출	방출/NNG
명단에	명단/NNG+에/JKB
올라	오르/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.7.3.2
서귀포고를 졸업하고 2006년 경남FC 유니폼을 입은 이후 2007년까지 2시즌 동안 고작 1골.

서귀포고를	서귀포고/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
2006년	2006/SN+년/NNB
경남FC	경남FC/NNP
유니폼을	유니폼/NNG+을/JKO
입은	입/VV+은/ETM
이후	이후/NNG
2007년까지	2007/SN+년/NNB+까지/JX
2시즌	2/SN+시즌/NNG
동안	동안/NNG
고작	고작/MAG
1골.	1/SN+골/NNG+./SF


# id : NWRW1800000022.7.3.3
재능은 있지만 노력이 부족하다는 평가를 들었다.

재능은	재능/NNG+은/JX
있지만	있/VA+지만/EC
노력이	노력/NNG+이/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
평가를	평가/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.7.3.4
경남 조광래 감독은 지난해 1월 고심 끝에 "그냥 내보내기엔 공 다루는 기술이 너무 아깝다. 제대로 한번 키워보겠다"며 김동찬을 방출 명단에서 삭제했다.

경남	경남/NNP
조광래	조광래/NNP
감독은	감독/NNG+은/JX
지난해	지난해/NNG
1월	1/SN+월/NNB
고심	고심/NNG
끝에	끝/NNG+에/JKB
"그냥	"/SS+그냥/MAG
내보내기엔	내보내/VV+기/ETN+에/JKB+ㄴ/JX
공	공/NNG
다루는	다루/VV+는/ETM
기술이	기술/NNG+이/JKS
너무	너무/MAG
아깝다.	아깝/VA+다/EF+./SF
제대로	제대로/MAG
한번	한번/MAG
키워보겠다"며	키우/VV+어/EC+보/VX+겠/EP+다/EF+"/SS+며/EC
김동찬을	김동찬/NNP+을/JKO
방출	방출/NNG
명단에서	명단/NNG+에서/JKB
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.7.3.5
이후 엄격한 조련 아래 김동찬은 성장하기 시작했다.

이후	이후/NNG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
조련	조련/NNG
아래	아래/NNG
김동찬은	김동찬/NNP+은/JX
성장하기	성장/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.7.3.6
