# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.347
metadata : {}


# id : NWRW1800000022.347.1.1
[인천·부천] [현장] 꼭 영어로 써야 국제화인가

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
[현장]	[/SS+현장/NNG+]/SS
꼭	꼭/MAG
영어로	영어/NNP+로/JKB
써야	쓰/VV+어야/EC
국제화인가	국제/NNG+화/XSN+이/VCP+ㄴ가/EF


# id : NWRW1800000022.347.2.1
인천시가 그동안 송도에 운영해 온 전시·관람시설 '인천도시계획관'의 이름을 최근 '컴팩·스마트 시티(Compact·Smart City)'라 바꿨다.

인천시가	인천시/NNP+가/JKS
그동안	그동안/NNG
송도에	송도/NNP+에/JKB
운영해	운영/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
전시·관람시설	전시/NNG+·/SP+관람/NNG+시설/NNG
'인천도시계획관'의	'/SS+인천도시계획관/NNP+'/SS+의/JKG
이름을	이름/NNG+을/JKO
최근	최근/MAG
'컴팩·스마트	'/SS+컴팩/NNG+·/SP+스마트/NNG
시티(Compact·Smart	시티/NNG+(/SS+Compact/SL+·/SP+Smart/SL
City)'라	City/SL+)/SS+'/SS+라/JKQ
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.347.2.2
시는 "인천도시계획관이 세계 일류 명품도시인 인천의 이미지와 미래도시에 부합하고, 도시계획의 비전과 목표를 함축적으로 표현하며, 동북아 국제도시의 위상에 맞춰 어필할 수 있도록 이렇게 바꿨다"고 설명했다.

시는	시/NNG+는/JX
"인천도시계획관이	"/SS+인천도시계획관/NNP+이/JKS
세계	세계/NNG
일류	일류/NNG
명품도시인	명품/NNG+도시/NNG+이/VCP+ㄴ/ETM
인천의	인천/NNP+의/JKG
이미지와	이미지/NNG+와/JC
미래도시에	미래/NNG+도시/NNG+에/JKB
부합하고,	부합/NNG+하/XSV+고/EC+,/SP
도시계획의	도시/NNG+계획/NNG+의/JKG
비전과	비전/NNG+과/JC
목표를	목표/NNG+를/JKO
함축적으로	함축/NNG+적/XSN+으로/JKB
표현하며,	표현/NNG+하/XSV+며/EC+,/SP
동북아	동북아/NNP
국제도시의	국제도시/NNG+의/JKG
위상에	위상/NNG+에/JKB
맞춰	맞추/VV+어/EC
어필할	어필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
이렇게	이렇/VA+게/EC
바꿨다"고	바꾸/VV+었/EP+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.347.3.1
그러나 '컴팩'이니 '스마트'니 하는 영어를 금방 알아들 수 있는 사람이 얼마나 될까.

그러나	그러나/MAJ
'컴팩'이니	'/SS+컴팩/NNG+'/SS+이니/JC
'스마트'니	'/SS+스마트/NNG+'/SS+니/JC
하는	하/VV+는/ETM
영어를	영어/NNP+를/JKO
금방	금방/MAG
알아들	알아듣/VV
수	수/NNB
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
얼마나	얼마나/MAG
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000022.347.3.2
알기 쉬운 우리말 이름은 안 되고 굳이 어려운 영어 이름을 붙여야 국제도시의 위상에 맞는다는 걸까.

알기	알/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
우리말	우리말/NNG
이름은	이름/NNG+은/JX
안	안/MAG
되고	되/VV+고/EC
굳이	굳이/MAG
어려운	어렵/VA+ㄴ/ETM
영어	영어/NNP
이름을	이름/NNG+을/JKO
붙여야	붙이/VV+어야/EC
국제도시의	국제도시/NNG+의/JKG
위상에	위상/NNG+에/JKB
맞는다는	맞/VV+는다는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000022.347.4.1
인천시는 다른 곳에서도 영어를 남발하고 있다.

인천시는	인천시/NNP+는/JX
다른	다른/MMD
곳에서도	곳/NNG+에서/JKB+도/JX
영어를	영어/NNP+를/JKO
남발하고	남발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.347.4.2
잉글리시-프랜들리 음식점, 투모로우 시티, 아트센터, 센트럴파크역 ….

잉글리시-프랜들리	잉글리시/NNP+-/SO+프랜들리/NNG
음식점,	음식점/NNG+,/SP
투모로우	투모로우/NNG
시티,	시티/NNG+,/SP
