# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.439
metadata : {}


# id : NWRW1800000054.439.1.1
"靑이 미는 감사위원 후보라도 중립성 검토한 후에 제청할 것"

"靑이	"/SS+靑/SH+이/JKS
미는	밀/VV+는/ETM
감사위원	감사/NNG+위원/NNG
후보라도	후보/NNG+이/VCP+라도/EC
중립성	중립/NNG+성/XSN
검토한	검토/NNG+하/XSV+ㄴ/ETM
후에	후/NNG+에/JKB
제청할	제청/NNG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.439.2.1
최재형 감사원장 후보자 청문회

최재형	최재형/NNP
감사원장	감사원장/NNG
후보자	후보자/NNG
청문회	청문회/NNG


# id : NWRW1800000054.439.3.1
국회는 21일 최재형〈사진〉 감사원장 후보자에 대한 인사청문회를 열고 "감사원장으로서 직무를 무난히 수행할 수 있을 정도로 능력과 자질을 갖췄다고 판단된다"며 '적격' 의견으로 청문 보고서를 채택했다.

국회는	국회/NNG+는/JX
21일	21/SN+일/NNB
최재형〈사진〉	최재형/NNP+〈/SS+사진/NNG+〉/SS
감사원장	감사원장/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사청문회를	인사/NNG+청문회/NNG+를/JKO
열고	열/VV+고/EC
"감사원장으로서	"/SS+감사원장/NNG+으로서/JKB
직무를	직무/NNG+를/JKO
무난히	무난히/MAG
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
능력과	능력/NNG+과/JC
자질을	자질/NNG+을/JKO
갖췄다고	갖추/VV+었/EP+다고/EC
판단된다"며	판단/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
'적격'	'/SS+적격/NNG+'/SS
의견으로	의견/NNG+으로/JKB
청문	청문/NNG
보고서를	보고서/NNG+를/JKO
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.3.2
최 후보자는 이날 청문회에서 "청와대로부터 특정 인물의 감사위원 제청을 요구받더라도 감사원의 정치적 중립성과 독립성을 지킬 수 있는 의지가 있는 분인지 검토해 적임자를 제청하도록 노력하겠다"고 했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
청문회에서	청문회/NNG+에서/JKB
"청와대로부터	"/SS+청와대/NNP+로부터/JKB
특정	특정/NNG
인물의	인물/NNG+의/JKG
감사위원	감사/NNG+위원/NNG
제청을	제청/NNG+을/JKO
요구받더라도	요구/NNG+받/XSV+더라도/EC
감사원의	감사원/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립성과	중립/NNG+성/XSN+과/JC
독립성을	독립/NNG+성/XSN+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
의지가	의지/NNG+가/JKS
분인지	분/NNB+이/VCP+ㄴ지/EC
검토해	검토/NNG+하/XSV+아/EC
적임자를	적임자/NNG+를/JKO
제청하도록	제청/NNG+하/XSV+도록/EC
노력하겠다"고	노력/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.4.1
최 후보자는 이날 인사청문회에서 '청와대가 감사위원으로 누구를 제청해 달라고 요청하면 어떻게 할 것인가'라는 국민의당 김경진 의원 물음에 "임명권자(대통령)와 아무런 협의 없이 제청권을 행사하는 것이 바람직한가에 대해 다소 의문이 있다"면서도 "감사원의 정치적 중립성과 독립성을 확고히 지킬 수 있고 누가 봐도 의문의 여지가 없는 분을 추천하기 위해 제청권을 충분히 행사하겠다"고 했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
'청와대가	'/SS+청와대/NNP+가/JKS
감사위원으로	감사/NNG+위원/NNG+으로/JKB
누구를	누구/NP+를/JKO
제청해	제청/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청하면	요청/NNG+하/XSV+면/EC
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인가'라는	것/NNB+이/VCP+ㄴ가/EF+'/SS+이/VCP+라는/ETM
국민의당	국민의당/NNP
김경진	김경진/NNP
의원	의원/NNG
물음에	물음/NNG+에/JKB
"임명권자(대통령)와	"/SS+임명권자/NNG+(/SS+대통령/NNG+)/SS+와/JKB
아무런	아무런/MMD
협의	협의/NNG
없이	없이/MAG
제청권을	제청/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바람직한가에	바람직하/VA+ㄴ가/EF+에/JKB
대해	대하/VV+아/EC
다소	다소/MAG
의문이	의문/NNG+이/JKS
있다"면서도	있/VA+다/EF+"/SS+면서/EC+도/JX
"감사원의	"/SS+감사원/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립성과	중립/NNG+성/XSN+과/JC
독립성을	독립/NNG+성/XSN+을/JKO
확고히	확고히/MAG
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
누가	누구/NP+가/JKS
봐도	보/VV+아도/EC
의문의	의문/NNG+의/JKG
여지가	여지/NNB+가/JKS
없는	없/VA+는/ETM
분을	분/NNB+을/JKO
추천하기	추천/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
충분히	충분히/MAG
행사하겠다"고	행사/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.4.2
감사원장은 헌법에 따라 감사위원 제청권을 갖고 있다.

감사원장은	감사원장/NNG+은/JX
헌법에	헌법/NNG+에/JKB
따라	따르/VV+아/EC
감사위원	감사/NNG+위원/NNG
제청권을	제청/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.439.5.1
최 후보자는 전(前) 정부 시절 감사원의 정부 4대강 감사 등을 둘러싼 '코드 감사' 논란에 대해서는 "정권 교체기를 전후해 종전 정부 중요 사업에 대한 감사를 실시한 시기적 문제, 감사 시행 당시의 정부 입장에 부합하는 외관을 가졌다는 문제 때문에 논란이 있는 것을 잘 안다"며 "감사원이 감사 개시 여부나 대상 등을 독자적으로 판단해야 한다고 생각한다"고 했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
전(前)	전/MMD+(/SS+前/SH+)/SS
정부	정부/NNG
시절	시절/NNG
감사원의	감사원/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
감사	감사/NNG
등을	등/NNB+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
'코드	'/SS+코드/NNG
감사'	감사/NNG+'/SS
논란에	논란/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"정권	"/SS+정권/NNG
교체기를	교체기/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
종전	종전/NNG
중요	중요/NNG
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감사를	감사/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
시기적	시기/NNG+적/XSN
문제,	문제/NNG+,/SP
시행	시행/NNG
당시의	당시/NNG+의/JKG
입장에	입장/NNG+에/JKB
부합하는	부합/NNG+하/XSV+는/ETM
외관을	외관/NNG+을/JKO
가졌다는	가지/VV+었/EP+다는/ETM
문제	문제/NNG
때문에	때문/NNB+에/JKB
논란이	논란/NNG+이/JKS
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
잘	잘/MAG
안다"며	알/VV+ㄴ다/EF+"/SS+며/EC
"감사원이	"/SS+감사원/NNG+이/JKS
개시	개시/NNG
여부나	여부/NNG+나/JC
대상	대상/NNG
독자적으로	독자/NNG+적/XSN+으로/JKB
판단해야	판단/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.6.1
최 후보자는 '감사원 내에 적폐청산위원회를 만들 것이냐'는 질의에는 "전혀 생각해본 적 없다"고 했고, '안 만들겠다는 것으로 받아들여도 되겠느냐'는 거듭된 질문에 "그렇게 생각해도 좋다"고 답했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
'감사원	'/SS+감사원/NNG
내에	내/NNB+에/JKB
적폐청산위원회를	적폐/NNG+청산/NNG+위원회/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것이냐'는	것/NNB+이/VCP+냐/EF+'/SS+는/ETM
질의에는	질의/NNG+에/JKB+는/JX
"전혀	"/SS+전혀/MAG
생각해본	생각/NNG+하/XSV+아/EC+보/VX+ㄴ/ETM
적	적/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
'안	'/SS+안/MAG
만들겠다는	만들/VV+겠/EP+다는/ETM
것으로	것/NNB+으로/JKB
받아들여도	받아들이/VV+어도/EC
되겠느냐'는	되/VV+겠/EP+느냐/EF+'/SS+는/ETM
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
질문에	질문/NNG+에/JKB
"그렇게	"/SS+그렇/VA+게/EC
생각해도	생각/NNG+하/XSV+아도/EC
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.6.2
그는 '감사원이 국정원을 거의 감사하지 않았다'는 지적에는 "감사원이 상당히 오랫동안 감사 시도조차 하지 않은 것은 아쉬운 점"이라고 했다.

그는	그/NP+는/JX
'감사원이	'/SS+감사원/NNG+이/JKS
국정원을	국정원/NNG+을/JKO
거의	거의/MAG
감사하지	감사/NNG+하/XSV+지/EC
