# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.349
metadata : {}


# id : NWRW1800000038.349.1.1
政府조직법 타결… 47일 헛돌다 대통령 原案대로

政府조직법	政府/SH+조직법/NNG
타결…	타결/NNG+…/SE
47일	47/SN+일/NNB
헛돌다	헛돌/VV+다/EC
대통령	대통령/NNG
原案대로	原案/SH+대로/JX


# id : NWRW1800000038.349.2.1
미래부가 SO 관할… 與野, 대신 국회에 방송공정성特委 설치키로 '국정원 여직원 國調'와 '통진당 李石基(이석기)·金在姸(김재연) 자격심사' 맞바꿔

미래부가	미래부/NNG+가/JKS
SO	SO/SL
관할…	관할/NNG+…/SE
與野,	與野/SH+,/SP
대신	대신/NNG
국회에	국회/NNG+에/JKB
방송공정성特委	방송/NNG+공정/NNG+성/XSN+特委/SH
설치키로	설치/NNG+하/XSV+기/ETN+로/JKB
'국정원	'/SS+국정원/NNG
여직원	여직원/NNG
國調'와	國調/SH+'/SS+와/JC
'통진당	'/SS+통진당/NNP
李石基(이석기)·金在姸(김재연)	李石基/SH+(/SS+이석기/NNP+)/SS+·/SP+金在姸/SH+(/SS+김재연/NNP+)/SS
자격심사'	자격/NNG+심사/NNG+'/SS
맞바꿔	맞바꾸/VV+어/EF


# id : NWRW1800000038.349.3.1
여야는 17일 정부조직법 개정안 협상을 타결지었다.

여야는	여야/NNG+는/JX
17일	17/SN+일/NNB
정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
협상을	협상/NNG+을/JKO
타결지었다.	타결/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.349.3.2
개정안 제출 47일 만이고, 새 정부가 출범한 지 21일 만이다.

개정안	개정안/NNG
제출	제출/NNG
47일	47/SN+일/NNB
만이고,	만/NNB+이/VCP+고/EC+,/SP
새	새/MMA
정부가	정부/NNG+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
지	지/NNB
21일	21/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.349.4.1
정부 조직과 관련된 내용은 결국 박근혜(朴槿惠) 대통령이 원했던 기본적 틀이 대부분 관철됐다.

정부	정부/NNG
조직과	조직/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
결국	결국/MAG
박근혜(朴槿惠)	박근혜/NNP+(/SS+朴槿惠/SH+)/SS
대통령이	대통령/NNG+이/JKS
원했던	원/NNG+하/XSV+았/EP+던/ETM
기본적	기본/NNG+적/XSN
틀이	틀/NNG+이/JKS
대부분	대/XPN+부분/NNG
관철됐다.	관철/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.349.4.2
대신 야당은 국정원 여직원 댓글 의혹과 4대강 사업에 대한 국정 조사 등 정부조직법과는 무관한 정치적 사안에서 원하는 걸 얻었다.

대신	대신/NNG
야당은	야당/NNG+은/JX
국정원	국정원/NNG
여직원	여직원/NNG
댓글	댓글/NNG
의혹과	의혹/NNG+과/JC
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정	국정/NNG
조사	조사/NNG
등	등/NNB
정부조직법과는	정부/NNG+조직법/NNG+과/JKB+는/JX
무관한	무관하/VA+ㄴ/ETM
정치적	정치/NNG+적/XSN
사안에서	사안/NNG+에서/JKB
원하는	원/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.349.5.1
새누리당 이한구 원내대표와 김기현 수석부대표, 민주당 박기춘 원내대표와 우원식 수석부대표 등 4명은 이날 국회에서 최종 협상한 뒤 기자회견을 통해 이런 내용을 골자로 하는 '정부 조직 개편 관련 합의 사항' 9개 항을 발표했다.

새누리당	새누리당/NNP
이한구	이한구/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
김기현	김기현/NNP
수석부대표,	수석/NNG+부대표/NNG+,/SP
민주당	민주당/NNP
박기춘	박기춘/NNP
우원식	우원식/NNP
수석부대표	수석/NNG+부대표/NNG
등	등/NNB
4명은	4/SN+명/NNB+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
최종	최종/NNG
협상한	협상/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
통해	통하/VV+아/EC
이런	이런/MMD
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
'정부	'/SS+정부/NNG
조직	조직/NNG
개편	개편/NNG
관련	관련/NNG
합의	합의/NNG
사항'	사항/NNG+'/SS
9개	9/SN+개/NNB
항을	항/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.6.1
합의안에 따르면 마지막까지 쟁점이 됐던 SO(종합유선방송사업자) 등 방송·통신 관련 업무는 대부분 미래부가 관할하는 것으로 정리됐다.

합의안에	합의안/NNG+에/JKB
따르면	따르/VV+면/EC
