# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.150
metadata : {}


# id : NWRW1800000032.150.1.1
야스쿠니신사 한밤중 방화 일 언론 “재일한국인 의심”

야스쿠니신사	야스쿠니신사/NNP
한밤중	한/XPN+밤중/NNG
방화	방화/NNG
일	일/NNP
언론	언론/NNG
“재일한국인	“/SS+재일/NNG+한국인/NNG
의심”	의심/NNG+”/SS


# id : NWRW1800000032.150.2.1
인터넷에 범행예고…목재 기둥 10㎝ 그을려

인터넷에	인터넷/NNG+에/JKB
범행예고…목재	범행/NNG+예고/NNG+…/SE+목재/NNG
기둥	기둥/NNG
10㎝	10/SN+㎝/SW
그을려	그을리/VV+어/EF


# id : NWRW1800000032.150.3.1
제2차 세계대전 에이(A)급 전범을 포함해 일본의 전몰 군인 등을 추모하는 야스쿠니신사의 문에 26일 누군가 불을 지른 사건이 일어났다.

제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
에이(A)급	에이/NNG+(/SS+A/SL+)/SS+급/NNG
전범을	전범/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
일본의	일본/NNP+의/JKG
전몰	전몰/NNG
군인	군인/NNG
등을	등/NNB+을/JKO
추모하는	추모/NNG+하/XSV+는/ETM
야스쿠니신사의	야스쿠니신사/NNP+의/JKG
문에	문/NNG+에/JKB
26일	26/SN+일/NNB
누군가	누구/NP+이/VCP+ㄴ가/EF
불을	불/NNG+을/JKO
지른	지르/VV+ㄴ/ETM
사건이	사건/NNG+이/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.150.3.2
불은 곧 꺼져 큰 피해는 없었으나, 일본 언론들은 방화사건 전 인터넷에 오른 글을 근거로 재일한국인이 관련된 것 아닌가 의혹을 제기하고 있다.

불은	불/NNG+은/JX
곧	곧/MAG
꺼져	꺼지/VV+어/EC
큰	크/VA+ㄴ/ETM
피해는	피해/NNG+는/JX
없었으나,	없/VA+었/EP+으나/EC+,/SP
일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
방화사건	방화/NNG+사건/NNG
전	전/NNG
인터넷에	인터넷/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
글을	글/NNG+을/JKO
근거로	근거/NNG+로/JKB
재일한국인이	재일/NNG+한국인/NNG+이/JKS
관련된	관련/NNG+되/XSV+ㄴ/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
의혹을	의혹/NNG+을/JKO
제기하고	제기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.150.4.1
일본 언론 보도를 보면, 이날 새벽 4시10분께 도쿄 지요다구 야스쿠니신사의 한가운데에 있는 ‘신문’이라는 목재 문의 기둥에 위아래 모두 검은 옷을 입은 한 남자가 용기에 담긴 액체를 뿌리고 불을 붙이는 것을 경비원이 방범 카메라를 보고 발견해 경찰에 신고했다.

일본	일본/NNP
언론	언론/NNG
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
이날	이날/NNG
새벽	새벽/NNG
4시10분께	4/SN+시/NNB+10/SN+분/NNB+께/XSN
도쿄	도쿄/NNP
지요다구	지요다구/NNP
야스쿠니신사의	야스쿠니신사/NNP+의/JKG
한가운데에	한/XPN+가운데/NNG+에/JKB
있는	있/VA+는/ETM
‘신문’이라는	‘/SS+신문/NNG+’/SS+이/VCP+라는/ETM
목재	목재/NNG
문의	문/NNG+의/JKG
기둥에	기둥/NNG+에/JKB
위아래	위아래/NNG
모두	모두/MAG
검은	검/VA+은/ETM
옷을	옷/NNG+을/JKO
입은	입/VV+은/ETM
한	한/MMN
남자가	남자/NNG+가/JKS
용기에	용기/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
액체를	액체/NNG+를/JKO
뿌리고	뿌리/VV+고/EC
불을	불/NNG+을/JKO
붙이는	붙이/VV+는/ETM
것을	것/NNB+을/JKO
경비원이	경비원/NNG+이/JKS
방범	방범/NNG
카메라를	카메라/NNG+를/JKO
보고	보/VV+고/EC
발견해	발견/NNG+하/XSV+아/EC
경찰에	경찰/NNG+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.150.4.2
불은 경비원이 소화기로 곧바로 꺼 큰 피해는 없었다.

불은	불/NNG+은/JX
경비원이	경비원/NNG+이/JKS
소화기로	소화기/NNG+로/JKB
곧바로	곧바로/MAG
꺼	끄/VV+어/EC
큰	크/VA+ㄴ/ETM
피해는	피해/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.150.5.1
경찰이 출동해 보니, 현장에는 등유를 뿌린 흔적이 남아 있었고 등유를 넣었던 것으로 보이는 컵 2개가 떨어져 있었다.

경찰이	경찰/NNG+이/JKS
출동해	출동/NNG+하/XSV+아/EC
보니,	보/VX+니/EC+,/SP
현장에는	현장/NNG+에/JKB+는/JX
등유를	등유/NNG+를/JKO
뿌린	뿌리/VV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
남아	남/VV+아/EC
있었고	있/VX+었/EP+고/EC
넣었던	넣/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
컵	컵/NNG
2개가	2/SN+개/NNB+가/JKS
떨어져	떨어지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.150.5.2
문기둥은 너비 10㎝가량 불에 그을려 있었다.

문기둥은	문기둥/NNG+은/JX
너비	너비/NNG
10㎝가량	10/SN+㎝/SW+가량/XSN
불에	불/NNG+에/JKB
그을려	그을리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.150.5.3
신문은 높이 약 13m로, 신사 본전에서 50m쯤 떨어져 있다.

신문은	신문/NNG+은/JX
높이	높이/NNG
약	약/MMA
13m로,	13/SN+m/SW+로/JKB+,/SP
신사	신사/NNG
본전에서	본전/NNG+에서/JKB
50m쯤	50/SN+m/SW+쯤/XSN
떨어져	떨어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.150.5.4
신문은 오후 5시부터 오전 6시까지는 닫히지만, 그 앞까지는 밤에도 출입이 자유롭다.

신문은	신문/NNG+은/JX
오후	오후/NNG
5시부터	5/SN+시/NNB+부터/JX
오전	오전/NNG
6시까지는	6/SN+시/NNB+까지/JX+는/JX
닫히지만,	닫히/VV+지만/EC+,/SP
그	그/MMD
앞까지는	앞/NNG+까지/JX+는/JX
밤에도	밤/NNG+에/JKB+도/JX
출입이	출입/NNG+이/JKS
자유롭다.	자유/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000032.150.5.5
경찰은 방범 카메라에 찍힌 범행 장면을 바탕으로 불이 방화로 일어난 것으로 보고 수사를 벌이고 있다.

경찰은	경찰/NNG+은/JX
방범	방범/NNG
카메라에	카메라/NNG+에/JKB
찍힌	찍히/VV+ㄴ/ETM
범행	범행/NNG
장면을	장면/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
불이	불/NNG+이/JKS
방화로	방화/NNG+로/JKB
일어난	일어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
수사를	수사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.150.6.1
<티비에스>(TBS) 방송은 “사건 전에 트위터에 ‘재일코리안(재일한국·조선인)의 고통을 대변해도 어차피 일본인의 마음에는 도달하지 못한다.

<티비에스>(TBS)	</SS+티비에스/NNP+>/SS+(/SS+TBS/SL+)/SS
방송은	방송/NNG+은/JX
“사건	“/SS+사건/NNG
전에	전/NNG+에/JKB
트위터에	트위터/NNP+에/JKB
‘재일코리안(재일한국·조선인)의	‘/SS+재일/NNG+코리안/NNP+(/SS+재일/NNG+한국/NNP+·/SP+조선인/NNG+)/SS+의/JKG
고통을	고통/NNG+을/JKO
대변해도	대변/NNG+하/XSV+아도/EC
어차피	어차피/MAG
일본인의	일본인/NNG+의/JKG
마음에는	마음/NNG+에/JKB+는/JX
도달하지	도달/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.150.6.2
그렇다면 야스쿠니신사를 불태워 버리겠다’는 등 범행을 예고하는 듯한 글이 올라온 적이 있다”며 경시청이 범행과 관련됐는지 조사하고 있다고 전했다.

그렇다면	그렇/VA+다면/EC
야스쿠니신사를	야스쿠니신사/NNP+를/JKO
불태워	불태우/VV+어/EC
버리겠다’는	버리/VX+겠/EP+다/EF+’/SS+는/ETM
등	등/NNB
범행을	범행/NNG+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
글이	글/NNG+이/JKS
올라온	올라오/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
경시청이	경시청/NNG+이/JKS
범행과	범행/NNG+과/JKB
관련됐는지	관련/NNG+되/XSV+었/EP+는지/EC
조사하고	조사/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.150.6.3
해당 트위터 계정의 사용자는 김씨 성을 가진 도치기현의 대학생이라고 자신을 밝혔던 것으로 알려졌으며, 이날 계정을 삭제했다.

해당	해당/NNG
트위터	트위터/NNP
계정의	계정/NNG+의/JKG
사용자는	사용자/NNG+는/JX
김씨	김/NNP+씨/NNB
성을	성/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
도치기현의	도치기현/NNP+의/JKG
대학생이라고	대학/NNG+생/XSN+이/VCP+라고/EC
자신을	자신/NNG+을/JKO
밝혔던	밝히/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌으며,	알려지/VV+었/EP+으며/EC+,/SP
이날	이날/NNG
계정을	계정/NNG+을/JKO
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.150.7.1
야스쿠니신사는 메이지유신 직후인 1869년 막부군과의 싸움에서 숨진 군인들을 ‘호국의 신’으로 제사 지내기 위해 건립한 곳으로, 2차 세계대전 당시 전범도 추도하고 있다.

야스쿠니신사는	야스쿠니신사/NNP+는/JX
메이지유신	메이지/NNG+유신/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1869년	1869/SN+년/NNB
막부군과의	막부군/NNG+과/JKB+의/JKG
싸움에서	싸움/NNG+에서/JKB
숨진	숨지/VV+ㄴ/ETM
군인들을	군인/NNG+들/XSN+을/JKO
‘호국의	‘/SS+호국/NNG+의/JKG
신’으로	신/NNG+’/SS+으로/JKB
제사	제사/NNG
지내기	지내/VV+기/ETN
위해	위하/VV+아/EC
건립한	건립/NNG+하/XSV+ㄴ/ETM
곳으로,	곳/NNG+으로/JKB+,/SP
2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
당시	당시/NNG
전범도	전범/NNG+도/JX
추도하고	추도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.150.7.2
강화도 사건, 의병 진압, 제2차 세계대전 등 일본의 각종 침략전쟁에 관련된 이들을 찬양하는 내용을 전시한 부속건물도 두고 있다.

강화도	강화도/NNP
사건,	사건/NNG+,/SP
의병	의병/NNG
진압,	진압/NNG+,/SP
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
등	등/NNB
일본의	일본/NNP+의/JKG
각종	각종/NNG
침략전쟁에	침략/NNG+전쟁/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
찬양하는	찬양/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
