# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.41
metadata : {}


# id : NWRW1800000038.41.1.1
벌써 힘빠지는 오바마, 그 뒤에서 웃는 힐러리

벌써	벌써/MAG
힘빠지는	힘/NNG+빠지/VV+는/ETM
오바마,	오바마/NNP+,/SP
그	그/MMD
뒤에서	뒤/NNG+에서/JKB
웃는	웃/VV+는/ETM
힐러리	힐러리/NNP


# id : NWRW1800000038.41.2.1
오바마, 잇단 악재로 지지율 추락… 일부 민주당 의원, 힐러리 공개지지

오바마,	오바마/NNP+,/SP
잇단	잇달/VV+ㄴ/ETM
악재로	악재/NNG+로/JKB
지지율	지지/NNG+율/XSN
추락…	추락/NNG+…/SE
일부	일부/NNG
민주당	민주당/NNP
의원,	의원/NNG+,/SP
힐러리	힐러리/NNP
공개지지	공개/NNG+지지/NNG


# id : NWRW1800000038.41.3.1
미국 집권 민주당의 권력 추가 벌써부터 차기 대선 주자인 힐러리 클린턴 전 국무장관 쪽으로 이동하는 흐름을 보이고 있다.

미국	미국/NNP
집권	집권/NNG
민주당의	민주당/NNP+의/JKG
권력	권력/NNG
추가	추/NNG+가/JKS
벌써부터	벌써/MAG+부터/JX
차기	차기/NNG
대선	대선/NNG
주자인	주자/NNG+이/VCP+ㄴ/ETM
힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
국무장관	국무/NNG+장관/NNG
쪽으로	쪽/NNB+으로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
흐름을	흐름/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.41.4.1
버락 오바마 대통령은 집권 2기를 시작한 지 5개월밖에 지나지 않았고 다음 대선까지는 아직 3년 이상 남겨 두고 있다.

버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
집권	집권/NNG
2기를	2/SN+기/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
5개월밖에	5/SN+개월/NNB+밖에/JX
지나지	지나/VV+지/EC
않았고	않/VX+았/EP+고/EC
다음	다음/NNG
대선까지는	대선/NNG+까지/JX+는/JX
아직	아직/MAG
3년	3/SN+년/NNB
이상	이상/NNG
남겨	남기/VV+어/EC
두고	두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.41.4.2
