# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.399
metadata : {}


# id : NWRW1800000049.399.1.1
‘경기영어마을’ 12년만에 간판 내린다

‘경기영어마을’	‘/SS+경기영어마을/NNP+’/SS
12년만에	12/SN+년/NNB+만/NNB+에/JKB
간판	간판/NNG
내린다	내리/VV+ㄴ다/EF


# id : NWRW1800000049.399.2.1
미래인재 양성기관 전환

미래인재	미래/NNG+인재/NNG
양성기관	양성/NNG+기관/NNG
전환	전환/NNG


# id : NWRW1800000049.399.3.1
영어마을의 ‘원조’인 경기영어마을이 12년 만에 간판을 바꾼다.

영어마을의	영어/NNP+마을/NNG+의/JKG
‘원조’인	‘/SS+원조/NNG+’/SS+이/VCP+ㄴ/ETM
경기영어마을이	경기영어마을/NNP+이/JKS
12년	12/SN+년/NNB
만에	만/NNB+에/JKB
간판을	간판/NNG+을/JKO
바꾼다.	바꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.399.4.1
경기도는 영어교육 전문기관인 경기영어마을 파주캠프와 양평캠프를 미래인재 양성을 위한 교육기관으로 전환한다고 29일 밝혔다.

경기도는	경기도/NNP+는/JX
영어교육	영어/NNP+교육/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
경기영어마을	경기영어마을/NNP
파주캠프와	파주/NNP+캠프/NNG+와/JC
양평캠프를	양평/NNP+캠프/NNG+를/JKO
미래인재	미래/NNG+인재/NNG
양성을	양성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교육기관으로	교육/NNG+기관/NNG+으로/JKB
전환한다고	전환/NNG+하/XSV+ㄴ다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.399.4.2
경기영어마을은 2002년 당시 손학규 경기도지사가 취임하면서 적극적으로 추진한 사업이다.

경기영어마을은	경기영어마을/NNP+은/JX
2002년	2002/SN+년/NNB
당시	당시/NNG
손학규	손학규/NNP
경기도지사가	경기/NNP+도지사/NNG+가/JKS
취임하면서	취임/NNG+하/XSV+면서/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
추진한	추진/NNG+하/XSV+ㄴ/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.399.4.3
교육과 함께 영어문화권의 생생한 체험을 할 수 있게 하자는 취지였다.

교육과	교육/NNG+과/JKB
함께	함께/MAG
영어문화권의	영어/NNP+문화/NNG+권/XSN+의/JKG
생생한	생생하/VA+ㄴ/ETM
체험을	체험/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하자는	하/VX+자는/ETM
취지였다.	취지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.399.5.1
2004년 8월 안산캠프(2012년 12월 폐쇄)를 시작으로 파주캠프(2006년), 양평캠프(2008년)가 잇따라 문을 열었다.

2004년	2004/SN+년/NNB
8월	8/SN+월/NNB
안산캠프(2012년	안산/NNP+캠프/NNG+(/SS+2012/SN+년/NNB
12월	12/SN+월/NNB
폐쇄)를	폐쇄/NNG+)/SS+를/JKO
시작으로	시작/NNG+으로/JKB
파주캠프(2006년),	파주/NNP+캠프/NNG+(/SS+2006/SN+년/NNB+)/SS+,/SP
양평캠프(2008년)가	양평/NNP+캠프/NNG+(/SS+2008/SN+년/NNB+)/SS+가/JKS
잇따라	잇따르/VV+아/EC
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.399.5.2
파주·양평캠프 조성에는 1600억 원이 넘는 사업비가 투입됐다.

파주·양평캠프	파주/NNP+·/SP+양평/NNP+캠프/NNG
조성에는	조성/NNG+에/JKB+는/JX
1600억	1600/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
사업비가	사업비/NNG+가/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.399.5.3
특히 체류형 마을 형태의 파주캠프가 초기부터 인기를 끌면서 전국적으로 비슷한 영어마을 조성 열풍을 불러왔다.

특히	특히/MAG
체류형	체류/NNG+형/XSN
마을	마을/NNG
형태의	형태/NNG+의/JKG
파주캠프가	파주/NNP+캠프/NNG+가/JKS
초기부터	초기/NNG+부터/JX
인기를	인기/NNG+를/JKO
끌면서	끌/VV+면서/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
비슷한	비슷하/VA+ㄴ/ETM
영어마을	영어/NNP+마을/NNG
조성	조성/NNG
열풍을	열풍/NNG+을/JKO
불러왔다.	불러오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.399.5.4
그러나 ‘학습효과’를 놓고 찬반 논란이 불거지고 비슷한 시설이 50개 안팎에 이르면서 경기영어마을의 인기도 시들해졌다.

그러나	그러나/MAJ
‘학습효과’를	‘/SS+학습/NNG+효과/NNG+’/SS+를/JKO
놓고	놓/VV+고/EC
찬반	찬반/NNG
논란이	논란/NNG+이/JKS
불거지고	불거지/VV+고/EC
비슷한	비슷하/VA+ㄴ/ETM
시설이	시설/NNG+이/JKS
50개	50/SN+개/NNB
안팎에	안팎/NNG+에/JKB
이르면서	이르/VV+면서/EC
경기영어마을의	경기영어마을/NNP+의/JKG
인기도	인기/NNG+도/JX
시들해졌다.	시들하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.399.5.5
지난해 하루 평균 방문 인원은 파주캠프 610명, 양평캠프 52명에 그쳤다.

지난해	지난해/NNG
하루	하루/NNG
평균	평균/NNG
방문	방문/NNG
인원은	인원/NNG+은/JX
파주캠프	파주/NNP+캠프/NNG
610명,	610/SN+명/NNB+,/SP
양평캠프	양평/NNP+캠프/NNG
52명에	52/SN+명/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.399.6.1
이에 따라 경기도는 경기영어마을의 운영방식을 바꿔 다양한 창의교육 프로그램과 소프트웨어 워크숍 등이 진행되는 미래형 인재 교육 및 연수 기관으로 운영하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
경기도는	경기도/NNP+는/JX
경기영어마을의	경기영어마을/NNP+의/JKG
운영방식을	운영/NNG+방식/NNG+을/JKO
바꿔	바꾸/VV+어/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
창의교육	창의/NNG+교육/NNG
프로그램과	프로그램/NNG+과/JC
소프트웨어	소프트웨어/NNG
워크숍	워크숍/NNG
등이	등/NNB+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
미래형	미래/NNG+형/XSN
인재	인재/NNG
교육	교육/NNG
및	및/MAG
연수	연수/NNG
기관으로	기관/NNG+으로/JKB
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.399.6.2
28일 파주캠프에서 이준식 사회부총리 겸 교육부 장관과 남경필 경기도지사, 김승환 한국과학창의재단 이사장 등은 이런 내용을 담은 ‘미래교육 공동협력 업무협약’을 체결했다.

28일	28/SN+일/NNB
파주캠프에서	파주/NNP+캠프/NNG+에서/JKB
이준식	이준식/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관과	장관/NNG+과/JC
남경필	남경필/NNP
경기도지사,	경기/NNP+도지사/NNG+,/SP
김승환	김승환/NNP
한국과학창의재단	한국과학창의재단/NNP
이사장	이사장/NNG
등은	등/NNB+은/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘미래교육	‘/SS+미래/NNG+교육/NNG
공동협력	공동/NNG+협력/NNG
업무협약’을	업무/NNG+협약/NNG+’/SS+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.399.7.1
남 지사는 “최근 인공지능 변호사의 로펌 취직과 같은 미래 사회 모습이 관심을 끌면서 교육혁신의 필요성이 화두로 떠올랐다”며 “미래형 교육을 선도하는 교육기반을 경기영어마을에 선제적으로 조성하겠다”고 말했다.

남	남/NNP
지사는	지사/NNG+는/JX
“최근	“/SS+최근/NNG
인공지능	인공/NNG+지능/NNG
변호사의	변호사/NNG+의/JKG
로펌	로펌/NNG
취직과	취직/NNG+과/JKB
같은	같/VA+은/ETM
미래	미래/NNG
사회	사회/NNG
모습이	모습/NNG+이/JKS
관심을	관심/NNG+을/JKO
끌면서	끌/VV+면서/EC
교육혁신의	교육/NNG+혁신/NNG+의/JKG
필요성이	필요/NNG+성/XSN+이/JKS
화두로	화두/NNG+로/JKB
떠올랐다”며	떠오르/VV+았/EP+다/EF+”/SS+며/EC
“미래형	“/SS+미래/NNG+형/XSN
교육을	교육/NNG+을/JKO
