# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.238
metadata : {}


# id : NWRW1800000041.238.1.1
萬手 만세… 유재학, 코트 최고명장으로

萬手	萬手/SH
만세…	만세/NNG+…/SE
유재학,	유재학/NNP+,/SP
코트	코트/NNG
최고명장으로	최고/NNG+명장/NNG+으로/JKB


# id : NWRW1800000041.238.2.1
모비스 두 시즌 연속 챔프 이끌어 프로농구 사령탑 최다 4회 우승… 다양한 전술에 선수 발굴도 탁월

모비스	모비스/NNP
두	두/MMN
시즌	시즌/NNG
연속	연속/NNG
챔프	챔프/NNG
이끌어	이끌/VV+어/EC
프로농구	프로/NNG+농구/NNG
사령탑	사령탑/NNG
최다	최다/NNG
4회	4/SN+회/NNB
우승…	우승/NNG+…/SE
다양한	다양/NNG+하/XSA+ㄴ/ETM
전술에	전술/NNG+에/JKB
선수	선수/NNG
발굴도	발굴/NNG+도/JX
탁월	탁월/XR


# id : NWRW1800000041.238.3.1
줄곧 팔짱을 끼고 코트를 응시하던 유재학 모비스 감독이 두 손을 모아 이마에 붙였다.

줄곧	줄곧/MAG
팔짱을	팔짱/NNG+을/JKO
끼고	끼/VV+고/EC
코트를	코트/NNG+를/JKO
응시하던	응시/NNG+하/XSV+던/ETM
유재학	유재학/NNP
모비스	모비스/NNP
감독이	감독/NNG+이/JKS
두	두/MMN
손을	손/NNG+을/JKO
모아	모으/VV+아/EC
이마에	이마/NNG+에/JKB
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.3.2
허공을 응시하던 그의 눈시울이 붉게 물들었다.

허공을	허공/NNG+을/JKO
응시하던	응시/NNG+하/XSV+던/ETM
그의	그/NP+의/JKG
눈시울이	눈시울/NNG+이/JKS
붉게	붉/VA+게/EC
물들었다.	물들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.3.3
프로농구 원년인 1997시즌부터 코치와 감독으로 한 시즌도 쉬지 않으며 984경기에서 벤치를 지킨 ‘만수(萬手) 감독’도 이 순간만큼은 감정을 감출 수 없었다.

프로농구	프로/NNG+농구/NNG
원년인	원년/NNG+이/VCP+ㄴ/ETM
1997시즌부터	1997/SN+시즌/NNG+부터/JX
코치와	코치/NNG+와/JC
감독으로	감독/NNG+으로/JKB
한	한/MMN
시즌도	시즌/NNG+도/JX
쉬지	쉬/VV+지/EC
않으며	않/VX+으며/EC
984경기에서	984/SN+경기/NNG+에서/JKB
벤치를	벤치/NNG+를/JKO
지킨	지키/VV+ㄴ/ETM
‘만수(萬手)	‘/SS+만수/NNG+(/SS+萬手/SH+)/SS
감독’도	감독/NNG+’/SS+도/JX
이	이/MMD
순간만큼은	순간/NNG+만큼/JKB+은/JX
감정을	감정/NNG+을/JKO
감출	감추/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.238.3.4
