# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.216
metadata : {}


# id : NWRW1800000056.216.1.1
정부, 가뭄대책비 등 166억원 추가 지원

정부,	정부/NNG+,/SP
가뭄대책비	가뭄/NNG+대책비/NNG
등	등/NNB
166억원	166/SN+억/NR+원/NNB
추가	추가/NNG
지원	지원/NNG


# id : NWRW1800000056.216.2.1
국토·농림·안전 등 ‘합동 상황반 회의’

국토·농림·안전	국토/NNG+·/SP+농림/NNG+·/SP+안전/NNG
등	등/NNB
‘합동	‘/SS+합동/NNG
상황반	상황반/NNG
회의’	회의/NNG+’/SS


# id : NWRW1800000056.216.3.1
가뭄대책비·저수지 준설비 166억 지원

가뭄대책비·저수지	가뭄/NNG+대책비/NNG+·/SP+저수지/NNG
준설비	준설비/NNG
166억	166/SN+억/NR
지원	지원/NNG


# id : NWRW1800000056.216.4.1
강수량 평년 절반, 저수지 저수율 57%

강수량	강수량/NNG
평년	평년/NNG
절반,	절반/NNG+,/SP
저수지	저수지/NNG
저수율	저수/NNG+율/XSN
57%	57/SN+%/SW


# id : NWRW1800000056.216.5.1
정부 “모내기는 정상적으로 진행중”

정부	정부/NNG
“모내기는	“/SS+모내기/NNG+는/JX
정상적으로	정상/NNG+적/XSN+으로/JKB
진행중”	진행/NNG+중/NNB+”/SS


# id : NWRW1800000056.216.6.1
농번기에 가뭄이 심각해지면서, 정부가 예산 166억원을 추가로 가뭄대책비 지원에 쓰기로 했다.

농번기에	농번기/NNG+에/JKB
가뭄이	가뭄/NNG+이/JKS
심각해지면서,	심각하/VA+아/EC+지/VX+면서/EC+,/SP
정부가	정부/NNG+가/JKS
예산	예산/NNG
166억원을	166/SN+억/NR+원/NNB+을/JKO
추가로	추가/NNG+로/JKB
가뭄대책비	가뭄/NNG+대책비/NNG
지원에	지원/NNG+에/JKB
쓰기로	쓰/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.216.7.1
