# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.221
metadata : {}


# id : NWRW1800000030.221.1.1
한 명만 다쳐도 휘청… 축구대표팀 플랜 B(차선책)가 없다

한	한/MMN
명만	명/NNB+만/JX
다쳐도	다치/VV+어도/EC
휘청…	휘청/MAG+…/SE
축구대표팀	축구/NNG+대표/NNG+팀/NNG
플랜	플랜/NNG
B(차선책)가	B/SL+(/SS+차선책/NNG+)/SS+가/JKS
없다	없/VA+다/EF


# id : NWRW1800000030.221.2.1
•월드컵 아시아 3차 예선_박주영 골로 쿠웨이트와 비겨베스트

•월드컵	•/SW+월드컵/NNG
아시아	아시아/NNP
3차	3/SN+차/NNB
예선_박주영	예선/NNG+_/SS+박주영/NNP
골로	골/NNG+로/JKB
쿠웨이트와	쿠웨이트/NNP+와/JKB
비겨베스트	비기/VV+어/EF+베스트/NNG


# id : NWRW1800000030.221.3.1
조광래 감독이 이끄는 한국 축구 대표팀이 7일 오전(한국 시각) 쿠웨이트에서 열린 2014 브라질월드컵 아시아 3차 예선 조별리그 2차전에서 쿠웨이트와 1대1 무승부를 기록했다.

조광래	조광래/NNP
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
한국	한국/NNP
축구	축구/NNG
대표팀이	대표/NNG+팀/NNG+이/JKS
7일	7/SN+일/NNB
오전(한국	오전/NNG+(/SS+한국/NNP
시각)	시각/NNG+)/SS
쿠웨이트에서	쿠웨이트/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2014	2014/SN
브라질월드컵	브라질/NNP+월드컵/NNG
아시아	아시아/NNP
3차	3/SN+차/NNB
예선	예선/NNG
조별리그	조별/NNG+리그/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
쿠웨이트와	쿠웨이트/NNP+와/JC
1대1	1/SN+대/NNB+1/SN
무승부를	무/XPN+승부/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.3.2
한국은 전반 8분 박주영이 남태희의 패스를 받아 호쾌한 오른발 슛으로 선제골을 터뜨렸지만 후반 8분 상대에 동점골을 허용했다.

한국은	한국/NNP+은/JX
전반	전반/NNG
8분	8/SN+분/NNB
박주영이	박주영/NNP+이/JKS
남태희의	남태희/NNP+의/JKG
패스를	패스/NNG+를/JKO
받아	받/VV+아/EC
호쾌한	호쾌하/VA+ㄴ/ETM
오른발	오른발/NNG
슛으로	슛/NNG+으로/JKB
선제골을	선제골/NNG+을/JKO
터뜨렸지만	터뜨리/VV+었/EP+지만/EC
후반	후반/NNG
상대에	상대/NNG+에/JKB
동점골을	동점/NNG+골/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.4.1
한국은 쿠웨이트와 나란히 1승1무를 기록했지만 골득실(한국 +6, 쿠웨이트 +1)에서 앞서 B조 1위를 지켰다.

한국은	한국/NNP+은/JX
쿠웨이트와	쿠웨이트/NNP+와/JKB
나란히	나란히/MAG
1승1무를	1/SN+승/NNB+1/SN+무/NNB+를/JKO
기록했지만	기록/NNG+하/XSV+았/EP+지만/EC
골득실(한국	골/NNG+득실/NNG+(/SS+한국/NNP
+6,	+/SW+6/SN+,/SP
쿠웨이트	쿠웨이트/NNP
+1)에서	+/SW+1/SN+)/SS+에서/JKB
앞서	앞서/VV+어/EC
B조	B/SL+조/NNG
1위를	1/SN+위/NNB+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.4.2
UAE와의 3차전은 다음달 11일 국내(장소 미정)에서 열린다.

UAE와의	UAE/SL+와/JKB+의/JKG
3차전은	3/SN+차전/NNB+은/JX
다음달	다음/NNG+달/NNG
11일	11/SN+일/NNB
국내(장소	국내/NNG+(/SS+장소/NNG
미정)에서	미정/NNG+)/SS+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.221.5.1
한국 축구는 이번 경기에서 기존 베스트 11이 부진하거나 경기가 의도대로 풀리지 않을 때 그에 대비한 '플랜 B(Plan B·차선책이란 뜻)'가 없다는 문제점을 드러냈다.

한국	한국/NNP
축구는	축구/NNG+는/JX
이번	이번/NNG
경기에서	경기/NNG+에서/JKB
기존	기존/NNG
베스트	베스트/NNG
11이	11/SN+이/JKS
부진하거나	부진/NNG+하/XSA+거나/EC
경기가	경기/NNG+가/JKS
의도대로	의도/NNG+대로/JX
풀리지	풀리/VV+지/EC
않을	않/VX+을/ETM
때	때/NNG
그에	그/NP+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
'플랜	'/SS+플랜/NNG
B(Plan	B/SL+(/SS+Plan/SL
B·차선책이란	B/SL+·/SP+차선책/NNG+이/VCP+란/ETM
뜻)'가	뜻/NNG+)/SS+'/SS+가/JKS
없다는	없/VA+다는/ETM
문제점을	문제점/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.6.1
조광래 감독은 한·일전 0대3 패배 이후 "주전 같은 백업이 많이 필요하다"고 했다.

조광래	조광래/NNP
감독은	감독/NNG+은/JX
한·일전	한·일전/NNG
0대3	0/SN+대/NNB+3/SN
패배	패배/NNG
이후	이후/NNG
"주전	"/SS+주전/NNG
같은	같/VA+은/ETM
백업이	백업/NNG+이/JKS
많이	많이/MAG
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.6.2
그동안 주전으로 뛴 선수들에 대한 의존도가 심하다는 비판을 의식한 발언이었다.

그동안	그동안/NNG
주전으로	주전/NNG+으로/JKB
뛴	뛰/VV+ㄴ/ETM
