# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.275
metadata : {}


# id : NWRW1800000048.275.1.1
‘지상파 출구조사 방송 3초 뒤’ 보도…경찰 “손석희 영업비밀 침해”

‘지상파	‘/SS+지상파/NNG
출구조사	출구/NNG+조사/NNG
방송	방송/NNG
3초	3/SN+초/NNB
뒤’	뒤/NNG+’/SS
보도…경찰	보도/NNG+…/SE+경찰/NNG
“손석희	“/SS+손석희/NNP
영업비밀	영업/NNG+비밀/NNG
침해”	침해/NNG+”/SS


# id : NWRW1800000048.275.2.1
JTBC 관계자 6명도 기소의견 검찰 송치

JTBC	JTBC/SL
관계자	관계자/NNG
6명도	6/SN+명/NNB+도/JX
기소의견	기소/NNG+의견/NNG
검찰	검찰/NNG
송치	송치/NNG


# id : NWRW1800000048.275.3.1
“방송시점 아닌 입력시점이 문제”

“방송시점	“/SS+방송/NNG+시점/NNG
아닌	아니/VCN+ㄴ/ETM
입력시점이	입력/NNG+시점/NNG+이/JKS
문제”	문제/NNG+”/SS


# id : NWRW1800000048.275.4.1
JTBC쪽 “정상적인 인용 보도”

JTBC쪽	JTBC/SL+쪽/NNB
“정상적인	“/SS+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
인용	인용/NNG
보도”	보도/NNG+”/SS


# id : NWRW1800000048.275.5.1
서울지방경찰청 국제범죄수사대는 지상파 방송 3사의 지난해 6·4 지방선거 출구조사 결과를 사전 입수해 지상파들과 거의 같은 시간대에 보도한 혐의(부정경쟁방지 및 영업비밀보호법 위반)로 손석희(59) <제이티비시>(JTBC) 보도부문 사장을 기소 의견으로 검찰에 송치했다고 29일 밝혔다.

서울지방경찰청	서울지방경찰청/NNP
국제범죄수사대는	국제/NNG+범죄/NNG+수사대/NNG+는/JX
지상파	지상파/NNG
방송	방송/NNG
3사의	3사/NNG+의/JKG
지난해	지난해/NNG
6·4	6/SN+·/SP+4/SN
지방선거	지방/NNG+선거/NNG
출구조사	출구/NNG+조사/NNG
결과를	결과/NNG+를/JKO
사전	사전/NNG
입수해	입수/NNG+하/XSV+아/EC
지상파들과	지상파/NNG+들/XSN+과/JKB
거의	거의/MAG
같은	같/VA+은/ETM
시간대에	시간대/NNG+에/JKB
보도한	보도/NNG+하/XSV+ㄴ/ETM
혐의(부정경쟁방지	혐의/NNG+(/SS+부정/NNG+경쟁/NNG+방지/NNG
및	및/MAG
영업비밀보호법	영업/NNG+비밀/NNG+보호법/NNG
위반)로	위반/NNG+)/SS+로/JKB
손석희(59)	손석희/NNP+(/SS+59/SN+)/SS
<제이티비시>(JTBC)	</SS+제이티비시/NNP+>/SS+(/SS+JTBC/SL+)/SS
보도부문	보도/NNG+부문/NNG
사장을	사장/NNG+을/JKO
기소	기소/NNG
의견으로	의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
송치했다고	송치/NNG+하/XSV+았/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.275.5.2
경찰은 당시 보도본부장, 선거준비 태스크포스(TF) 팀장, 정치부 기자 등 다른 제이티비시 관계자 6명도 같은 의견으로 검찰에 송치했다.

경찰은	경찰/NNG+은/JX
당시	당시/NNG
보도본부장,	보도/NNG+본부장/NNG+,/SP
선거준비	선거/NNG+준비/NNG
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
팀장,	팀장/NNG+,/SP
정치부	정치부/NNG
기자	기자/NNG
등	등/NNB
다른	다른/MMD
제이티비시	제이티비시/NNP
관계자	관계자/NNG
6명도	6/SN+명/NNB+도/JX
같은	같/VA+은/ETM
의견으로	의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
송치했다.	송치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.6.1
제이티비시 쪽은 ‘출처를 밝힌 인용 보도’라고 주장했지만, 경찰은 ‘의도적 무단사용’으로 판단했다.

제이티비시	제이티비시/NNP
쪽은	쪽/NNB+은/JX
‘출처를	‘/SS+출처/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
인용	인용/NNG
보도’라고	보도/NNG+’/SS+라고/JKQ
주장했지만,	주장/NNG+하/XSV+았/EP+지만/EC+,/SP
경찰은	경찰/NNG+은/JX
‘의도적	‘/SS+의도/NNG+적/XSN
무단사용’으로	무단/NNG+사용/NNG+’/SS+으로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.6.2
경찰은 제이티비시가 <한국방송>(KBS) 등 지상파 3사가 24억원을 들여 조사용역기관에 의뢰한 출구조사 결과를 사전 입수해 방송한다는 전제 아래 개표방송을 준비한 것으로 조사됐다고 밝혔다.

경찰은	경찰/NNG+은/JX
제이티비시가	제이티비시/NNP+가/JKS
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
