# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.446
metadata : {}


# id : NWRW1800000028.446.1.1
스타군단 신한에 뜬 ‘또 하나의 별’

스타군단	스타/NNG+군단/NNG
신한에	신한/NNP+에/JKB
뜬	뜨/VV+ㄴ/ETM
‘또	‘/SS+또/MAG
하나의	하나/NR+의/JKG
별’	별/NNG+’/SS


# id : NWRW1800000028.446.2.1
여자프로농구 ‘스타군단’ 안산 신한은행에 또 한명의 별이 떴다.

여자프로농구	여자/NNG+프로/NNG+농구/NNG
‘스타군단’	‘/SS+스타/NNG+군단/NNG+’/SS
안산	안산/NNP
신한은행에	신한은행/NNP+에/JKB
또	또/MAG
한명의	한/MMN+명/NNB+의/JKG
별이	별/NNG+이/JKS
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.3.1
9년차 포워드 이연화(27)가 그 주인공.

9년차	9/SN+년/NNB+차/NNB
포워드	포워드/NNG
이연화(27)가	이연화/NNP+(/SS+27/SN+)/SS+가/JKS
그	그/MMD
주인공.	주인공/NNG+./SF


# id : NWRW1800000028.446.3.2
태극마크 한번 달지 못했던 무명의 그가 이번 시즌 눈부신 활약으로 신한은행을 마침내 단독선두로 이끌었다.

태극마크	태극/NNG+마크/NNG
한번	한/MMN+번/NNB
달지	달/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
무명의	무명/NNG+의/JKG
그가	그/NP+가/JKS
이번	이번/NNG
시즌	시즌/NNG
눈부신	눈부시/VA+ㄴ/ETM
활약으로	활약/NNG+으로/JKB
신한은행을	신한은행/NNP+을/JKO
마침내	마침내/MAG
단독선두로	단독/NNG+선두/NNG+로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.4.1
이연화는 18일 반 경기 차 선두인 용인 삼성생명과의 경기에서 1쿼터에만 10점을 쏟아부으며 팀의 68-63 승리를 이끌었다.

이연화는	이연화/NNP+는/JX
18일	18/SN+일/NNB
반	반/NNG
경기	경기/NNG
차	차/NNG
선두인	선두/NNG+이/VCP+ㄴ/ETM
용인	용인/NNP
삼성생명과의	삼성생명/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
1쿼터에만	1/SN+쿼터/NNB+에/JKB+만/JX
10점을	10/SN+점/NNB+을/JKO
쏟아부으며	쏟아붓/VV+으며/EC
팀의	팀/NNG+의/JKG
68-63	68/SN+-/SO+63/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.4.2
이기는 팀이 무조건 단독선두가 되는 경기에서 이연화의 1쿼터 활약은 경기를 지배하는 밑돌이 됐다.

이기는	이기/VV+는/ETM
팀이	팀/NNG+이/JKS
무조건	무조건/MAG
단독선두가	단독/NNG+선두/NNG+가/JKC
되는	되/VV+는/ETM
경기에서	경기/NNG+에서/JKB
이연화의	이연화/NNP+의/JKG
1쿼터	1/SN+쿼터/NNB
활약은	활약/NNG+은/JX
경기를	경기/NNG+를/JKO
지배하는	지배/NNG+하/XSV+는/ETM
밑돌이	밑돌/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.5.1
4년 연속 정규리그와 챔피언전 통합우승을 차지한 신한은행이 시즌 처음으로 익숙한 순위로 돌아온 것은 ‘숨은 보배’ 이연화 덕분이다.

4년	4/SN+년/NNB
연속	연속/NNG
정규리그와	정규/NNG+리그/NNG+와/JC
챔피언전	챔피언전/NNG
통합우승을	통합/NNG+우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
신한은행이	신한은행/NNP+이/JKS
시즌	시즌/NNG
처음으로	처음/NNG+으로/JKB
익숙한	익숙하/VA+ㄴ/ETM
순위로	순위/NNG+로/JKB
돌아온	돌아오/VV+ㄴ/ETM
것은	것/NNB+은/JX
‘숨은	‘/SS+숨/VV+은/ETM
보배’	보배/NNG+’/SS
이연화	이연화/NNP
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.446.5.2
그는 이번 시즌 평균 31분37초를 뛰며 평균 16.1점을 넣었다.

그는	그/NP+는/JX
이번	이번/NNG
시즌	시즌/NNG
평균	평균/NNG
31분37초를	31/SN+분/NNB+37/SN+초/NNB+를/JKO
뛰며	뛰/VV+며/EC
16.1점을	16/SN+./SP+1/SN+점/NNB+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.5.3
득점 공동선두인 이종애와 킴벌리 로벌슨(이상 삼성생명·16.3점)에 이어 3위이고, 공헌도 역시 364.20점으로 이종애와 로벌슨에 이어 3위를 달리고 있다.

득점	득점/NNG
공동선두인	공동/NNG+선두/NNG+이/VCP+ㄴ/ETM
이종애와	이종애/NNP+와/JC
킴벌리	킴벌리/NNP
로벌슨(이상	로벌슨/NNP+(/SS+이상/NNG
삼성생명·16.3점)에	삼성생명/NNP+·/SP+16/SN+./SP+3/SN+점/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
3위이고,	3/SN+위/NNB+이/VCP+고/EC+,/SP
공헌도	공헌도/NNG
역시	역시/MAG
364.20점으로	364/SN+./SP+20/SN+점/NNB+으로/JKB
로벌슨에	로벌슨/NNP+에/JKB
3위를	3/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.446.5.4
득점과 공헌도에서 팀내 1위를 지키고 있는 것.

득점과	득점/NNG+과/JC
공헌도에서	공헌도/NNG+에서/JKB
팀내	팀/NNG+내/NNB
1위를	1/SN+위/NNB+를/JKO
지키고	지키/VV+고/EC
있는	있/VA+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000028.446.5.5
그동안 한 시즌 최고득점이 평균 8점을 넘지 못했고, 지난 시즌에도 평균 출장시간이 20분도 안 된 점을 보면 괄목상대할 성장이다.

그동안	그동안/NNG
한	한/MMN
시즌	시즌/NNG
최고득점이	최고/NNG+득점/NNG+이/JKS
평균	평균/NNG
8점을	8/SN+점/NNB+을/JKO
넘지	넘/VV+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
시즌에도	시즌/NNG+에/JKB+도/JX
출장시간이	출장/NNG+시간/NNG+이/JKS
20분도	20/SN+분/NNB+도/JX
안	안/MAG
된	되/VV+ㄴ/ETM
점을	점/NNG+을/JKO
보면	보/VV+면/EC
괄목상대할	괄목상대/NNG+하/XSV+ㄹ/ETM
성장이다.	성장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.446.5.6
특히 2라운드 5경기에선 평균 22.4점을 넣으며 여자프로농구 사상 처음으로 라운드 최우수선수상(MVP)과 기량발전상(MIP)을 동시에 석권했다.

특히	특히/MAG
2라운드	2/SN+라운드/NNG
5경기에선	5/SN+경기/NNG+에서/JKB+ㄴ/JX
평균	평균/NNG
22.4점을	22/SN+./SP+4/SN+점/NNB+을/JKO
넣으며	넣/VV+으며/EC
여자프로농구	여자/NNG+프로/NNG+농구/NNG
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
라운드	라운드/NNG
최우수선수상(MVP)과	최/XPN+우수/NNG+선수/NNG+상/NNG+(/SS+MVP/SL+)/SS+과/JC
기량발전상(MIP)을	기량/NNG+발전/NNG+상/NNG+(/SS+MIP/SL+)/SS+을/JKO
동시에	동시/NNG+에/JKB
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.446.5.7
덕분에 신한은행은 시즌 초반 정선민·전주원·최윤아 등의 줄부상과 하은주·김단비의 대표팀 차출로 생긴 공백을 느끼지 못하며 최근 7연승을 달렸다.

덕분에	덕분/NNG+에/JKB
신한은행은	신한은행/NNP+은/JX
시즌	시즌/NNG
초반	초반/NNG
정선민·전주원·최윤아	정선민/NNP+·/SP+전주원/NNP+·/SP+최윤아/NNP
등의	등/NNB+의/JKG
줄부상과	줄부상/NNG+과/JC
하은주·김단비의	하은주/NNP+·/SP+김단비/NNP+의/JKG
대표팀	대표/NNG+팀/NNG
차출로	차출/NNG+로/JKB
생긴	생기/VV+ㄴ/ETM
공백을	공백/NNG+을/JKO
느끼지	느끼/VV+지/EC
못하며	못하/VX+며/EC
최근	최근/MAG
7연승을	7/SN+연승/NNG+을/JKO
