# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.273
metadata : {}


# id : NWRW1800000048.273.1.1
홍준표쪽 “돈 안 받았다”…윤승모쪽 “돈 건넸다”

홍준표쪽	홍준표/NNP+쪽/NNB
“돈	“/SS+돈/NNG
안	안/MAG
받았다”…윤승모쪽	받/VV+았/EP+다/EF+”/SS+…/SE+윤승모/NNP+쪽/NNB
건넸다”	건네/VV+었/EP+다/EF+”/SS


# id : NWRW1800000048.273.2.1
첫 공판준비기일서 주장

첫	첫/MMN
공판준비기일서	공판/NNG+준비/NNG+기일/NNG+서/JKB
주장	주장/NNG


# id : NWRW1800000048.273.3.1
홍준표, 재판장 동기 변호사 선임

홍준표,	홍준표/NNP+,/SP
재판장	재판장/NNG
동기	동기/NNG
변호사	변호사/NNG
선임	선임/NNG


# id : NWRW1800000048.273.4.1
논란되자 “취소하겠다” 밝혀

논란되자	논란/NNG+되/XSV+자/EC
“취소하겠다”	“/SS+취소/NNG+하/XSV+겠/EP+다/EF+”/SS
밝혀	밝히/VV+어/EF


# id : NWRW1800000048.273.5.1
홍준표 경남도지사도 이완구 전 총리처럼 성완종 전 경남기업 회장한테서 돈을 받은 혐의를 부인했다.

홍준표	홍준표/NNP
경남도지사도	경남/NNP+도지사/NNG+도/JX
이완구	이완구/NNP
전	전/MMD
총리처럼	총리/NNG+처럼/JKB
성완종	성완종/NNP
경남기업	경남기업/NNP
회장한테서	회장/NNG+한테서/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.5.2
그러나 돈 심부름을 했다는 윤승모 전 경남기업 부사장은 불법 정치자금 공여 혐의를 시인해 ‘공범’끼리 법정 싸움을 하게 됐다.

그러나	그러나/MAJ
돈	돈/NNG
심부름을	심부름/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
윤승모	윤승모/NNP
전	전/MMD
경남기업	경남기업/NNP
부사장은	부사장/NNG+은/JX
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
공여	공여/NNG
혐의를	혐의/NNG+를/JKO
시인해	시인/NNG+하/XSV+아/EC
‘공범’끼리	‘/SS+공범/NNG+’/SS+끼리/XSN
법정	법정/NNG
싸움을	싸움/NNG+을/JKO
하게	하/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.273.6.1
서울중앙지법 형사23부(재판장 현용선) 심리로 23일 열린 첫 공판준비기일에서 홍 지사의 변호인인 이용구 변호사는 “윤 전 부사장한테서 돈을 받은 사실이 없다.

서울중앙지법	서울중앙지법/NNP
형사23부(재판장	형사/NNG+23/SN+부/NNG+(/SS+재판장/NNG
현용선)	현용선/NNP+)/SS
심리로	심리/NNG+로/JKB
23일	23/SN+일/NNB
