# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.387
metadata : {}


# id : NWRW1800000046.387.1.1
[한중 청년 자전거 대장정] [광복의 숨결을 따라서] 이승만, 棺(관) 사이에 숨어 상하이로 밀항

[한중	[/SS+한중/NNP
청년	청년/NNG
자전거	자전거/NNG
대장정]	대/XPN+장정/NNG+]/SS
[광복의	[/SS+광복/NNG+의/JKG
숨결을	숨결/NNG+을/JKO
따라서]	따르/VV+아서/EC+]/SS
이승만,	이승만/NNP+,/SP
棺(관)	棺/SH+(/SS+관/NNG+)/SS
사이에	사이/NNG+에/JKB
숨어	숨/VV+어/EC
상하이로	상하이/NNP+로/JKB
밀항	밀항/NNG


# id : NWRW1800000046.387.2.1
안창호 등 臨政요인들 모여 감격에 찬 '대통령 환영회'

안창호	안창호/NNP
등	등/NNB
臨政요인들	臨政/SH+요인/NNG+들/XSN
모여	모이/VV+어/EC
감격에	감격/NNG+에/JKB
찬	차/VV+ㄴ/ETM
'대통령	'/SS+대통령/NNG
환영회'	환영회/NNG+'/SS


# id : NWRW1800000046.387.3.1
"국민아, 우리 임시 대통령 이승만 각하가 상하이에 오시도다.

"국민아,	"/SS+국민/NNG+아/JKV+,/SP
우리	우리/NP
임시	임시/NNG
대통령	대통령/NNG
이승만	이승만/NNP
각하가	각하/NNG+가/JKS
상하이에	상하이/NNP+에/JKB
오시도다.	오/VV+시/EP+도다/EF+./SF


# id : NWRW1800000046.387.3.2
국민아, 우리의 대통령을 따라 광복의 대업을 완성하기에 일신하자."

국민아,	국민/NNG+아/JKV+,/SP
우리의	우리/NP+의/JKG
대통령을	대통령/NNG+을/JKO
따라	따르/VV+아/EC
광복의	광복/NNG+의/JKG
대업을	대업/NNG+을/JKO
완성하기에	완성/NNG+하/XSV+기/ETN+에/JKB
일신하자."	일신/NNG+하/XSV+자/EF+./SF+"/SS


# id : NWRW1800000046.387.4.1
임시정부 기관지 '독립신문'은 1921년 1월 1일 신년호에서 임정 초대 대통령 이승만의 상하이 도착 소식을 감격에 찬 어조로 보도했다.

임시정부	임시/NNG+정부/NNG
기관지	기관지/NNG
'독립신문'은	'/SS+독립신문/NNP+'/SS+은/JX
1921년	1921/SN+년/NNB
1월	1/SN+월/NNB
1일	1/SN+일/NNB
신년호에서	신년호/NNG+에서/JKB
임정	임정/NNG
초대	초대/NNG
대통령	대통령/NNG
이승만의	이승만/NNP+의/JKG
상하이	상하이/NNP
도착	도착/NNG
소식을	소식/NNG+을/JKO
감격에	감격/NNG+에/JKB
찬	차/VV+ㄴ/ETM
어조로	어조/NNG+로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


