# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.244
metadata : {}


# id : NWRW1800000040.244.1.1
“사고 직후 90초 동안 탈출명령 없었다”…조종사 대처 논란

“사고	“/SS+사고/NNG
직후	직후/NNG
90초	90/SN+초/NNB
동안	동안/NNG
탈출명령	탈출/NNG+명령/NNG
없었다”…조종사	없/VA+었/EP+다/EF+”/SS+…/SE+조종사/NNG
대처	대처/NNG
논란	논란/NNG


# id : NWRW1800000040.244.2.1
NTSB “승무원들에 비상탈출 제지”

NTSB	NTSB/SL
“승무원들에	“/SS+승무원/NNG+들/XSN+에/JKB
비상탈출	비상/NNG+탈출/NNG
제지”	제지/NNG+”/SS


# id : NWRW1800000040.244.3.1
사고시 폭발 전 대피 90초가 한도

사고시	사고/NNG+시/NNB
폭발	폭발/NNG
전	전/NNG
대피	대피/NNG
90초가	90/SN+초/NNB+가/JKS
한도	한도/NNG


# id : NWRW1800000040.244.4.1
국토부 “교신 등 거쳐 정상 조처”

국토부	국토부/NNG
“교신	“/SS+교신/NNG
등	등/NNB
거쳐	거치/VV+어/EC
정상	정상/NNG
조처”	조처/NNG+”/SS


# id : NWRW1800000040.244.5.1
기장 “충돌 전 강한 불빛에 눈 안보여”

기장	기장/NNG
“충돌	“/SS+충돌/NNG
전	전/NNG
강한	강하/VA+ㄴ/ETM
불빛에	불빛/NNG+에/JKB
눈	눈/NNG
안보여”	안/MAG+보이/VV+어/EF+”/SS


# id : NWRW1800000040.244.6.1
미국 국가교통안전위원회(NTSB)는 10일(현지시각) 샌프란시스코공항에서 발생한 아시아나항공 여객기 충돌 사고에 대해 조종사들이 사고 직후 90초 동안 비상탈출 명령을 내리지 않았다고 밝혔다.

미국	미국/NNP
국가교통안전위원회(NTSB)는	국가교통안전위원회/NNP+(/SS+NTSB/SL+)/SS+는/JX
10일(현지시각)	10/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
샌프란시스코공항에서	샌프란시스코공항/NNP+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
아시아나항공	아시아나항공/NNP
여객기	여객기/NNG
충돌	충돌/NNG
사고에	사고/NNG+에/JKB
대해	대하/VV+아/EC
조종사들이	조종사/NNG+들/XSN+이/JKS
사고	사고/NNG
직후	직후/NNG
90초	90/SN+초/NNB
동안	동안/NNG
비상탈출	비상/NNG+탈출/NNG
명령을	명령/NNG+을/JKO
내리지	내리/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.244.6.2
데버러 허스먼 교통안전위원장은 정례 브리핑에서 “비행기가 사고로 완전히 멈춘 뒤에도 조종사들이 승무원들한테 ‘승객들에게 비상탈출 지시를 내리지 말라’고 말한 것으로 조사됐다”고 밝혔다.

데버러	데버러/NNP
허스먼	허스먼/NNP
교통안전위원장은	교통안전/NNG+위원장/NNG+은/JX
정례	정례/NNG
브리핑에서	브리핑/NNG+에서/JKB
“비행기가	“/SS+비행기/NNG+가/JKS
사고로	사고/NNG+로/JKB
완전히	완전히/MAG
멈춘	멈추/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
조종사들이	조종사/NNG+들/XSN+이/JKS
승무원들한테	승무원/NNG+들/XSN+한테/JKB
‘승객들에게	‘/SS+승객/NNG+들/XSN+에게/JKB
비상탈출	비상/NNG+탈출/NNG
지시를	지시/NNG+를/JKO
내리지	내리/VV+지/EC
말라’고	말/VX+라/EF+’/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다”고	조사/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.244.7.1
승객 탈출은 추락하고 90초가 지난 뒤 2번 탑승구에 있던 승무원이 동체 외부 중간쯤에서 불길이 치솟는 것을 창문을 통해 목격하고 이를 조종실에 보고한 뒤에야 시작됐다고 미국 <시비에스>(CBS) 방송 등이 보도했다.

승객	승객/NNG
탈출은	탈출/NNG+은/JX
추락하고	추락/NNG+하/XSV+고/EC
90초가	90/SN+초/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
2번	2/SN+번/NNB
탑승구에	탑승구/NNG+에/JKB
있던	있/VA+던/ETM
승무원이	승무원/NNG+이/JKS
동체	동체/NNG
외부	외부/NNG
중간쯤에서	중간/NNG+쯤/XSN+에서/JKB
불길이	불길/NNG+이/JKS
치솟는	치솟/VV+는/ETM
것을	것/NNB+을/JKO
창문을	창문/NNG+을/JKO
통해	통하/VV+아/EC
목격하고	목격/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
조종실에	조종실/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
시작됐다고	시작/NNG+되/XSV+었/EP+다고/EC
미국	미국/NNP
<시비에스>(CBS)	</SS+시비에스/NNP+>/SS+(/SS+CBS/SL+)/SS
방송	방송/NNG
등이	등/NNB+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.7.2
이에 따라 조종사들이 승객의 안전과 관련해 제대로 판단을 했는지 여부도 관심사가 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
조종사들이	조종사/NNG+들/XSN+이/JKS
승객의	승객/NNG+의/JKG
안전과	안전/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
제대로	제대로/MAG
판단을	판단/NNG+을/JKO
했는지	하/VV+았/EP+는지/EC
여부도	여부/NNG+도/JX
관심사가	관심사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.244.7.3
허스먼 위원장은 “조종사들이 초기에 탈출 명령을 내리지 않은 것은 드문 일”이라고 말했다.

허스먼	허스먼/NNP
위원장은	위원장/NNG+은/JX
“조종사들이	“/SS+조종사/NNG+들/XSN+이/JKS
초기에	초기/NNG+에/JKB
탈출	탈출/NNG
명령을	명령/NNG+을/JKO
내리지	내리/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
드문	드물/VA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.7.4
항공기 사고 때 1차 충격에 생존한 승객들이 기체가 화재 및 연기에 휩싸이기 전 탈출해야 하는 시간 한도를 ‘90초’로 정하고 있다.

항공기	항공기/NNG
사고	사고/NNG
때	때/NNG
1차	1/SN+차/NNB
충격에	충격/NNG+에/JKB
생존한	생존/NNG+하/XSV+ㄴ/ETM
승객들이	승객/NNG+들/XSN+이/JKS
기체가	기체/NNG+가/JKS
화재	화재/NNG
및	및/MAG
연기에	연기/NNG+에/JKB
휩싸이기	휩싸이/VV+기/ETN
전	전/NNG
탈출해야	탈출/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
시간	시간/NNG
한도를	한도/NNG+를/JKO
‘90초’로	‘/SS+90/SN+초/NNB+’/SS+로/JKB
정하고	정하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.244.7.5
