# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.206
metadata : {}


# id : NWRW1800000044.206.1.1
유병언 사전구속영장 청구

유병언	유병언/NNP
사전구속영장	사전/NNG+구속/NNG+영장/NNG
청구	청구/NNG


# id : NWRW1800000044.206.2.1
[한겨레] 검찰, 출석 불응에 압박강도 높여

[한겨레]	[/SS+한겨레/NNP+]/SS
검찰,	검찰/NNG+,/SP
출석	출석/NNG
불응에	불응/NNG+에/JKB
압박강도	압박/NNG+강도/NNG
높여	높이/VV+어/EF


# id : NWRW1800000044.206.3.1
청해진해운의 실소유주로 알려진 유병언(73) 전 세모그룹 회장이 16일 검찰의 출석 요구에 불응했다.

청해진해운의	청해진해운/NNP+의/JKG
실소유주로	실소유주/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
유병언(73)	유병언/NNP+(/SS+73/SN+)/SS
전	전/MMD
세모그룹	세모그룹/NNP
회장이	회장/NNG+이/JKS
16일	16/SN+일/NNB
검찰의	검찰/NNG+의/JKG
출석	출석/NNG
요구에	요구/NNG+에/JKB
불응했다.	불응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.206.3.2
이에 검찰은 횡령·배임 등 혐의로 유 전 회장의 사전구속영장을 청구하며 압박의 강도를 높였다.

이에	이/NP+에/JKB
검찰은	검찰/NNG+은/JX
횡령·배임	횡령/NNG+·/SP+배임/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
유	유/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
청구하며	청구/NNG+하/XSV+며/EC
압박의	압박/NNG+의/JKG
강도를	강도/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.206.3.3
유 전 회장에 대한 구속 전 피의자 신문은 20일 오후 인천지법에서 열린다.

유	유/NNP
전	전/NNG
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구속	구속/NNG
피의자	피의자/NNG
신문은	신문/NNG+은/JX
20일	20/SN+일/NNB
오후	오후/NNG
인천지법에서	인천지법/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.206.4.1
유 전 회장 일가 비리 의혹을 수사중인 인천지검 특별수사팀(팀장 김회종)은 ‘구속영장 청구에 대한 입장’ 자료를 내어 “유 전 회장이 청해진해운 등을 경영하며 거액을 횡령하거나 배임·탈세한 혐의를 적발했다.

유	유/NNP
전	전/MMD
회장	회장/NNG
일가	일가/NNG
비리	비리/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
인천지검	인천지검/NNP
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
김회종)은	김회종/NNP+)/SS+은/JX
‘구속영장	‘/SS+구속/NNG+영장/NNG
청구에	청구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장’	입장/NNG+’/SS
자료를	자료/NNG+를/JKO
내어	내/VV+어/EC
“유	“/SS+유/NNP
회장이	회장/NNG+이/JKS
청해진해운	청해진해운/NNP
등을	등/NNB+을/JKO
경영하며	경영/NNG+하/XSV+며/EC
거액을	거액/NNG+을/JKO
횡령하거나	횡령/NNG+하/XSV+거나/EC
배임·탈세한	배임/NNG+·/SP+탈세/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
적발했다.	적발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.206.4.2
이를 확인하고자 출석 통보를 했지만 아무런 입장 표명 없이 불응했다.

이를	이/NP+를/JKO
확인하고자	확인/NNG+하/XSV+고자/EC
출석	출석/NNG
통보를	통보/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
아무런	아무런/MMD
입장	입장/NNG
표명	표명/NNG
없이	없이/MAG
