# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.458
metadata : {}


# id : NWRW1800000022.458.1.1
[대구·경북] 대구교육청, 연말연시 공직기강 감찰

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
대구교육청,	대구교육청/NNP+,/SP
연말연시	연말연시/NNG
공직기강	공직/NNG+기강/NNG
감찰	감찰/NNG


# id : NWRW1800000022.458.2.1
대구교육청은 연말연시를 맞아 대대적인 공직기강 감찰활동에 나선다고 24일 밝혔다.

대구교육청은	대구교육청/NNP+은/JX
연말연시를	연말연시/NNG+를/JKO
맞아	맞/VV+아/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
공직기강	공직/NNG+기강/NNG
감찰활동에	감찰/NNG+활동/NNG+에/JKB
나선다고	나서/VV+ㄴ다고/EC
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.458.3.1
이에 따라 대구교육청은 감사담당 공무원 20여명으로 감찰반을 구성해 올해 말까지 공직기강 문란행위를 집중 단속할 예정이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
대구교육청은	대구교육청/NNP+은/JX
감사담당	감사/NNG+담당/NNG
공무원	공무원/NNG
20여명으로	20/SN+여/XSN+명/NNB+으로/JKB
감찰반을	감찰반/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
올해	올해/NNG
말까지	말/NNB+까지/JX
공직기강	공직/NNG+기강/NNG
문란행위를	문란/NNG+행위/NNG+를/JKO
집중	집중/NNG
단속할	단속/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.458.3.2
또 일선학교 등을 대상으로 ▲기자재 납품, 학교공사, 수학여행, 방과후학교 강사채용 ▲학교시설 사용료 회계처리 ▲근무시간에 자리 벗어나기 ▲보안관리 실태 등도 점검할 계획이다.

또	또/MAG
일선학교	일선/NNG+학교/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
▲기자재	▲/SW+기자재/NNG
납품,	납품/NNG+,/SP
학교공사,	학교/NNG+공사/NNG+,/SP
수학여행,	수학여행/NNG+,/SP
방과후학교	방과/NNG+후/NNG+학교/NNG
강사채용	강사/NNG+채용/NNG
▲학교시설	▲/SW+학교/NNG+시설/NNG
사용료	사용료/NNG
회계처리	회계/NNG+처리/NNG
▲근무시간에	▲/SW+근무/NNG+시간/NNG+에/JKB
자리	자리/NNG
벗어나기	벗어나/VV+기/ETN
▲보안관리	▲/SW+보안/NNG+관리/NNG
실태	실태/NNG
등도	등/NNB+도/JX
점검할	점검/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.458.4.1
대구교육청측은 "민원인과 학부모가 체감하는 공직기강 감찰을 실시할 것"이라며 "부조리 행위 등으로 적발된 교사와 직원에 대해선 지위고하를 막론하고 엄중 문책하겠다"고 밝혔다.

대구교육청측은	대구교육청/NNP+측/NNB+은/JX
"민원인과	"/SS+민원인/NNG+과/JC
학부모가	학부모/NNG+가/JKS
체감하는	체감/NNG+하/XSV+는/ETM
공직기강	공직/NNG+기강/NNG
감찰을	감찰/NNG+을/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"부조리	"/SS+부/XPN+조리/NNG
행위	행위/NNG
등으로	등/NNB+으로/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
교사와	교사/NNG+와/JC
직원에	직원/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
지위고하를	지위/NNG+고하/NNG+를/JKO
막론하고	막론하/VV+고/EC
엄중	엄중/NNG
문책하겠다"고	문책/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


