# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.378
metadata : {}


# id : NWRW1800000041.378.1.1
[수도권]조은희 서울 서초구청장 당선자 “3대 기본, 엄마처럼 꼼꼼히 챙길 것”

[수도권]조은희	[/SS+수도/NNG+권/XSN+]/SS+조은희/NNP
서울	서울/NNP
서초구청장	서초구청장/NNG
당선자	당선자/NNG
“3대	“/SS+3/SN+대/NNG
기본,	기본/NNG+,/SP
엄마처럼	엄마/NNG+처럼/JKB
꼼꼼히	꼼꼼히/MAG
챙길	챙기/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.378.2.1
[기초단체장에게 듣는다]

[기초단체장에게	[/SS+기초/NNG+단체장/NNG+에게/JKB
듣는다]	듣/VV+는다/EF+]/SS


# id : NWRW1800000041.378.3.1
“말하지 않아도 챙겨주는 엄마의 꼼꼼함으로 서초의 밝은 미래를 열겠습니다.”

“말하지	“/SS+말/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
챙겨주는	챙기/VV+어/EC+주/VX+는/ETM
엄마의	엄마/NNG+의/JKG
꼼꼼함으로	꼼꼼/MAG+하/XSA+ㅁ/ETN+으로/JKB
서초의	서초/NNP+의/JKG
밝은	밝/VA+은/ETM
미래를	미래/NNG+를/JKO
열겠습니다.”	열/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.378.4.1
조은희 서울 서초구청장 당선자(53)는 민선 6기 서울 구청장 선거과정에서 주목을 받은 인물이다.

조은희	조은희/NNP
서울	서울/NNP
서초구청장	서초구청장/NNG
당선자(53)는	당선자/NNG+(/SS+53/SN+)/SS+는/JX
민선	민선/NNG
6기	6/SN+기/NNG
구청장	구청장/NNG
선거과정에서	선거/NNG+과정/NNG+에서/JKB
주목을	주목/NNG+을/JKO
받은	받/VV+은/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.4.2
새누리당의 텃밭에서 전략공천을 받았지만 승리는 쉽게 오지 않았다.

새누리당의	새누리당/NNP+의/JKG
텃밭에서	텃밭/NNG+에서/JKB
전략공천을	전략/NNG+공천/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
승리는	승리/NNG+는/JX
쉽게	쉽/VA+게/EC
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.378.4.3
전·현직 구청장이 무소속으로 나오면서 예상 밖의 치열한 선거전을 치러야 했기 때문이다.

전·현직	전·현직/NNG
구청장이	구청장/NNG+이/JKS
무소속으로	무/XPN+소속/NNG+으로/JKB
나오면서	나오/VV+면서/EC
예상	예상/NNG
밖의	밖/NNG+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
선거전을	선거전/NNG+을/JKO
치러야	치르/VV+어야/EC
했기	하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.4.4
