# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.365
metadata : {}


# id : NWRW1800000045.365.1.1
“北 보위부-조직지도부 등 핵심간부 최소 5명 탈북 - 한국 망명”

“北	“/SS+北/SH
보위부-조직지도부	보위부/NNG+-/SO+조직/NNG+지도부/NNG
등	등/NNB
핵심간부	핵심/NNG+간부/NNG
최소	최소/NNG
5명	5/SN+명/NNB
탈북	탈북/NNG
-	-/SO
한국	한국/NNP
망명”	망명/NNG+”/SS


# id : NWRW1800000045.365.2.1
김정은 공포통치에 체제유지 권력기관도 동요 대북소식통 “해외사업 담당 국장급” 北, 2014년 이어 주재원 대거 소환… 탈북 러시 막으려 사상조사 강화

김정은	김정은/NNP
공포통치에	공포/NNG+통치/NNG+에/JKB
체제유지	체제/NNG+유지/NNG
권력기관도	권력/NNG+기관/NNG+도/JX
동요	동요/NNG
대북소식통	대북/NNG+소식통/NNG
“해외사업	“/SS+해외/NNG+사업/NNG
담당	담당/NNG
국장급”	국장급/NNG+”/SS
北,	北/SH+,/SP
2014년	2014/SN+년/NNB
이어	잇/VV+어/EC
주재원	주재원/NNG
대거	대거/MAG
소환…	소환/NNG+…/SE
탈북	탈북/NNG
러시	러시/NNG
막으려	막/VV+으려/EC
사상조사	사상/NNG+조사/NNG
강화	강화/NNG


# id : NWRW1800000045.365.3.1
북한 김정은 정권 유지에 핵심 역할을 하는 정찰총국, 국가안전보위부, 노동당 조직지도부와 연계된 해외사업 기관의 주요 간부들이 잇따라 탈북해 한국에 망명한 것으로 알려졌다.

북한	북한/NNP
김정은	김정은/NNP
정권	정권/NNG
유지에	유지/NNG+에/JKB
핵심	핵심/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
정찰총국,	정찰/NNG+총국/NNG+,/SP
국가안전보위부,	국가/NNG+안전/NNG+보위부/NNG+,/SP
노동당	노동당/NNP
조직지도부와	조직/NNG+지도부/NNG+와/JKB
연계된	연계/NNG+되/XSV+ㄴ/ETM
해외사업	해외/NNG+사업/NNG
기관의	기관/NNG+의/JKG
주요	주요/NNG
간부들이	간부/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
탈북해	탈북/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
망명한	망명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.4.1
익명을 요구한 대북 소식통은 7일 “국가안전보위부 소속으로 대남(통일전선) 업무를 맡아 남북회담에 나왔던 실세 A, 노동당 조직지도부와 연계된 해외사업 기관의 B, 정찰총국에서 해외공작을 담당한 C를 포함한 핵심 간부들이 탈북했다”라고 밝혔다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
소식통은	소식통/NNG+은/JX
7일	7/SN+일/NNB
“국가안전보위부	“/SS+국가/NNG+안전/NNG+보위부/NNG
소속으로	소속/NNG+으로/JKB
대남(통일전선)	대남/NNG+(/SS+통일/NNG+전선/NNG+)/SS
업무를	업무/NNG+를/JKO
맡아	맡/VV+아/EC
남북회담에	남북/NNP+회담/NNG+에/JKB
나왔던	나오/VV+았/EP+던/ETM
실세	실세/NNG
A,	A/SL+,/SP
노동당	노동당/NNP
조직지도부와	조직/NNG+지도부/NNG+와/JKB
연계된	연계/NNG+되/XSV+ㄴ/ETM
해외사업	해외/NNG+사업/NNG
기관의	기관/NNG+의/JKG
B,	B/SL+,/SP
정찰총국에서	정찰/NNG+총국/NNG+에서/JKB
해외공작을	해외/NNG+공작/NNG+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
C를	C/SL+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
핵심	핵심/NNG
간부들이	간부/NNG+들/XSN+이/JKS
탈북했다”라고	탈북/NNG+하/XSV+았/EP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.4.2
이들은 대부분 지난해 탈북해 올해 한국에 왔으며 최소 5명에 이른다.

이들은	이/NP+들/XSN+은/JX
대부분	대/XPN+부분/NNG
지난해	지난해/NNG
탈북해	탈북/NNG+하/XSV+아/EC
올해	올해/NNG
한국에	한국/NNP+에/JKB
왔으며	오/VV+았/EP+으며/EC
최소	최소/NNG
5명에	5/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.365.4.3
대부분 부부장(차관급) 바로 아래 국장급 핵심 간부다.

대부분	대/XPN+부분/NNG
부부장(차관급)	부부장/NNG+(/SS+차관급/NNG+)/SS
바로	바로/MAG
아래	아래/NNG
국장급	국장급/NNG
핵심	핵심/NNG
간부다.	간부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.365.5.1
국가안전보위부는 북한의 권력 엘리트를 감시하는 비밀경찰기관이고 당 조직지도부는 당과 국가 핵심 기구를 통제하는 핵심 권력기관이다.

국가안전보위부는	국가/NNG+안전/NNG+보위부/NNG+는/JX
북한의	북한/NNP+의/JKG
권력	권력/NNG
엘리트를	엘리트/NNG+를/JKO
감시하는	감시/NNG+하/XSV+는/ETM
비밀경찰기관이고	비밀경찰/NNG+기관/NNG+이/VCP+고/EC
당	당/NNG
조직지도부는	조직/NNG+지도부/NNG+는/JX
당과	당/NNG+과/JC
국가	국가/NNG
핵심	핵심/NNG
기구를	기구/NNG+를/JKO
통제하는	통제/NNG+하/XSV+는/ETM
권력기관이다.	권력/NNG+기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.365.5.2
국가안전보위부와 당 조직지도부는 김정은 체제를 지탱하는 양대 핵심 축으로 볼 수 있다.

국가안전보위부와	국가/NNG+안전/NNG+보위부/NNG+와/JC
당	당/NNG
조직지도부는	조직/NNG+지도부/NNG+는/JX
김정은	김정은/NNP
체제를	체제/NNG+를/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
양대	양대/MMA
핵심	핵심/NNG
축으로	축/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.365.5.3
이들 조직은 김정은의 고모부 장성택이나 현영철 인민무력부장 처형 등 ‘김정은 공포통치’의 행동대장 역할을 해 왔다.

이들	이/NP+들/XSN
조직은	조직/NNG+은/JX
김정은의	김정은/NNP+의/JKG
고모부	고모부/NNG
장성택이나	장성택/NNP+이나/JC
현영철	현영철/NNP
인민무력부장	인민무력부장/NNG
처형	처형/NNG
등	등/NNB
‘김정은	‘/SS+김정은/NNP
공포통치’의	공포/NNG+통치/NNG+’/SS+의/JKG
행동대장	행동/NNG+대장/NNG
역할을	역할/NNG+을/JKO
해	하/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.365.5.4
조직지도부 등 핵심 기관들은 산하에 해외 외화벌이 기관을 운영한다.

조직지도부	조직/NNG+지도부/NNG
등	등/NNB
핵심	핵심/NNG
기관들은	기관/NNG+들/XSN+은/JX
산하에	산하/NNG+에/JKB
해외	해외/NNG
외화벌이	외화벌이/NNG
기관을	기관/NNG+을/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.365.6.1
정찰총국은 대남·해외 공작을 총괄 지휘하는 기관으로 지난해 미국 소니픽처스 해킹의 배후로 지목됐다.

정찰총국은	정찰/NNG+총국/NNG+은/JX
대남·해외	대남/NNG+·/SP+해외/NNG
공작을	공작/NNG+을/JKO
총괄	총괄/NNG
지휘하는	지휘/NNG+하/XSV+는/ETM
기관으로	기관/NNG+으로/JKB
지난해	지난해/NNG
미국	미국/NNP
소니픽처스	소니픽처스/NNP
해킹의	해킹/NNG+의/JKG
배후로	배후/NNG+로/JKB
지목됐다.	지목/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.6.2
이처럼 김정은 체제를 지탱하는 권력기관이나 이 기관들의 산하 기관 핵심 간부들이 한국에 망명한 것이다.

이처럼	이/NP+처럼/JKB
김정은	김정은/NNP
체제를	체제/NNG+를/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
권력기관이나	권력/NNG+기관/NNG+이나/JC
이	이/MMD
기관들의	기관/NNG+들/XSN+의/JKG
산하	산하/NNG
기관	기관/NNG
핵심	핵심/NNG
간부들이	간부/NNG+들/XSN+이/JKS
한국에	한국/NNP+에/JKB
망명한	망명/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.365.6.3
대북 소식통은 “이들은 모두 비리나 부패가 아니라 김정은의 공포통치가 두렵고 신변에 위협을 느껴 탈북했다고 우리 정부에 진술한 것으로 안다”며 “북한의 간부들이 지시 불이행 등으로 체포되거나 숙청될 수 있다는 두려움 때문에 만일에 대비해 탈출하기 위한 용도로 달러를 모으고 있다고 한다”고 전했다.

대북	대북/NNG
소식통은	소식통/NNG+은/JX
“이들은	“/SS+이/NP+들/XSN+은/JX
모두	모두/MAG
비리나	비리/NNG+나/JC
부패가	부패/NNG+가/JKC
아니라	아니/VCN+라/EC
김정은의	김정은/NNP+의/JKG
공포통치가	공포/NNG+통치/NNG+가/JKS
두렵고	두렵/VA+고/EC
신변에	신변/NNG+에/JKB
위협을	위협/NNG+을/JKO
느껴	느끼/VV+어/EC
탈북했다고	탈북/NNG+하/XSV+았/EP+다고/EC
우리	우리/NP
정부에	정부/NNG+에/JKB
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”며	알/VV+ㄴ다/EF+”/SS+며/EC
“북한의	“/SS+북한/NNP+의/JKG
간부들이	간부/NNG+들/XSN+이/JKS
지시	지시/NNG
불이행	불/XPN+이행/NNG
등으로	등/NNB+으로/JKB
체포되거나	체포/NNG+되/XSV+거나/EC
숙청될	숙청/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
두려움	두려움/NNG
때문에	때문/NNB+에/JKB
만일에	만일/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
탈출하기	탈출/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
용도로	용도/NNG+로/JKB
달러를	달러/NNG+를/JKO
모으고	모으/VV+고/EC
있다고	있/VX+다고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.365.7.1
이들은 모두 북한과 해외를 오가다 탈북한 것으로 알려졌다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
북한과	북한/NNP+과/JC
해외를	해외/NNG+를/JKO
오가다	오가/VV+다/EC
탈북한	탈북/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.7.2
이처럼 외국에 드나드는 간부들이 탈북하자 북한은 해외에 나가 있는 노동당과 군부 산하 외화벌이 등 해외사업 기관 전체를 대상으로 대표 등 핵심 인사들을 평양에 소환해 대대적인 사상 조사를 벌이고 있다고 다른 대북 소식통이 전했다.

이처럼	이/NP+처럼/JKB
외국에	외국/NNG+에/JKB
드나드는	드나들/VV+는/ETM
간부들이	간부/NNG+들/XSN+이/JKS
