# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.424
metadata : {}


# id : NWRW1800000026.424.1.1
[대구·경북] 울릉도 '녹색섬'으로… 첫 단추;경북도 국비 10억원 확보 에너지·관광·생활 등 복합"내년부터 기반 다질 계획"

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
울릉도	울릉도/NNP
'녹색섬'으로…	'/SS+녹색/NNG+섬/NNG+'/SS+으로/JKB+…/SE
첫	첫/MMN
단추;경북도	단추/NNG+;/SW+경북도/NNP
국비	국비/NNG
10억원	10/SN+억/NR+원/NNB
확보	확보/NNG
에너지·관광·생활	에너지/NNG+·/SP+관광/NNG+·/SP+생활/NNG
등	등/NNB
복합"내년부터	복합/NNG+"/SS+내년/NNG+부터/JX
기반	기반/NNG
다질	다지/VV+ㄹ/ETM
계획"	계획/NNG+"/SS


# id : NWRW1800000026.424.2.1
내년부터 울릉도가 '녹색섬'으로 조성된다.

내년부터	내년/NNG+부터/JX
울릉도가	울릉도/NNP+가/JKS
'녹색섬'으로	'/SS+녹색/NNG+섬/NNG+'/SS+으로/JKB
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.424.3.1
경북도는 2011년 국비예산 10억원을 신규로 확보, 울릉도 녹색섬 조성을 위한 세부계획 용역을 수립하고 관련 사업을 추진한다고 22일 밝혔다.

경북도는	경북도/NNP+는/JX
2011년	2011/SN+년/NNB
국비예산	국비/NNG+예산/NNG
10억원을	10/SN+억/NR+원/NNB+을/JKO
신규로	신규/NNG+로/JKB
확보,	확보/NNG+,/SP
울릉도	울릉도/NNP
녹색섬	녹색/NNG+섬/NNG
조성을	조성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세부계획	세부/NNG+계획/NNG
용역을	용역/NNG+을/JKO
수립하고	수립/NNG+하/XSV+고/EC
관련	관련/NNG
사업을	사업/NNG+을/JKO
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.424.3.2
현재 내연발전에 의존하고 있는 섬의 에너지원을 그린에너지로 전환, 탄소제로 섬으로 만들고 이와 함께 녹색관광, 녹색생활이 가능한 섬을 만들겠다는 것이다.

현재	현재/MAG
내연발전에	내연/NNG+발전/NNG+에/JKB
의존하고	의존/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
섬의	섬/NNG+의/JKG
에너지원을	에너지원/NNG+을/JKO
그린에너지로	그린에너지/NNG+로/JKB
전환,	전환/NNG+,/SP
탄소제로	탄소/NNG+제로/NNG
섬으로	섬/NNG+으로/JKB
만들고	만들/VV+고/EC
이와	이/NP+와/JKB
함께	함께/MAG
녹색관광,	녹색/NNG+관광/NNG+,/SP
녹색생활이	녹색/NNG+생활/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
섬을	섬/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.424.4.1
