# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.50
metadata : {}


# id : NWRW1800000037.50.1.1
JP모건, 中 고위층 자녀 ‘채용장사’ 자료 당국에 제출

JP모건,	JP모건/NNP+,/SP
中	中/SH
고위층	고위/NNG+층/XSN
자녀	자녀/NNG
‘채용장사’	‘/SS+채용/NNG+장사/NNG+’/SS
자료	자료/NNG
당국에	당국/NNG+에/JKB
제출	제출/NNG


# id : NWRW1800000037.50.2.1
부정 특채의혹 사실로 드러나

부정	부정/NNG
특채의혹	특채/NNG+의혹/NNG
사실로	사실/NNG+로/JKB
드러나	드러나/VV+아/EF


# id : NWRW1800000037.50.3.1
미국 최대 상업은행 JP모건체이스맨해튼이 중국 공산당 및 국영기업 고위층의 인척 등 30여 명을 채용한 대가로 수익을 올린 내용을 기록한 기밀문서를 미 금융감독 당국에 제출했다고 뉴욕타임스(NYT)가 8일 보도했다.

미국	미국/NNP
최대	최대/NNG
상업은행	상업/NNG+은행/NNG
JP모건체이스맨해튼이	JP모건체이스맨해튼/NNP+이/JKS
중국	중국/NNP
공산당	공산당/NNP
및	및/MAG
국영기업	국영/NNG+기업/NNG
고위층의	고위/NNG+층/XSN+의/JKG
인척	인척/NNG
등	등/NNB
30여	30/SN+여/XSN
명을	명/NNB+을/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
대가로	대가/NNG+로/JKB
수익을	수익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
기밀문서를	기밀문서/NNG+를/JKO
미	미/NNP
금융감독	금융/NNG+감독/NNG
당국에	당국/NNG+에/JKB
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
8일	8/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.50.3.2
글로벌 대형 은행들이 중국 등 아시아 국가의 고위층 자녀를 채용한 대가로 사업을 확대해왔다는 의혹이 점점 사실로 드러나고 있다.

글로벌	글로벌/NNG
대형	대형/NNG
은행들이	은행/NNG+들/XSN+이/JKS
중국	중국/NNP
등	등/NNB
아시아	아시아/NNP
국가의	국가/NNG+의/JKG
고위층	고위/NNG+층/XSN
자녀를	자녀/NNG+를/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
대가로	대가/NNG+로/JKB
사업을	사업/NNG+을/JKO
