# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.438
metadata : {}


# id : NWRW1800000038.438.1.1
[장성택 처형 후폭풍] "文革(문혁)으로 고초 겪은 시진핑… 김정은의 文革식 숙청에 반감 클수도"

[장성택	[/SS+장성택/NNP
처형	처형/NNG
후폭풍]	후폭풍/NNG+]/SS
"文革(문혁)으로	"/SS+文革/SH+(/SS+문혁/NNG+)/SS+으로/JKB
고초	고초/NNG
겪은	겪/VV+은/ETM
시진핑…	시진핑/NNP+…/SE
김정은의	김정은/NNP+의/JKG
文革식	文革/SH+식/NA
숙청에	숙청/NNG+에/JKB
반감	반감/NNG
클수도"	크/VA+ㄹ/ETM+수/NNB+도/JX+"/SS


# id : NWRW1800000038.438.2.1
장성택 처형 이후 北·中관계는

장성택	장성택/NNP
처형	처형/NNG
이후	이후/NNG
北·中관계는	北/SH+·/SP+中/SH+관계/NNG+는/JX


# id : NWRW1800000038.438.3.1
중국 정부는 북한 김정은 노동당 제1비서의 '장성택 처형'에 대해 "북한 내부의 일"이라는 공식적인 입장을 반복하고 있다.

중국	중국/NNP
정부는	정부/NNG+는/JX
북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
제1비서의	제/XPN+1/SN+비서/NNG+의/JKG
'장성택	'/SS+장성택/NNP
처형'에	처형/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
"북한	"/SS+북한/NNP
내부의	내부/NNG+의/JKG
일"이라는	일/NNG+"/SS+이/VCP+라는/ETM
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
반복하고	반복/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.438.4.1
중국 사회과학원 왕쥔성(王俊生) 연구원은 15일 "중국은 북한 내정에 간섭하지 않을 것"이라며 "장성택 사건이 중·북 관계에 영향을 주지 못한다"고 말했다.

중국	중국/NNP
사회과학원	사회/NNG+과학원/NNG
왕쥔성(王俊生)	왕쥔성/NNP+(/SS+王俊生/SH+)/SS
연구원은	연구원/NNG+은/JX
15일	15/SN+일/NNB
"중국은	"/SS+중국/NNP+은/JX
북한	북한/NNP
내정에	내정/NNG+에/JKB
간섭하지	간섭/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"장성택	"/SS+장성택/NNP
사건이	사건/NNG+이/JKS
중·북	중/NNP+·/SP+북/NNP
관계에	관계/NNG+에/JKB
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
못한다"고	못하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.4.2
실명으로 인터뷰에 응한 중국 학자들의 반응은 이와 비슷했다.

실명으로	실명/NNG+으로/JKB
인터뷰에	인터뷰/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
중국	중국/NNP
학자들의	학자/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
이와	이/NP+와/JKB
비슷했다.	비슷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.438.4.3
이들은 중국 외교부가 장성택 사형이 집행된 지난 12일 "북한 외무성 리광남 의례(의전)국장 일행이 외교부 장쿤성(張昆生) 부장조리(차관보)를 면담했다"고 공개한 것도 북·중 관계가 정상적으로 가동되고 있음을 보여주기 위한 것으로 분석했다.

이들은	이/NP+들/XSN+은/JX
중국	중국/NNP
외교부가	외교부/NNG+가/JKS
장성택	장성택/NNP
사형이	사형/NNG+이/JKS
집행된	집행/NNG+되/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
"북한	"/SS+북한/NNP
외무성	외무성/NNG
리광남	리광남/NNP
의례(의전)국장	의례/NNG+(/SS+의전/NNG+)/SS+국장/NNG
일행이	일행/NNG+이/JKS
외교부	외교부/NNG
장쿤성(張昆生)	장쿤성/NNP+(/SS+張昆生/SH+)/SS
부장조리(차관보)를	부장조리/NNG+(/SS+차관보/NNG+)/SS+를/JKO
면담했다"고	면담/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
공개한	공개/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
북·중	북·중/NNP
관계가	관계/NNG+가/JKS
정상적으로	정상/NNG+적/XSN+으로/JKB
가동되고	가동/NNG+되/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.5.1
익명을 요구한 베이징대의 한 교수는 이날 "중국 지도부는 한반도 안정을 최우선시하기 때문에 일단 김정은의 후속 조치를 지켜볼 것"이라고 말했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
베이징대의	베이징대/NNP+의/JKG
한	한/MMN
교수는	교수/NNG+는/JX
이날	이날/NNG
"중국	"/SS+중국/NNP
지도부는	지도부/NNG+는/JX
한반도	한반도/NNP
안정을	안정/NNG+을/JKO
최우선시하기	최/XPN+우선/NNG+시/XSN+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
일단	일단/MAG
김정은의	김정은/NNP+의/JKG
후속	후속/NNG
조치를	조치/NNG+를/JKO
지켜볼	지켜보/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.5.2
그는 "그러나 김정은은 중국 지도부의 신뢰를 잃었을 가능성이 크다"고 말했다.

그는	그/NP+는/JX
"그러나	"/SS+그러나/MAJ
김정은은	김정은/NNP+은/JX
중국	중국/NNP
지도부의	지도부/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
잃었을	잃/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.5.3
중국에선 과거 문화대혁명의 광풍 속에 수많은 정치인과 지식인이 장성택처럼 '반당(反黨)' '반혁명'의 굴레를 쓰고 희생당한 일이 있다.

중국에선	중국/NNP+에서/JKB+ㄴ/JX
과거	과거/NNG
문화대혁명의	문화/NNG+대/XPN+혁명/NNG+의/JKG
