# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.232
metadata : {}


# id : NWRW1800000041.232.1.1
中 쇼트트랙 간판 왕멍 발목 골절… 소치 못뛸 듯

中	中/SH
쇼트트랙	쇼트트랙/NNG
간판	간판/NNG
왕멍	왕멍/NNP
발목	발목/NNG
골절…	골절/NNG+…/SE
소치	소치/NNP
못뛸	못/MAG+뛰/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000041.232.2.1
밴쿠버 500m-1000m-계주 3관왕… 작년 세계선수권 박승희 넘어뜨려 고의 실격 당하고도 개인종합 우승… 한국 대표팀 메달 전망 한층 밝아져

밴쿠버	밴쿠버/NNP
500m-1000m-계주	500/SN+m/SW+-/SO+1000/SN+m/SW+-/SO+계주/NNG
3관왕…	3관왕/NNG+…/SE
작년	작년/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
박승희	박승희/NNP
넘어뜨려	넘어뜨리/VV+어/EC
고의	고의/NNG
실격	실격/NNG
당하고도	당하/VV+고/EC+도/JX
개인종합	개인/NNG+종합/NNG
우승…	우승/NNG+…/SE
한국	한국/NNP
대표팀	대표/NNG+팀/NNG
메달	메달/NNG
전망	전망/NNG
한층	한층/MAG
밝아져	밝아지/VV+어/EF


# id : NWRW1800000041.232.3.1
“왕멍은 감독도 아무 소리 못하는 선수예요.”

“왕멍은	“/SS+왕멍은/NNP
감독도	감독/NNG+도/JX
아무	아무/MMD
소리	소리/NNG
못하는	못/MAG+하/VV+는/ETM
선수예요.”	선수/NNG+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000041.232.4.1
최광복 한국 여자 쇼트트랙 대표팀 코치의 말처럼 중국 여자 쇼트트랙의 간판 왕멍(29)은 팀 내에서 제왕 같은 존재다.

최광복	최광복/NNP
한국	한국/NNP
여자	여자/NNG
쇼트트랙	쇼트트랙/NNG
대표팀	대표/NNG+팀/NNG
코치의	코치/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
중국	중국/NNP
쇼트트랙의	쇼트트랙/NNG+의/JKG
간판	간판/NNG
왕멍(29)은	왕멍/NNP+(/SS+29/SN+)/SS+은/JX
팀	팀/NNG
내에서	내/NNB+에서/JKB
제왕	제왕/NNG
같은	같/VA+은/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.232.4.2
빼어난 실력을 갖고 있지만 종종 물의를 일으켜 신문 사회면에 등장하는 ‘뉴스 메이커’다.

빼어난	빼어나/VA+ㄴ/ETM
실력을	실력/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
종종	종종/MAG
물의를	물의/NNG+를/JKO
일으켜	일으키/VV+어/EC
신문	신문/NNG
사회면에	사회면/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
‘뉴스	‘/SS+뉴스/NNG
메이커’다.	메이커/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.232.5.1
왕멍은 2010년 밴쿠버 올림픽에서 500m와 1000m, 3000m 계주에서 금메달을 차지하며 3관왕에 올랐다.

왕멍은	왕멍/NNP+은/JX
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
올림픽에서	올림픽/NNG+에서/JKB
500m와	500/SN+m/SW+와/JC
1000m,	1000/SN+m/SW+,/SP
3000m	3000/SN+m/SW
계주에서	계주/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
3관왕에	3관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.5.2
에이스 왕멍의 맹활약 속에 중국 여자 쇼트트랙은 여자 경기에 걸린 4개의 금메달을 모두 가져갔다.

에이스	에이스/NNG
왕멍의	왕멍/NNP+의/JKG
맹활약	맹활약/NNG
속에	속/NNG+에/JKB
중국	중국/NNP
여자	여자/NNG
쇼트트랙은	쇼트트랙/NNG+은/JX
경기에	경기/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
4개의	4/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
모두	모두/MAG
가져갔다.	가져가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.5.3
당시 한국은 3000m 계주에서 가장 먼저 결승선을 통과했지만 경기가 끝난 뒤 실격 판정을 받는 불운을 겪었다.

당시	당시/NNG
한국은	한국/NNP+은/JX
3000m	3000/SN+m/SW
계주에서	계주/NNG+에서/JKB
가장	가장/MAG
먼저	먼저/MAG
결승선을	결승선/NNG+을/JKO
통과했지만	통과/NNG+하/XSV+았/EP+지만/EC
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
실격	실격/NNG
판정을	판정/NNG+을/JKO
받는	받/VV+는/ETM
불운을	불운/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.232.6.1
올림픽 다음 해인 2011년 8월 술에 취한 채 감독을 때리는 사고를 쳐 대표팀에서 퇴출됐던 왕멍은 2012년 말 대표팀에 복귀했다.

올림픽	올림픽/NNG
다음	다음/NNG
해인	해/NNG+이/VCP+ㄴ/ETM
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
술에	술/NNG+에/JKB
