# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.244
metadata : {}


# id : NWRW1800000029.244.1.1
1박2일 소음-술판 집회… 여의도 주민들 “잠 좀 잡시다”

1박2일	1/SN+박/NNB+2/SN+일/NNB
소음-술판	소음/NNG+-/SO+술판/NNG
집회…	집회/NNG+…/SE
여의도	여의도/NNP
주민들	주민/NNG+들/XSN
“잠	“/SS+잠/NNG
좀	좀/MAG
잡시다”	잡/VV+시/EP+다/EF+”/SS


# id : NWRW1800000029.244.2.1
주말인 12일 서울 영등포구 여의도동 여의도공원에서 한미 자유무역협정(FTA)에 반대하는 노동계와 시민사회의 1박 2일 집회가 열렸다.

주말인	주말/NNG+이/VCP+ㄴ/ETM
12일	12/SN+일/NNB
서울	서울/NNP
영등포구	영등포구/NNP
여의도동	여의도동/NNP
여의도공원에서	여의도공원/NNP+에서/JKB
한미	한미/NNP
자유무역협정(FTA)에	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
노동계와	노동/NNG+계/XSN+와/JC
시민사회의	시민/NNG+사회/NNG+의/JKG
1박	1/SN+박/NNB
2일	2/SN+일/NNB
집회가	집회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.244.2.2
이날 집회에 참석한 2000여 명(주최 측 추산. 경찰 추산 1000여 명)은 밤 12시가 넘은 시간까지 앰프를 이용해 소음을 유발하고 일부 참가자는 공원 내에서 밤새워 술판을 벌이기도 했다.

이날	이날/NNG
집회에	집회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
2000여	2000/SN+여/XSN
명(주최	명/NNB+(/SS+주최/NNG
측	측/NNB
추산.	추산/NNG+./SF
경찰	경찰/NNG
추산	추산/NNG
1000여	1000/SN+여/XSN
명)은	명/NNB+)/SS+은/JX
밤	밤/NNG
12시가	12/SN+시/NNB+가/JKS
넘은	넘/VV+은/ETM
시간까지	시간/NNG+까지/JX
앰프를	앰프/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
소음을	소음/NNG+을/JKO
유발하고	유발/NNG+하/XSV+고/EC
일부	일부/NNG
참가자는	참가자/NNG+는/JX
공원	공원/NNG
내에서	내/NNB+에서/JKB
밤새워	밤새우/VV+어/EC
술판을	술판/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.244.2.3
여의도공원관리사무소는 “사용 허가를 내주지 않았는데도 집회를 강행하고 공원을 점령했다”며 “주최인 전국민주노동조합총연맹(민주노총)을 고발할 예정”이라고 13일 밝혔다.

여의도공원관리사무소는	여의도공원/NNP+관리/NNG+사무소/NNG+는/JX
“사용	“/SS+사용/NNG
허가를	허가/NNG+를/JKO
내주지	내주/VV+지/EC
않았는데도	않/VX+았/EP+는데/EC+도/JX
집회를	집회/NNG+를/JKO
강행하고	강행/NNG+하/XSV+고/EC
공원을	공원/NNG+을/JKO
점령했다”며	점령/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“주최인	“/SS+주최/NNG+이/VCP+ㄴ/ETM
전국민주노동조합총연맹(민주노총)을	전국민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS+을/JKO
고발할	고발/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.244.3.1
12일 오후 9시 5분 경찰이 여의도공원에서 측정한 평균 소음은 67.9dB.

12일	12/SN+일/NNB
오후	오후/NNG
9시	9/SN+시/NNB
5분	5/SN+분/NNB
경찰이	경찰/NNG+이/JKS
여의도공원에서	여의도공원/NNP+에서/JKB
측정한	측정/NNG+하/XSV+ㄴ/ETM
평균	평균/NNG
소음은	소음/NNG+은/JX
67.9dB.	67/SN+./SP+9/SN+dB/SW+./SF


# id : NWRW1800000029.244.3.2
더샵아일랜드아파트 단지를 등지고 설치된 무대 주위에는 대형 스피커와 저음용 스피커인 우퍼 기기 8개가 설치돼 있었다.

더샵아일랜드아파트	더샵아일랜드아파트/NNP
단지를	단지/NNG+를/JKO
등지고	등지/VV+고/EC
설치된	설치/NNG+되/XSV+ㄴ/ETM
무대	무대/NNG
주위에는	주위/NNG+에/JKB+는/JX
대형	대형/NNG
스피커와	스피커/NNG+와/JC
저음용	저음/NNG+용/XSN
스피커인	스피커/NNG+이/VCP+ㄴ/ETM
우퍼	우퍼/NNG
기기	기기/NNG
8개가	8/SN+개/NNB+가/JKS
설치돼	설치/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.244.3.3
밤늦게까지 이어진 공연과 폭죽놀이에 경찰과 인근 아파트관리소에는 “시끄러워서 잠을 잘 수 없다”는 주민의 항의전화가 빗발쳤다.

밤늦게까지	밤늦/VA+게/EC+까지/JX
이어진	이어지/VV+ㄴ/ETM
공연과	공연/NNG+과/JC
폭죽놀이에	폭죽놀이/NNG+에/JKB
경찰과	경찰/NNG+과/JC
인근	인근/NNG
아파트관리소에는	아파트/NNG+관리소/NNG+에/JKB+는/JX
“시끄러워서	“/SS+시끄럽/VA+어서/EC
잠을	잠/NNG+을/JKO
잘	자/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
주민의	주민/NNG+의/JKG
항의전화가	항의/NNG+전화/NNG+가/JKS
빗발쳤다.	빗발치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.244.3.4
공원 인근 광장아파트 11층에 산다는 한 40대 여성은 “지금 이게 법적으로 허용될 수 있는 수준의 소음이냐”며 “시끄러워서 살 수가 없다”고 강력하게 항의했다.

공원	공원/NNG
인근	인근/NNG
광장아파트	광장아파트/NNP
11층에	11/SN+층/NNG+에/JKB
산다는	살/VV+ㄴ다는/ETM
한	한/MMN
40대	40/SN+대/NNB
여성은	여성/NNG+은/JX
“지금	“/SS+지금/MAG
이게	이거/NP+이/JKS
법적으로	법/NNG+적/XSN+으로/JKB
허용될	허용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준의	수준/NNG+의/JKG
소음이냐”며	소음/NNG+이/VCP+냐/EF+”/SS+며/EC
“시끄러워서	“/SS+시끄럽/VA+어서/EC
살	살/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
