# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.36
metadata : {}


# id : NWRW1800000033.36.1.1
[CAR]‘탑승자 안전지대’ 꿈꾸는 자동차 첨단기술의 진화

[CAR]‘탑승자	[/SS+CAR/SL+]/SS+‘/SS+탑승자/NNG
안전지대’	안전지대/NNG+’/SS
꿈꾸는	꿈꾸/VV+는/ETM
자동차	자동차/NNG
첨단기술의	첨단/NNG+기술/NNG+의/JKG
진화	진화/NNG


# id : NWRW1800000033.36.2.1
자동스톱·안전벨트 에어백 등 신기술

자동스톱·안전벨트	자동/NNG+스톱/NNG+·/SP+안전벨트/NNG
에어백	에어백/NNG
등	등/NNB
신기술	신/XPN+기술/NNG


# id : NWRW1800000033.36.3.1
자동차 제조기술이 눈부시게 발전하게 된 원동력은 크게 두 가지로 볼 수 있다.

자동차	자동차/NNG
제조기술이	제조/NNG+기술/NNG+이/JKS
눈부시게	눈부시/VA+게/EC
발전하게	발전/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
원동력은	원동력/NNG+은/JX
크게	크/VA+게/EC
두	두/MMN
가지로	가지/NNB+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.36.3.2
성능을 향한 끝없는 욕망과 사고에 대한 두려움이다.

성능을	성능/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
끝없는	끝없/VA+는/ETM
욕망과	욕망/NNG+과/JC
사고에	사고/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움이다.	두려움/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.3.3
자동차가 발명된 이후 인류는 빠른 속도로 이동할 수 있는 자유를 얻었지만 치명적인 사고의 위험도 떠안았다.

자동차가	자동차/NNG+가/JKS
발명된	발명/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
인류는	인류/NNG+는/JX
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자유를	자유/NNG+를/JKO
얻었지만	얻/VV+었/EP+지만/EC
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
사고의	사고/NNG+의/JKG
위험도	위험/NNG+도/JX
떠안았다.	떠안/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.36.4.1
자동차의 성능이 높아질수록 사고의 위험이 더욱 증가하자 자동차회사들은 안전 기술을 확보하는 데 열을 올리고 있다.

자동차의	자동차/NNG+의/JKG
성능이	성능/NNG+이/JKS
높아질수록	높아지/VV+ㄹ수록/EC
사고의	사고/NNG+의/JKG
위험이	위험/NNG+이/JKS
더욱	더욱/MAG
증가하자	증가/NNG+하/XSV+자/EC
자동차회사들은	자동차/NNG+회사/NNG+들/XSN+은/JX
안전	안전/NNG
기술을	기술/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
데	데/NNB
열을	열/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.36.4.2
이런 노력의 결과로 최근 자동차업계는 충돌 위험을 감지하면 알아서 차를 멈추는 기능이나 안전벨트를 풍선처럼 부풀려 사고 시 부상을 막아주는 장치 같은 첨단기술을 내놓고 있다.

이런	이런/MMD
노력의	노력/NNG+의/JKG
결과로	결과/NNG+로/JKB
최근	최근/NNG
자동차업계는	자동차업/NNG+계/XSN+는/JX
충돌	충돌/NNG
위험을	위험/NNG+을/JKO
감지하면	감지/NNG+하/XSV+면/EC
알아서	알/VV+아서/EC
차를	차/NNG+를/JKO
멈추는	멈추/VV+는/ETM
기능이나	기능/NNG+이나/JC
안전벨트를	안전벨트/NNG+를/JKO
풍선처럼	풍선/NNG+처럼/JKB
부풀려	부풀리/VV+어/EC
사고	사고/NNG
시	시/NNB
부상을	부상/NNG+을/JKO
막아주는	막/VV+아/EC+주/VX+는/ETM
장치	장치/NNG
같은	같/VA+은/ETM
첨단기술을	첨단/NNG+기술/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.36.5.1
○ 안전벨트, 반세기 만의 진화

○	○/SW
안전벨트,	안전벨트/NNG+,/SP
반세기	반세기/NNG
만의	만/NNB+의/JKG
진화	진화/NNG


# id : NWRW1800000033.36.6.1
자동차 사고에서 탑승객의 사망률을 크게 낮춰주는 ‘생명줄’인 안전벨트가 새롭게 진화하고 있다.

자동차	자동차/NNG
사고에서	사고/NNG+에서/JKB
탑승객의	탑승객/NNG+의/JKG
사망률을	사망/NNG+률/XSN+을/JKO
크게	크/VA+게/EC
낮춰주는	낮추/VV+어/EC+주/VX+는/ETM
‘생명줄’인	‘/SS+생명/NNG+줄/NNG+’/SS+이/VCP+ㄴ/ETM
안전벨트가	안전벨트/NNG+가/JKS
새롭게	새롭/VA+게/EC
진화하고	진화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.36.6.2
독일 메르세데스벤츠는 지난달 차세대 안전벨트인 ‘벨트백(Beltbag)’ 개발을 완료했다고 밝혔다.

독일	독일/NNP
메르세데스벤츠는	메르세데스벤츠/NNP+는/JX
지난달	지난달/NNG
차세대	차세대/NNG
안전벨트인	안전벨트/NNG+이/VCP+ㄴ/ETM
‘벨트백(Beltbag)’	‘/SS+벨트/NNG+백/NNG+(/SS+Beltbag/SL+)/SS+’/SS
개발을	개발/NNG+을/JKO
완료했다고	완료/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.7.1
벤츠가 개발한 벨트백은 뒷좌석의 안전벨트 안에 에어백을 내장한 것이다.

벤츠가	벤츠/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
벨트백은	벨트/NNG+백/NNG+은/JX
뒷좌석의	뒷좌석/NNG+의/JKG
안전벨트	안전벨트/NNG
안에	안/NNG+에/JKB
에어백을	에어백/NNG+을/JKO
내장한	내장/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.7.2
센서가 차체의 충돌을 감지하면 안전벨트에 내장된 가스가 터지며 튜브처럼 부풀어 오른다.

센서가	센서/NNG+가/JKS
차체의	차체/NNG+의/JKG
충돌을	충돌/NNG+을/JKO
감지하면	감지/NNG+하/XSV+면/EC
안전벨트에	안전벨트/NNG+에/JKB
내장된	내장/NNG+되/XSV+ㄴ/ETM
가스가	가스/NNG+가/JKS
터지며	터지/VV+며/EC
튜브처럼	튜브/NNG+처럼/JKB
부풀어	부풀/VV+어/EC
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.36.7.3
이때 벨트의 폭은 평상시의 3배 이상으로 넓어진다.

이때	이때/NNG
벨트의	벨트/NNG+의/JKG
폭은	폭/NNG+은/JX
평상시의	평상시/NNG+의/JKG
