# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.59
metadata : {}


# id : NWRW1800000044.59.1.1
점유율 50% 선언…SKT 자충수 됐다

점유율	점유/NNG+율/XSN
50%	50/SN+%/SW
선언…SKT	선언/NNG+…/SE+SKT/SL
자충수	자충수/NNG
됐다	되/VV+었/EP+다/EF


# id : NWRW1800000044.59.2.1
[한겨레] ‘경쟁 활성화 걸림돌’ 인식 확산

[한겨레]	[/SS+한겨레/NNP+]/SS
‘경쟁	‘/SS+경쟁/NNG
활성화	활성/NNG+화/XSN
걸림돌’	걸림돌/NNG+’/SS
인식	인식/NNG
확산	확산/NNG


# id : NWRW1800000044.59.3.1
정부 “알뜰폰 사업자 지원 모색”

정부	정부/NNG
“알뜰폰	“/SS+알뜰/NNG+폰/NNG
사업자	사업자/NNG
지원	지원/NNG
모색”	모색/NNG+”/SS


# id : NWRW1800000044.59.4.1
경쟁업체들 가입자 빼가기 총력

경쟁업체들	경쟁업체/NNG+들/XSN
가입자	가입자/NNG
빼가기	빼/VV+어/EC+가/VV+기/ETN
총력	총력/NNG


# id : NWRW1800000044.59.5.1
에스케이텔레콤(SKT)의 ‘시장점유율 50% 고수’ 공개 선언이 자충수가 되고 있다.

에스케이텔레콤(SKT)의	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+의/JKG
‘시장점유율	‘/SS+시장/NNG+점유/NNG+율/XSN
50%	50/SN+%/SW
고수’	고수/NNG+’/SS
공개	공개/NNG
선언이	선언/NNG+이/JKS
자충수가	자충수/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.5.2
경쟁업체들이 “그럼 우린 뭐냐”고 ‘독기’를 내뿜고 있고, 정부 안에서는 에스케이텔레콤의 시장지배력을 낮춰야 한다는 견해가 퍼지고 있다.

경쟁업체들이	경쟁업체/NNG+들/XSN+이/JKS
“그럼	“/SS+그럼/MAJ
우린	우리/NP+ㄴ/JX
뭐냐”고	뭐/NP+이/VCP+냐/EF+”/SS+고/JKQ
‘독기’를	‘/SS+독기/NNG+’/SS+를/JKO
내뿜고	내뿜/VV+고/EC
있고,	있/VX+고/EC+,/SP
정부	정부/NNG
안에서는	안/NNG+에서/JKB+는/JX
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
시장지배력을	시장/NNG+지배력/NNG+을/JKO
낮춰야	낮추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
견해가	견해/NNG+가/JKS
퍼지고	퍼지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.5.3
에스케이텔레콤이 막강한 시장지배력을 바탕으로 시장구도를 좌지우지한다는 점에서다.

에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
막강한	막강/NNG+하/XSA+ㄴ/ETM
시장지배력을	시장/NNG+지배력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
시장구도를	시장/NNG+구도/NNG+를/JKO
좌지우지한다는	좌지우지/NNG+하/XSV+ㄴ다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000044.59.5.4
사회적 논란을 빚고 있는 휴대전화 보조금 경쟁을 요금인하 경쟁으로 전환하기 위해서라도 에스케이텔레콤의 시장지배력을 낮춰야 한다는 얘기도 덧붙는다.

사회적	사회/NNG+적/XSN
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
휴대전화	휴대/NNG+전화/NNG
보조금	보조금/NNG
경쟁을	경쟁/NNG+을/JKO
요금인하	요금/NNG+인하/NNG
경쟁으로	경쟁/NNG+으로/JKB
전환하기	전환/NNG+하/XSV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
시장지배력을	시장/NNG+지배력/NNG+을/JKO
낮춰야	낮추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
얘기도	얘기/NNG+도/JX
덧붙는다.	덧붙/VV+는다/EF+./SF


# id : NWRW1800000044.59.6.1
23일 미래창조과학부 관계자들의 말을 들어보면, 정부 안에서 에스케이텔레콤의 시장점유율이 50% 이상으로 유지되고 있는 게 이동통신 경쟁활성화의 가장 큰 걸림돌이란 인식이 확산되고 있다.

23일	23/SN+일/NNB
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
들어보면,	듣/VV+어/EC+보/VX+면/EC+,/SP
정부	정부/NNG
안에서	안/NNG+에서/JKB
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
시장점유율이	시장/NNG+점유/NNG+율/XSN+이/JKS
50%	50/SN+%/SW
이상으로	이상/NNG+으로/JKB
유지되고	유지/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
이동통신	이동/NNG+통신/NNG
경쟁활성화의	경쟁/NNG+활성/NNG+화/XSN+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
걸림돌이란	걸림돌/NNG+이/VCP+란/ETM
인식이	인식/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.6.2
미래부 김경만 통신정책과장은 “이동통신 사업자별로 빈익빈 부익부 모습이 심한 상황이 해소되면서 부가가치가 높은 새 산업을 개척해 선점하는 쪽으로 경쟁 패러다임이 발전해나가야 하는데, 에스케이텔레콤이 막강한 시장지배력을 앞세워 시장점유율 50%를 고수하겠다고 하면 어렵다”고 말했다.

미래부	미래부/NNG
김경만	김경만/NNP
통신정책과장은	통신/NNG+정책과장/NNG+은/JX
“이동통신	“/SS+이동/NNG+통신/NNG
사업자별로	사업자/NNG+별/XSN+로/JKB
빈익빈	빈익빈/NNG
부익부	부익부/NNG
모습이	모습/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
해소되면서	해소/NNG+되/XSV+면서/EC
부가가치가	부가/NNG+가치/NNG+가/JKS
높은	높/VA+은/ETM
새	새/MMA
산업을	산업/NNG+을/JKO
개척해	개척/NNG+하/XSV+아/EC
선점하는	선점/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
경쟁	경쟁/NNG
패러다임이	패러다임/NNG+이/JKS
발전해나가야	발전/NNG+하/XSV+아/EC+나가/VX+아야/EC
하는데,	하/VX+는데/EC+,/SP
에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
막강한	막강/NNG+하/XSA+ㄴ/ETM
시장지배력을	시장/NNG+지배력/NNG+을/JKO
앞세워	앞세우/VV+어/EC
시장점유율	시장/NNG+점유/NNG+율/XSN
50%를	50/SN+%/SW+를/JKO
고수하겠다고	고수/NNG+하/XSV+겠/EP+다고/EC
하면	하/VV+면/EC
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.7.1
앞서 박인식 에스케이텔레콤 사업총괄 사장은 지난 1월23일 기자간담회를 열어 “그동안 에스케이텔레콤은 시장점유율이 단 한번도 50% 이하로 떨어진 적이 없다.

앞서	앞서/MAG
박인식	박인식/NNP
에스케이텔레콤	에스케이텔레콤/NNP
사업총괄	사업/NNG+총괄/NNG
사장은	사장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월23일	1/SN+월/NNB+23/SN+일/NNB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“그동안	“/SS+그동안/NNG
에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
시장점유율이	시장/NNG+점유/NNG+율/XSN+이/JKS
단	단/MMA
한번도	한/MMN+번/NNB+도/JX
50%	50/SN+%/SW
이하로	이하/NNG+로/JKB
떨어진	떨어지/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.59.7.2
50%선을 절대 양보하지 않겠다”고 선언했다.

50%선을	50/SN+%/SW+선/NNG+을/JKO
절대	절대/MAG
양보하지	양보/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.8.1
미래부는 경쟁 활성화를 통한 국민 통신비 부담 완화를 위해 알뜰폰 사업자를 키워 에스케이텔레콤의 시장지배력을 낮추는 정책을 강화하고 있다.

미래부는	미래부/NNG+는/JX
경쟁	경쟁/NNG
활성화를	활성/NNG+화/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
국민	국민/NNG
통신비	통신비/NNG
부담	부담/NNG
완화를	완화/NNG+를/JKO
위해	위하/VV+아/EC
알뜰폰	알뜰/NNG+폰/NNG
사업자를	사업자/NNG+를/JKO
키워	키우/VV+어/EC
