# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.214
metadata : {}


# id : NWRW1800000045.214.1.1
[단독]성탄절 가석방 500명선… 장재구 前한국일보 회장 포함

[단독]성탄절	[/SS+단독/NNG+]/SS+성탄절/NNG
가석방	가/XPN+석방/NNG
500명선…	500/SN+명/NNB+선/NNG+…/SE
장재구	장재구/NNP
前한국일보	前/SH+한국일보/NNP
회장	회장/NNG
포함	포함/NNG


# id : NWRW1800000045.214.2.1
朴정부 출범후 지도층인사로는 처음

朴정부	朴/SH+정부/NNG
출범후	출범/NNG+후/NNG
지도층인사로는	지도/NNG+층/XSN+인사/NNG+로/JKB+는/JX
처음	처음/NNG


# id : NWRW1800000045.214.3.1
24일로 예정된 올해 성탄절 가석방 규모가 500명 안팎이 될 것으로 보인다.

24일로	24/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
올해	올해/NNG
성탄절	성탄절/NNG
가석방	가/XPN+석방/NNG
규모가	규모/NNG+가/JKS
500명	500/SN+명/NNB
안팎이	안팎/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.214.3.2
가석방 대상에는 박근혜 정부 출범 이후 사회지도층 인사로는 처음으로 장재구 전 한국일보 회장(68) 등이 포함된 것으로 전해졌다.

가석방	가/XPN+석방/NNG
대상에는	대상/NNG+에/JKB+는/JX
박근혜	박근혜/NNP
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
사회지도층	사회/NNG+지도/NNG+층/XSN
인사로는	인사/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
장재구	장재구/NNP
전	전/MMD
한국일보	한국일보/NNP
회장(68)	회장/NNG+(/SS+68/SN+)/SS
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
