# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.163
metadata : {}


# id : NWRW1800000054.163.1.1
특목고처럼… 일반고에도 '사배자(사회적 배려 대상자)' 전형 신설

특목고처럼…	특목고/NNG+처럼/JKB+…/SE
일반고에도	일반고/NNG+에/JKB+도/JX
'사배자(사회적	'/SS+사배자/NNG+(/SS+사회/NNG+적/XSN
배려	배려/NNG
대상자)'	대상자/NNG+)/SS+'/SS
전형	전형/NNG
신설	신설/NNG


# id : NWRW1800000054.163.2.1
앞으로 특성화고 학생은 내신성적이 아닌 소질과 적성에 따라 선발된다.

앞으로	앞/NNG+으로/JKB
특성화고	특성화고/NNG
학생은	학생/NNG+은/JX
내신성적이	내신/NNG+성적/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
소질과	소질/NNG+과/JC
적성에	적성/NNG+에/JKB
따라	따르/VV+아/EC
선발된다.	선발/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.163.2.2
입학 경쟁이 치열한 비평준화 지역 일반고에는 특목고·자사고(자율형사립고)처럼 '사회적 배려 대상자(사배자)' 전형이 신설된다.

입학	입학/NNG
경쟁이	경쟁/NNG+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
비평준화	비/XPN+평준/NNG+화/XSN
지역	지역/NNG
일반고에는	일반고/NNG+에/JKB+는/JX
특목고·자사고(자율형사립고)처럼	특목고/NNG+·/SP+자사고/NNG+(/SS+자율/NNG+형/XSN+사립고/NNG+)/SS+처럼/JKB
'사회적	'/SS+사회/NNG+적/XSN
배려	배려/NNG
대상자(사배자)'	대상자/NNG+(/SS+사배자/NNG+)/SS+'/SS
전형이	전형/NNG+이/JKS
신설된다.	신설/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.163.2.3
교육부는 22일 '고교 교육력 제고사업 지원 계획'을 발표하고 "자유학기제를 경험한 중학생이 내년부터 본격적으로 고등학교에 입학함에 따라, 일반고에 지원을 강화하고 고교 교육의 근본적 변화를 이끌어내겠다"고 밝혔다.

교육부는	교육부/NNG+는/JX
22일	22/SN+일/NNB
'고교	'/SS+고교/NNG
교육력	교육력/NNG
제고사업	제고/NNG+사업/NNG
지원	지원/NNG
계획'을	계획/NNG+'/SS+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
