# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.248
metadata : {}


# id : NWRW1800000041.248.1.1
[World Cup Brasil 2014]벼랑끝 알제리 “방패보다 창”

[World	[/SS+World/SL
Cup	Cup/SL
Brasil	Brasil/SL
2014]벼랑끝	2014/SN+]/SS+벼랑/NNG+끝/NNG
알제리	알제리/NNP
“방패보다	“/SS+방패/NNG+보다/JKB
창”	창/NNG+”/SS


# id : NWRW1800000041.248.2.1
최전방 자부-슬리마니-페굴리… 지역예선 팀 16골중 9골 합작 “과감한 공격으로 선제골 넣겠다”

최전방	최/XPN+전방/NNG
자부-슬리마니-페굴리…	자부/NNP+-/SO+슬리마니/NNP+-/SO+페굴리/NNP+…/SE
지역예선	지역/NNG+예선/NNG
팀	팀/NNG
16골중	16/SN+골/NNG+중/NNB
9골	9/SN+골/NNG
합작	합작/NNG
“과감한	“/SS+과감하/VA+ㄴ/ETM
공격으로	공격/NNG+으로/JKB
선제골	선제골/NNG
넣겠다”	넣/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000041.248.3.1
“공격밖에는 없습니다.”

“공격밖에는	“/SS+공격/NNG+밖에/JX+는/JX
없습니다.”	없/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000041.248.4.1
20일(한국 시간) 브라질 상파울루의 위성도시인 소로카바.

20일(한국	20/SN+일/NNB+(/SS+한국/NNP
시간)	시간/NNG+)/SS
브라질	브라질/NNP
상파울루의	상파울루/NNP+의/JKG
위성도시인	위성/NNG+도시/NNG+이/VCP+ㄴ/ETM
소로카바.	소로카바/NNP+./SF


# id : NWRW1800000041.248.4.2
알제리의 베이스캠프다.

알제리의	알제리/NNP+의/JKG
베이스캠프다.	베이스캠프/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.4.3
18일 벨기에와의 조별리그 1차전에서 1-2로 역전패를 당한 알제리는 이날 1시간 30분간 한국전을 대비한 훈련을 했다.

18일	18/SN+일/NNB
벨기에와의	벨기에/NNP+와/JKB+의/JKG
조별리그	조별/NNG+리그/NNG
1차전에서	1/SN+차전/NNB+에서/JKB
1-2로	1/SN+-/SO+2/SN+로/JKB
역전패를	역전패/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
알제리는	알제리/NNP+는/JX
이날	이날/NNG
1시간	1/SN+시간/NNB
30분간	30/SN+분/NNB+간/XSN
한국전을	한국전/NNG+을/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.4.4
알제리 선수들은 “한국을 상대로 과감한 공격을 시도해 한국보다 골을 먼저 넣겠다”고 입을 모았다.

알제리	알제리/NNP
선수들은	선수/NNG+들/XSN+은/JX
“한국을	“/SS+한국/NNP+을/JKO
상대로	상대/NNG+로/JKB
과감한	과감하/VA+ㄴ/ETM
공격을	공격/NNG+을/JKO
시도해	시도/NNG+하/XSV+아/EC
한국보다	한국/NNP+보다/JKB
골을	골/NNG+을/JKO
먼저	먼저/MAG
넣겠다”고	넣/VV+겠/EP+다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.5.1
1차전에서 벤치를 지켰지만 한국전에 선발 출전할 가능성이 높은 공격수 압델무멘 자부는 “한국은 스피드와 체력이 뛰어나지만 우리가 공격 능력을 발휘한다면 원하는 결과를 얻을 수 있을 것이다”고 말했다.

1차전에서	1/SN+차전/NNB+에서/JKB
벤치를	벤치/NNG+를/JKO
지켰지만	지키/VV+었/EP+지만/EC
한국전에	한국전/NNG+에/JKB
선발	선발/NNG
출전할	출전/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
공격수	공격수/NNG
압델무멘	압델무멘/NNP
자부는	자부/NNP+는/JX
“한국은	“/SS+한국/NNP+은/JX
스피드와	스피드/NNG+와/JC
체력이	체력/NNG+이/JKS
뛰어나지만	뛰어나/VA+지만/EC
우리가	우리/NP+가/JKS
공격	공격/NNG
능력을	능력/NNG+을/JKO
발휘한다면	발휘/NNG+하/XSV+ㄴ다면/EC
원하는	원/NNG+하/XSV+는/ETM
결과를	결과/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.5.2
중앙 수비수 마지드 부게라도 “수비에도 신경을 써야겠지만 공격수들의 공격이 더 중요하다”고 말했다.

중앙	중앙/NNG
수비수	수비수/NNG
마지드	마지드/NNP
부게라도	부게라/NNP+도/JX
“수비에도	“/SS+수비/NNG+에/JKB+도/JX
신경을	신경/NNG+을/JKO
써야겠지만	쓰/VV+어야/EC+하/VX+겠/EP+지만/EC
공격수들의	공격수/NNG+들/XSN+의/JKG
공격이	공격/NNG+이/JKS
더	더/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.6.1
승점 3이 필요한 알제리는 2차전에 세 명의 공격수를 투입할 계획이다.

승점	승점/NNG
3이	3/SN+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
알제리는	알제리/NNP+는/JX
2차전에	2/SN+차전/NNB+에/JKB
세	세/MMN
명의	명/NNB+의/JKG
공격수를	공격수/NNG+를/JKO
투입할	투입/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.6.2
알제리안TV의 축구 해설가인 모하메드 자말 씨는 “한국과의 2차전에 선발 출전할 선수들은 팀 내에서도 골 결정력이 높은 선수들이다.

알제리안TV의	알제리안TV/NNP+의/JKG
축구	축구/NNG
해설가인	해설가/NNG+이/VCP+ㄴ/ETM
모하메드	모하메드/NNP
자말	자말/NNP
씨는	씨/NNB+는/JX
“한국과의	“/SS+한국/NNP+과/JKB+의/JKG
2차전에	2/SN+차전/NNB+에/JKB
선발	선발/NNG
출전할	출전/NNG+하/XSV+ㄹ/ETM
선수들은	선수/NNG+들/XSN+은/JX
팀	팀/NNG
내에서도	내/NNB+에서/JKB+도/JX
골	골/NNG
결정력이	결정력/NNG+이/JKS
높은	높/VA+은/ETM
선수들이다.	선수/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.6.3
수비수와 미드필더들도 공격적인 성향의 선수들을 기용할 가능성이 높다”고 전망했다.

수비수와	수비수/NNG+와/JKB
미드필더들도	미드필더/NNG+들/XSN+도/JX
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
성향의	성향/NNG+의/JKG
선수들을	선수/NNG+들/XSN+을/JKO
기용할	기용/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.7.1
왼쪽 공격에는 자부, 중앙에는 이슬람 슬리마니 또는 엘 아라비 수다니, 오른쪽 공격에는 소피안 페굴리가 나서 한국 골문을 노린다.

왼쪽	왼쪽/NNG
공격에는	공격/NNG+에/JKB+는/JX
자부,	자부/NNP+,/SP
중앙에는	중앙/NNG+에/JKB+는/JX
이슬람	이슬람/NNG
슬리마니	슬리마니/NNP
또는	또는/MAG
엘	엘/NNP
아라비	아라비/NNP
수다니,	수다니/NNP+,/SP
오른쪽	오른쪽/NNG
소피안	소피안/NNP
페굴리가	페굴리/NNP+가/JKS
나서	나서/VV+어/EC
한국	한국/NNP
골문을	골문/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.248.7.2
‘알제리의 메시’로 불리는 자부는 양발을 모두 사용하며 정확한 슈팅이 장점이다.

‘알제리의	‘/SS+알제리/NNP+의/JKG
메시’로	메시/NNP+’/SS+로/JKB
불리는	불리/VV+는/ETM
자부는	자부/NNP+는/JX
양발을	양발/NNG+을/JKO
모두	모두/MAG
사용하며	사용/NNG+하/XSV+며/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
슈팅이	슈팅/NNG+이/JKS
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.7.3
프리킥도 곧잘 넣으며 세트피스 기회에서 전담 키커로 나설 가능성이 높다.

프리킥도	프리킥/NNG+도/JX
곧잘	곧잘/MAG
넣으며	넣/VV+으며/EC
세트피스	세트/NNG+피스/NNG
기회에서	기회/NNG+에서/JKB
전담	전담/NNG
키커로	키커/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.248.7.4
1차전에 후반 교체 출전했던 슬리마니는 키 188cm, 몸무게 81kg의 체격을 바탕으로 몸싸움과 공중전에 능하다.

1차전에	1/SN+차전/NNB+에/JKB
후반	후반/NNG
교체	교체/NNG
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
슬리마니는	슬리마니/NNP+는/JX
키	키/NNG
188cm,	188/SN+cm/SW+,/SP
몸무게	몸무게/NNG
81kg의	81/SN+kg/SW+의/JKG
체격을	체격/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
몸싸움과	몸싸움/NNG+과/JC
공중전에	공중전/NNG+에/JKB
능하다.	능하/VA+다/EF+./SF


# id : NWRW1800000041.248.7.5
페굴리는 드리블과 골 결정력이 뛰어나다.

페굴리는	페굴리/NNP+는/JX
드리블과	드리블/NNG+과/JC
골	골/NNG
결정력이	결정력/NNG+이/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000041.248.7.6
아프리카 예선전에서 알제리가 터뜨린 16골 중 이 세 명이 9골을 합작했다.

아프리카	아프리카/NNP
예선전에서	예선전/NNG+에서/JKB
알제리가	알제리/NNP+가/JKS
터뜨린	터뜨리/VV+ㄴ/ETM
16골	16/SN+골/NNG
중	중/NNB
이	이/MMD
세	세/MMN
명이	명/NNB+이/JKS
9골을	9/SN+골/NNG+을/JKO
합작했다.	합작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.248.8.1
무딘 공격을 보였던 1차전 상대 러시아와 달리 한국 수비수들이 고전할 가능성이 높다.

무딘	무디/VA+ㄴ/ETM
공격을	공격/NNG+을/JKO
보였던	보이/VV+었/EP+던/ETM
1차전	1/SN+차전/NNB
상대	상대/NNG
러시아와	러시아/NNP+와/JKB
달리	달리/MAG
한국	한국/NNP
수비수들이	수비수/NNG+들/XSN+이/JKS
고전할	고전/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.248.8.2
알제리안 프레스 에이전시 자멜 에딘 라시디 기자는 “러시아의 공격을 생각하고 알제리의 공격을 상대한다면 한국은 틀림없이 고전하게 될 것이다.

알제리안	알제리안/NNG
프레스	프레스/NNG
에이전시	에이전시/NNG
자멜	자멜/NNP
에딘	에딘/NNP
라시디	라시디/NNP
기자는	기자/NNG+는/JX
“러시아의	“/SS+러시아/NNP+의/JKG
공격을	공격/NNG+을/JKO
생각하고	생각/NNG+하/XSV+고/EC
알제리의	알제리/NNP+의/JKG
상대한다면	상대/NNG+하/XSV+ㄴ다면/EC
한국은	한국/NNP+은/JX
틀림없이	틀림없이/MAG
고전하게	고전/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.8.3
공격에 나설 선수들이 빠른 스피드를 이용한 돌파는 물론이고 중거리 슈팅도 능해 한국 수비수들이 러시아전 때보다 2배는 더 뛰어다녀야 할지 모른다”고 밝혔다.

공격에	공격/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
빠른	빠르/VA+ㄴ/ETM
스피드를	스피드/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
돌파는	돌파/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
중거리	중거리/NNG
슈팅도	슈팅/NNG+도/JX
능해	능하/VA+아/EC
한국	한국/NNP
수비수들이	수비수/NNG+들/XSN+이/JKS
러시아전	러시아전/NNG
때보다	때/NNG+보다/JKB
2배는	2/SN+배/NNG+는/JX
더	더/MAG
뛰어다녀야	뛰어다니/VV+어야/EC
할지	하/VX+ㄹ지/EF
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.248.8.4
알제리는 러시아전에서 수비에 문제를 드러낸 오른쪽 측면의 메흐디 모스테파를 중앙 미드필더로 옮길 계획이다.

알제리는	알제리/NNP+는/JX
러시아전에서	러시아전/NNG+에서/JKB
수비에	수비/NNG+에/JKB
문제를	문제/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
오른쪽	오른쪽/NNG
측면의	측면/NNG+의/JKG
메흐디	메흐디/NNP
모스테파를	모스테파/NNP+를/JKO
중앙	중앙/NNG
미드필더로	미드필더/NNG+로/JKB
옮길	옮기/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.248.8.5
그 자리는 공격적인 성향의 아이사 만디가 대신한다.

그	그/MMD
자리는	자리/NNG+는/JX
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
성향의	성향/NNG+의/JKG
아이사	아이사/NNP
만디가	만디/NNP+가/JKS
대신한다.	대신/NNG+하/XSV+ㄴ다/EF+./SF


