# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.312
metadata : {}


# id : NWRW1800000053.312.1.1
美합참 “한미동맹 강철같아… 한국 정치상황과 무관”

美합참	美/SH+합참/NNG
“한미동맹	“/SS+한미/NNP+동맹/NNG
강철같아…	강철/NNG+같/VA+아/EF+…/SE
한국	한국/NNP
정치상황과	정치/NNG+상황/NNG+과/JKB
무관”	무관/NNG+”/SS


# id : NWRW1800000053.312.2.1
이순진 합참과 20분 통화, “北도발 가능성 높아… 긴밀 공조”

이순진	이순진/NNP
합참과	합참/NNG+과/JKB
20분	20/SN+분/NNB
통화,	통화/NNG+,/SP
“北도발	“/SS+北/SH+도발/NNG
가능성	가능/NNG+성/XSN
높아…	높/VA+아/EF+…/SE
긴밀	긴밀/XR
공조”	공조/NNG+”/SS


# id : NWRW1800000053.312.3.1
이순진 합참의장과 조지프 던퍼드 미국 합참의장은 15일 북한의 도발 가능성이 높다는 데 의견을 같이하고 도발 시 즉시 대응할 수 있도록 공조하자는 데 뜻을 모았다.

이순진	이순진/NNP
합참의장과	합참/NNG+의장/NNG+과/JC
조지프	조지프/NNP
던퍼드	던퍼드/NNP
미국	미국/NNP
합참의장은	합참/NNG+의장/NNG+은/JX
15일	15/SN+일/NNB
북한의	북한/NNP+의/JKG
도발	도발/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
같이하고	같이/MAG+하/XSV+고/EC
시	시/NNB
즉시	즉시/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
공조하자는	공조/NNG+하/XSV+자는/ETM
뜻을	뜻/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.312.4.1
이날 오전 6시부터 20여 분간 통화에서 양국 의장은 한미 연합 독수리훈련 및 키리졸브 연습과 김일성 생일(4월 15일), 인민군 창건 기념일(4월 25일) 등 주요 행사들을 계기로 삼아 북한이 도발을 감행할 가능성이 매우 높다고 평가했다.

이날	이날/NNG
오전	오전/NNG
6시부터	6/SN+시/NNB+부터/JX
20여	20/SN+여/XSN
분간	분/NNB+간/XSN
통화에서	통화/NNG+에서/JKB
양국	양국/NNG
의장은	의장/NNG+은/JX
한미	한미/NNP
연합	연합/NNG
독수리훈련	독수리/NNG+훈련/NNG
및	및/MAG
키리졸브	키리졸브/NNG
연습과	연습/NNG+과/JC
김일성	김일성/NNP
생일(4월	생일/NNG+(/SS+4/SN+월/NNB
15일),	15/SN+일/NNB+)/SS+,/SP
인민군	인민군/NNG
창건	창건/NNG
기념일(4월	기념일/NNG+(/SS+4/SN+월/NNB
25일)	25/SN+일/NNB+)/SS
등	등/NNB
주요	주요/NNG
행사들을	행사/NNG+들/XSN+을/JKO
계기로	계기/NNG+로/JKB
삼아	삼/VV+아/EC
북한이	북한/NNP+이/JKS
도발을	도발/NNG+을/JKO
감행할	감행/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
매우	매우/MAG
높다고	높/VA+다고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.312.4.2
특히 올해는 김일성 생일 105주년으로 북한이 중시하는 ‘꺾어지는 해’(0이나 5로 끝나는 해)인 만큼 북한이 이동식 대륙간탄도미사일(ICBM)을 최초로 발사하는 등 초고강도 도발에 나설 가능성이 높다.

특히	특히/MAG
올해는	올해/NNG+는/JX
김일성	김일성/NNP
생일	생일/NNG
105주년으로	105/SN+주년/NNB+으로/JKB
북한이	북한/NNP+이/JKS
중시하는	중시/NNG+하/XSV+는/ETM
‘꺾어지는	‘/SS+꺾어지/VV+는/ETM
해’(0이나	해/NNG+’/SS+(/SS+0/SN+이나/JC
5로	5/SN+로/JKB
끝나는	끝나/VV+는/ETM
해)인	해/NNG+)/SS+이/VCP+ㄴ/ETM
만큼	만큼/NNB
이동식	이동식/NNG
대륙간탄도미사일(ICBM)을	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+을/JKO
최초로	최초/NNG+로/JKB
발사하는	발사/NNG+하/XSV+는/ETM
등	등/NNB
초고강도	초/XPN+고/XPN+강도/NNG
도발에	도발/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000053.312.4.3
북한은 지난해 4월 15일 김일성 생일을 맞아 중거리 탄도미사일 무수단을 최초로 시험 발사했다.

북한은	북한/NNP+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
15일	15/SN+일/NNB
김일성	김일성/NNP
생일을	생일/NNG+을/JKO
맞아	맞/VV+아/EC
중거리	중거리/NNG
탄도미사일	탄도/NNG+미사일/NNG
무수단을	무수단/NNP+을/JKO
최초로	최초/NNG+로/JKB
시험	시험/NNG
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.312.5.1
대통령 파면으로 남한의 상황이 혼란스러운 만큼 북한 도발 시 한미동맹이 제 기능을 못할 수 있다는 우려도 나온다.

대통령	대통령/NNG
파면으로	파면/NNG+으로/JKB
남한의	남한/NNP+의/JKG
상황이	상황/NNG+이/JKS
혼란스러운	혼란/NNG+스럽/XSA+ㄴ/ETM
만큼	만큼/NNB
북한	북한/NNP
도발	도발/NNG
시	시/NNB
한미동맹이	한미/NNP+동맹/NNG+이/JKS
제	저/NP+의/JKG
기능을	기능/NNG+을/JKO
못할	못/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.312.5.2
던퍼드 의장은 통화에서 “한국 정치 상황과 무관하게 한미동맹은 강철같이 강하다”며 굳건한 한미 연합 방위 태세를 강조했다.

던퍼드	던퍼드/NNP
의장은	의장/NNG+은/JX
통화에서	통화/NNG+에서/JKB
“한국	“/SS+한국/NNP
정치	정치/NNG
상황과	상황/NNG+과/JKB
무관하게	무관하/VA+게/EC
한미동맹은	한미/NNP+동맹/NNG+은/JX
강철같이	강철/NNG+같이/JKB
강하다”며	강하/VA+다/EF+”/SS+며/EC
굳건한	굳건하/VA+ㄴ/ETM
한미	한미/NNP
연합	연합/NNG
방위	방위/NNG
태세를	태세/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.312.6.1
한편 일본 오키나와에 주둔하는 미 3해병기동군 사령관 로런스 니컬슨 중장은 15일 이상훈 해병대사령관과 함께 백령도에 주둔 중인 해병대 6여단을 찾아 유사시 미 해병대 전력을 서북도서에 신속히 투입하겠다는 뜻을 밝혔다.

한편	한편/MAG
일본	일본/NNP
오키나와에	오키나와/NNP+에/JKB
주둔하는	주둔/NNG+하/XSV+는/ETM
미	미/NNP
3해병기동군	3/SN+해병/NNG+기동/NNG+군/NNG
사령관	사령관/NNG
로런스	로런스/NNP
니컬슨	니컬슨/NNP
중장은	중장/NNG+은/JX
15일	15/SN+일/NNB
이상훈	이상훈/NNP
해병대사령관과	해병대/NNG+사령관/NNG+과/JKB
함께	함께/MAG
백령도에	백령도/NNP+에/JKB
주둔	주둔/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
해병대	해병대/NNG
6여단을	6/SN+여단/NNG+을/JKO
찾아	찾/VV+아/EC
유사시	유사시/NNG
전력을	전력/NNG+을/JKO
서북도서에	서북/NNG+도서/NNG+에/JKB
신속히	신속히/MAG
투입하겠다는	투입/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


