# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.21
metadata : {}


# id : NWRW1800000054.21.1.1
[리퍼트·강인선의 워싱턴 Live] "제재·압박은 성과가 나기 전에는 실패로 보여… 북핵도 마찬가지"

[리퍼트·강인선의	[/SS+리퍼트/NNP+·/SP+강인선/NNP+의/JKG
워싱턴	워싱턴/NNP
Live]	Live/SL+]/SS
"제재·압박은	"/SS+제재/NNG+·/SP+압박/NNG+은/JX
성과가	성과/NNG+가/JKS
나기	나/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
실패로	실패/NNG+로/JKB
보여…	보이/VV+어/EC+…/SE
북핵도	북핵/NNG+도/JX
마찬가지"	마찬가지/NNG+"/SS


# id : NWRW1800000054.21.2.1
北에 대화가능성은 열어놓고 한반도 무기배치 등 압박 필요

北에	北/SH+에/JKB
대화가능성은	대화/NNG+가능/NNG+성/XSN+은/JX
열어놓고	열/VV+어/EC+놓/VX+고/EC
한반도	한반도/NNP
무기배치	무기/NNG+배치/NNG
등	등/NNB
압박	압박/NNG
필요	필요/NNG


# id : NWRW1800000054.21.3.1
마크 리퍼트 전 주한 미국 대사는 10일 한국에서 '미국의 대북 선제타격 임박설' 등 위기설이 등장하고 있는 것과 관련, "어느 정부나 군사 공격, 선제타격을 해야 하는 상황을 피하고 싶어 한다. 그럼에도 선제공격을 거론하기 시작했다면 상황이 매우 위험하다는 뜻"이라고 말했다.

마크	마크/NNP
리퍼트	리퍼트/NNP
전	전/MMD
주한	주한/NNG
미국	미국/NNP
대사는	대사/NNG+는/JX
10일	10/SN+일/NNB
한국에서	한국/NNP+에서/JKB
'미국의	'/SS+미국/NNP+의/JKG
대북	대북/NNG
선제타격	선제/NNG+타격/NNG
임박설'	임박설/NNG+'/SS
등	등/NNB
위기설이	위기설/NNG+이/JKS
등장하고	등장/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
관련,	관련/NNG+,/SP
"어느	"/SS+어느/MMD
정부나	정부/NNG+나/JC
군사	군사/NNG
공격,	공격/NNG+,/SP
선제타격을	선제/NNG+타격/NNG+을/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
상황을	상황/NNG+을/JKO
피하고	피하/VV+고/EC
싶어	싶/VX+어/EC
한다.	하/VX+ㄴ다/EF+./SF
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
선제공격을	선제공격/NNG+을/JKO
거론하기	거론/NNG+하/XSV+기/ETN
시작했다면	시작/NNG+하/XSV+았/EP+다면/EC
상황이	상황/NNG+이/JKS
매우	매우/MAG
위험하다는	위험/NNG+하/XSA+다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.3.2
리퍼트 전 대사는 지난달 '리퍼트-강인선 워싱턴 라이브' 녹화와 10일 추가 서면 인터뷰를 통해 "트럼프 정부가 대북 선제공격이 유일한 선택지가 되는 상황은 만들지 않아야 한다고 생각한다"면서 "전임 오바마 정부도 그걸 피하기 위해 전례 없는 고강도 유엔안보리 제재를 끌어내고 북한과 대화도 시도했다"고 말했다.

리퍼트	리퍼트/NNP
전	전/MMD
대사는	대사/NNG+는/JX
지난달	지난달/NNG
'리퍼트-강인선	'/SS+리퍼트/NNP+-/SO+강인선/NNP
워싱턴	워싱턴/NNP
라이브'	라이브/NNG+'/SS
녹화와	녹화/NNG+와/JC
10일	10/SN+일/NNB
추가	추가/NNG
서면	서면/NNG
인터뷰를	인터뷰/NNG+를/JKO
통해	통하/VV+아/EC
"트럼프	"/SS+트럼프/NNP
정부가	정부/NNG+가/JKS
대북	대북/NNG
선제공격이	선제공격/NNG+이/JKS
