# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.144
metadata : {}


# id : NWRW1800000021.144.1.1
킹이 된 빈민가 소년

킹이	킹/NNG+이/JKC
된	되/VV+ㄴ/ETM
빈민가	빈민가/NNG
소년	소년/NNG


# id : NWRW1800000021.144.2.1
1984년 12월 30일은 미국프로농구 최고 스타 르브론 제임스(24)의 생일이다.

1984년	1984/SN+년/NNB
12월	12/SN+월/NNB
30일은	30/SN+일/NNB+은/JX
미국프로농구	미국/NNP+프로/NNG+농구/NNG
최고	최고/NNG
스타	스타/NNG
르브론	르브론/NNP
제임스(24)의	제임스/NNP+(/SS+24/SN+)/SS+의/JKG
생일이다.	생일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.144.2.2
그의 어머니는 16세의 나이에 미혼모가 된 뒤 핏덩어리 아들을 어머니(제임스의 외할머니)에게 데리고 가 키웠다.

그의	그/NP+의/JKG
어머니는	어머니/NNG+는/JX
16세의	16/SN+세/NNB+의/JKG
나이에	나이/NNG+에/JKB
미혼모가	미혼모/NNG+가/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
핏덩어리	핏덩어리/NNG
아들을	아들/NNG+을/JKO
어머니(제임스의	어머니/NNG+(/SS+제임스/NNP+의/JKG
외할머니)에게	외할머니/NNG+)/SS+에게/JKB
데리고	데리/VV+고/EC
가	가/VV+아/EC
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.2.3
미국 오하이오 주 애크런의 한 빈민가에서 집세도 제때 낼 수 없는 곤궁한 생활이었다.

미국	미국/NNP
오하이오	오하이오/NNP
주	주/NNG
애크런의	애크런/NNP+의/JKG
한	한/MMN
빈민가에서	빈민가/NNG+에서/JKB
집세도	집세/NNG+도/JX
제때	제때/NNG
낼	내/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
곤궁한	곤궁/NNG+하/XSA+ㄴ/ETM
생활이었다.	생활/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.144.2.4
경찰 사이렌 소리와 총성 속에서 유년기를 보냈다.

경찰	경찰/NNG
사이렌	사이렌/NNG
소리와	소리/NNG+와/JC
총성	총성/NNG
속에서	속/NNG+에서/JKB
유년기를	유년기/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.2.5
학교 수업은 관심 밖이었다.

학교	학교/NNG
수업은	수업/NNG+은/JX
관심	관심/NNG
밖이었다.	밖/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.144.2.6
쇼핑센터를 배회하거나 집에서 컴퓨터 게임을 하느라 어떤 해에는 출석해야 될 160일 가운데 82일을 결석한 적도 있다.

쇼핑센터를	쇼핑센터/NNG+를/JKO
배회하거나	배회/NNG+하/XSV+거나/EC
집에서	집/NNG+에서/JKB
컴퓨터	컴퓨터/NNG
게임을	게임/NNG+을/JKO
하느라	하/VV+느라/EC
어떤	어떤/MMD
해에는	해/NNG+에/JKB+는/JX
출석해야	출석/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
160일	160/SN+일/NNB
가운데	가운데/NNG
82일을	82/SN+일/NNB+을/JKO
결석한	결석/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.144.3.1
하지만 고교 졸업 후 몇 해가 흘러 제임스는 어두운 과거의 기억이 남아 있던 그 거리에 22만5000달러(약 2억9000만 원)짜리 최고급 스포츠카 페라리를 몰고 나타났다.

하지만	하지만/MAJ
고교	고교/NNG
졸업	졸업/NNG
후	후/NNG
몇	몇/NR
해가	해/NNB+가/JKS
흘러	흐르/VV+어/EC
제임스는	제임스/NNP+는/JX
어두운	어둡/VA+ㄴ/ETM
과거의	과거/NNG+의/JKG
기억이	기억/NNG+이/JKS
남아	남/VV+아/EC
있던	있/VX+던/ETM
그	그/MMD
거리에	거리/NNG+에/JKB
22만5000달러(약	22/SN+만/NR+5000/SN+달러/NNB+(/SS+약/MMA
2억9000만	2/SN+억/NR+9000/SN+만/NR
원)짜리	원/NNB+)/SS+짜리/XSN
최고급	최/XPN+고급/NNG
스포츠카	스포츠카/NNG
페라리를	페라리/NNP+를/JKO
몰고	몰/VV+고/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.144.3.2
모교인 세인트빈센트 세인트메리 고교에서 생애 첫 미국프로농구 최우수선수(MVP) 트로피를 받기 위해서였다.

모교인	모교/NNG+이/VCP+ㄴ/ETM
세인트빈센트	세인트빈센트/NNP
세인트메리	세인트메리/NNP
고교에서	고교/NNG+에서/JKB
생애	생애/NNG
첫	첫/MMN
미국프로농구	미국/NNP+프로/NNG+농구/NNG
최우수선수(MVP)	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS
트로피를	트로피/NNG+를/JKO
받기	받/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.144.3.3
금의환향이었다.

금의환향이었다.	금의환향/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.144.4.1
제임스는 5일 발표된 정규시즌 MVP 투표에서 1172점을 얻어 코비 브라이언트(LA 레이커스·698점)를 제치고 1위를 차지했다.

제임스는	제임스/NNP+는/JX
5일	5/SN+일/NNB
발표된	발표/NNG+되/XSV+ㄴ/ETM
정규시즌	정규/NNG+시즌/NNG
MVP	MVP/SL
투표에서	투표/NNG+에서/JKB
1172점을	1172/SN+점/NNB+을/JKO
얻어	얻/VV+어/EC
코비	코비/NNP
브라이언트(LA	브라이언트/NNP+(/SS+LA/SL
레이커스·698점)를	레이커스/NNP+·/SP+698/SN+점/NNB+)/SS+를/JKO
제치고	제치/VV+고/EC
1위를	1/SN+위/NNB+를/JKO
