# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.274
metadata : {}


# id : NWRW1800000021.274.1.1
[충북]유네스코 직지상 상장… 전통한지-비단으로 제작

[충북]유네스코	[/SS+충북/NNP+]/SS+유네스코/NNP
직지상	직지/NNP+상/NNG
상장…	상장/NNG+…/SE
전통한지-비단으로	전통/NNG+한지/NNG+-/SO+비단/NNG+으로/JKB
제작	제작/NNG


# id : NWRW1800000021.274.2.1
다음 달 4일 시상하는 유네스코 직지상(賞)의 상장(賞狀)이 두루마리형 전통 한지와 비단으로 제작됐다.

다음	다음/NNG
달	달/NNG
4일	4/SN+일/NNB
시상하는	시상/NNG+하/XSV+는/ETM
유네스코	유네스코/NNP
직지상(賞)의	직지/NNP+상/NNG+(/SS+賞/SH+)/SS+의/JKG
상장(賞狀)이	상장/NNG+(/SS+賞狀/SH+)/SS+이/JKS
두루마리형	두루마리/NNG+형/XSN
전통	전통/NNG
한지와	한지/NNG+와/JC
비단으로	비단/NNG+으로/JKB
제작됐다.	제작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.274.2.2
충북 청주시는 섬유공예가 송재민 씨가 만든 황금색 비단을 바탕으로 한지장(충북도 무형문화재 제17호) 기능보유자인 안치용 씨가 전통기법으로 만든 한지에 유네스코 공식 문양, 직지 로고 등과 함께 상의 취지 등을 담은 문안을 인쇄했다고 26일 밝혔다.

충북	충북/NNP
청주시는	청주시/NNP+는/JX
섬유공예가	섬유/NNG+공예가/NNG
송재민	송재민/NNP
씨가	씨/NNB+가/JKS
만든	만들/VV+ㄴ/ETM
황금색	황금색/NNG
비단을	비단/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한지장(충북도	한지장/NNP+(/SS+충북도/NNP
무형문화재	무형/NNG+문화재/NNG
제17호)	제/XPN+17/SN+호/NNB+)/SS
기능보유자인	기능/NNG+보유자/NNG+이/VCP+ㄴ/ETM
안치용	안치용/NNP
전통기법으로	전통/NNG+기법/NNG+으로/JKB
한지에	한지/NNG+에/JKB
유네스코	유네스코/NNP
공식	공식/NNG
문양,	문양/NNG+,/SP
직지	직지/NNP
로고	로고/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
상의	상/NNG+의/JKG
취지	취지/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
문안을	문안/NNG+을/JKO
인쇄했다고	인쇄/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.274.2.3
이 상장은 아랫부분에 나무 봉을 넣고 윗부분에는 비단 수술을 단 두루마리형이다.

이	이/MMD
상장은	상장/NNG+은/JX
아랫부분에	아랫부분/NNG+에/JKB
나무	나무/NNG
봉을	봉/NNG+을/JKO
넣고	넣/VV+고/EC
윗부분에는	윗부분/NNG+에/JKB+는/JX
비단	비단/NNG
수술을	수술/NNG+을/JKO
단	달/VV+ㄴ/ETM
두루마리형이다.	두루마리/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.274.2.4
전체적으로는 조선시대 임금이 내리던 교지와 비슷한 형태이다.

전체적으로는	전체/NNG+적/XSN+으로/JKB+는/JX
조선시대	조선시대/NNG
임금이	임금/NNG+이/JKS
내리던	내리/VV+던/ETM
교지와	교지/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
형태이다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.274.2.5
상장 크기는 가로 40cm, 세로 110cm.

상장	상장/NNG
크기는	크기/NNG+는/JX
가로	가로/NNG
40cm,	40/SN+cm/SW+,/SP
세로	세로/NNG
110cm.	110/SN+cm/SW+./SF


# id : NWRW1800000021.274.3.1
상장을 디자인한 이길환 교수(주성대)는 “우리 전통문화의 우수성을 알리기 위해 전통 한지와 비단을 이용해 만들었다”며 “한지 상장 제작 과정 등을 영상에 담아 시상식에서 상영할 계획”이라고 말했다.

상장을	상장/NNG+을/JKO
디자인한	디자인/NNG+하/XSV+ㄴ/ETM
이길환	이길환/NNP
교수(주성대)는	교수/NNG+(/SS+주성대/NNP+)/SS+는/JX
“우리	“/SS+우리/NP
전통문화의	전통문화/NNG+의/JKG
우수성을	우수/NNG+성/XSN+을/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
전통	전통/NNG
한지와	한지/NNG+와/JC
비단을	비단/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
만들었다”며	만들/VV+었/EP+다/EF+”/SS+며/EC
“한지	“/SS+한지/NNG
상장	상장/NNG
제작	제작/NNG
과정	과정/NNG
등을	등/NNB+을/JKO
영상에	영상/NNG+에/JKB
담아	담/VV+아/EC
시상식에서	시상식/NNG+에서/JKB
상영할	상영/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


