# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.304
metadata : {}


# id : NWRW1800000036.304.1.1
UFC, 내년 5월 한국서 열린다

UFC,	UFC/SL+,/SP
내년	내년/NNG
5월	5/SN+월/NNB
한국서	한국/NNP+서/JKB
열린다	열리/VV+ㄴ다/EF


# id : NWRW1800000036.304.2.1
[한겨레] 아시아지사장 “고양시와 협의중”

[한겨레]	[/SS+한겨레/NNP+]/SS
아시아지사장	아시아/NNP+지사장/NNG
“고양시와	“/SS+고양시/NNP+와/JKB
협의중”	협의/NNG+중/NNB+”/SS


# id : NWRW1800000036.304.3.1
새로운 흥행 스포츠로 각광받고 있는 미국 이종격투기(UFC)가 내년 5월께 사상 처음으로 한국에서 개최된다.

새로운	새롭/VA+ㄴ/ETM
흥행	흥행/NNG
스포츠로	스포츠/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
미국	미국/NNP
이종격투기(UFC)가	이종/NNG+격투기/NNG+(/SS+UFC/SL+)/SS+가/JKS
내년	내년/NNG
5월께	5/SN+월/NNB+께/XSN
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
한국에서	한국/NNP+에서/JKB
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.304.4.1
유에프시의 아시아지사장 마크 피셔(미국)는 6일(한국시각) 라스베이거스에서 “현재 유에프시의 한국 개최 협의가 구체적으로 진행되고 있다”며 “늦어도 내년 5월엔 한국에서 세계적인 격투사들의 경기 모습을 직접 볼 수 있을 것”이라고 말했다.

유에프시의	유에프시/NNP+의/JKG
아시아지사장	아시아/NNP+지사장/NNG
마크	마크/NNP
피셔(미국)는	피셔/NNP+(/SS+미국/NNP+)/SS+는/JX
6일(한국시각)	6/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
라스베이거스에서	라스베이거스/NNP+에서/JKB
“현재	“/SS+현재/MAG
한국	한국/NNP
개최	개최/NNG
협의가	협의/NNG+가/JKS
구체적으로	구체/NNG+적/XSN+으로/JKB
진행되고	진행/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“늦어도	“/SS+늦/VA+어도/EC
내년	내년/NNG
