# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.215
metadata : {}


# id : NWRW1800000037.215.1.1
[휴지통]술만 취하면… 1000여차례 ‘허위 신고왕’

[휴지통]술만	[/SS+휴지통/NNG+]/SS+술/NNG+만/JX
취하면…	취하/VV+면/EC+…/SE
1000여차례	1000/SN+여/XSN+차례/NNG
‘허위	‘/SS+허위/NNG
신고왕’	신고왕/NNG+’/SS


# id : NWRW1800000037.215.2.1
“왜 출동 안하냐” 욕설 등 퍼부어 서울 60대 공무집행방해혐의 입건

“왜	“/SS+왜/MAG
출동	출동/NNG
안하냐”	안/MAG+하/VV+냐/EF+”/SS
욕설	욕설/NNG
등	등/NNB
퍼부어	퍼붓/VV+어/EC
서울	서울/NNP
60대	60/SN+대/NNB
공무집행방해혐의	공무/NNG+집행/NNG+방해/NNG+혐의/NNG
입건	입건/NNG


# id : NWRW1800000037.215.3.1
서울 노원구 중계동에 위치한 당현지구대에는 올 1월부터 반갑지 않은 신고 전화가 끊임없이 걸려왔다.

서울	서울/NNP
노원구	노원구/NNP
중계동에	중계동/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
당현지구대에는	당현지구대/NNP+에/JKB+는/JX
올	올/NNG
1월부터	1/SN+월/NNB+부터/JX
반갑지	반갑/VA+지/EC
않은	않/VX+은/ETM
신고	신고/NNG
전화가	전화/NNG+가/JKS
끊임없이	끊임없이/MAG
걸려왔다.	걸리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.215.3.2
신고 내용은 “동네 청소년들이 시끄럽게 한다” “옆집 자동차의 공회전 소리가 너무 심하다”는 등 사소한 것들이었다.

신고	신고/NNG
내용은	내용/NNG+은/JX
“동네	“/SS+동네/NNG
청소년들이	청소년/NNG+들/XSN+이/JKS
시끄럽게	시끄럽/VA+게/EC
한다”	하/VX+ㄴ다/EF+”/SS
“옆집	“/SS+옆집/NNG
자동차의	자동차/NNG+의/JKG
공회전	공회전/NNG
소리가	소리/NNG+가/JKS
너무	너무/MAG
심하다”는	심하/VA+다/EF+”/SS+는/ETM
등	등/NNB
사소한	사소하/VA+ㄴ/ETM
