# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.8
metadata : {}


# id : NWRW1800000049.8.1.1
[미래로 뛰는 한국기업]신소재 탄소섬유-폴리케톤 원천 기술력 자랑

[미래로	[/SS+미래/NNG+로/JKB
뛰는	뛰/VV+는/ETM
한국기업]신소재	한국/NNP+기업/NNG+]/SS+신/XPN+소재/NNG
탄소섬유-폴리케톤	탄소/NNG+섬유/NNG+-/SO+폴리케톤/NNG
원천	원천/NNG
기술력	기술력/NNG
자랑	자랑/NNG


# id : NWRW1800000049.8.2.1
효성은 스판덱스, 타이어코드 등 글로벌 1위 제품의 원천 기술력과 품질을 바탕으로 지속적 성장을 거듭하고 있다.

효성은	효성/NNP+은/JX
스판덱스,	스판덱스/NNG+,/SP
타이어코드	타이어/NNG+코드/NNG
등	등/NNB
글로벌	글로벌/NNG
1위	1/SN+위/NNB
제품의	제품/NNG+의/JKG
원천	원천/NNG
기술력과	기술력/NNG+과/JC
품질을	품질/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
지속적	지속/NNG+적/XSN
성장을	성장/NNG+을/JKO
거듭하고	거듭/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.2.2
2011년 국내 기업으로는 처음으로 탄소섬유를 개발해 본격 생산하고 있다.

2011년	2011/SN+년/NNB
국내	국내/NNG
기업으로는	기업/NNG+으로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
탄소섬유를	탄소/NNG+섬유/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
본격	본격/NNG
생산하고	생산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.2.3
2013년 엔지니어링 플라스틱 소재인 폴리케톤도 최초로 개발해 연 5만 t 규모 공장을 기초로 본격적인 글로벌 시장 공략에 나서고 있다.

2013년	2013/SN+년/NNB
엔지니어링	엔지니어링/NNG
플라스틱	플라스틱/NNG
소재인	소재/NNG+이/VCP+ㄴ/ETM
폴리케톤도	폴리케톤/NNG+도/JX
최초로	최초/NNG+로/JKB
개발해	개발/NNG+하/XSV+아/EC
연	연/NNG
5만	5/SN+만/NR
t	t/SW
규모	규모/NNG
공장을	공장/NNG+을/JKO
기초로	기초/NNG+로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
글로벌	글로벌/NNG
시장	시장/NNG
공략에	공략/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.3.1
효성이 자체 기술로 개발한 탄소섬유는 철에 비해 무게는 25% 수준에 불과하지만 강도는 10배 이상 강한 신소재다.

효성이	효성/NNP+이/JKS
자체	자체/NNG
기술로	기술/NNG+로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
탄소섬유는	탄소/NNG+섬유/NNG+는/JX
철에	철/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
무게는	무게/NNG+는/JX
25%	25/SN+%/SW
수준에	수준/NNG+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
강도는	강도/NNG+는/JX
10배	10/SN+배/NNG
이상	이상/NNG
강한	강하/VA+ㄴ/ETM
신소재다.	신/XPN+소재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.8.3.2
탄소섬유는 등산스틱, 골프채 등 레저용 제품과 함께 자동차용 구조재, 우주항공용 소재 등 철이 쓰이는 모든 곳에 사용될 수 있을 정도로 광범위한 사용처를 자랑한다.

탄소섬유는	탄소/NNG+섬유/NNG+는/JX
등산스틱,	등산/NNG+스틱/NNG+,/SP
골프채	골프채/NNG
등	등/NNB
레저용	레저/NNG+용/XSN
제품과	제품/NNG+과/JKB
함께	함께/MAG
자동차용	자동차/NNG+용/XSN
구조재,	구조재/NNG+,/SP
우주항공용	우주/NNG+항공/NNG+용/XSN
소재	소재/NNG
철이	철/NNG+이/JKS
쓰이는	쓰이/VV+는/ETM
모든	모든/MMN
곳에	곳/NNG+에/JKB
