# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.309
metadata : {}


# id : NWRW1800000030.309.1.1
"신공항 당장은 부적절" 金총리, 李대통령에게 보고

"신공항	"/SS+신/XPN+공항/NNG
당장은	당장/NNG+은/JX
부적절"	부적절/XR+"/SS
金총리,	金/SH+총리/NNG+,/SP
李대통령에게	李/SH+대통령/NNG+에게/JKB
보고	보고/NNG


# id : NWRW1800000030.309.2.1
•오늘 오후 3시 30분 발표

•오늘	•/SW+오늘/NNG
오후	오후/NNG
3시	3/SN+시/NNB
30분	30/SN+분/NNB
발표	발표/NNG


# id : NWRW1800000030.309.3.1
정부는 30일 동남권 신공항 입지 선정 결과를 발표한다.

정부는	정부/NNG+는/JX
30일	30/SN+일/NNB
동남권	동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
입지	입지/NNG
선정	선정/NNG
결과를	결과/NNG+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.309.3.2
경제성과 환경 분야 등에서 경남 밀양과 부산 가덕도 모두 일정 기준을 충족하지 못해 당장 신공항 건설에 착수하는 것은 적절치 않다는 결론을 내릴 것으로 알려졌다.

경제성과	경제/NNG+성/XSN+과/JC
환경	환경/NNG
분야	분야/NNG
등에서	등/NNB+에서/JKB
경남	경남/NNP
밀양과	밀양/NNP+과/JC
부산	부산/NNP
가덕도	가덕도/NNP
모두	모두/MAG
일정	일정/NNG
기준을	기준/NNG+을/JKO
충족하지	충족/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
당장	당장/NNG
신공항	신/XPN+공항/NNG
건설에	건설/NNG+에/JKB
착수하는	착수/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절치	적절하/VA+지/EC
않다는	않/VX+다는/ETM
결론을	결론/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.309.4.1
정부 핵심관계자는 29일 "김황식 국무총리가 이날 저녁 국무회의에 앞서 이명박 대통령에게 이 같은 결과가 나올 가능성이 크다는 보고를 한 것으로 안다"고 전했다.

정부	정부/NNG
핵심관계자는	핵심/NNG+관계자/NNG+는/JX
29일	29/SN+일/NNB
"김황식	"/SS+김황식/NNP
국무총리가	국무총리/NNG+가/JKS
이날	이날/NNG
저녁	저녁/NNG
국무회의에	국무/NNG+회의/NNG+에/JKB
앞서	앞서/VV+어/EC
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
이	이/NP
같은	같/VA+은/ETM
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
보고를	보고/NNG+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.309.4.2
이 대통령은 김 총리의 보고를 받은 뒤 "평가단의 최종 결과가 내일(30일) 나오면 그 결과를 보고 정부 차원에서 종합 판단을 한 뒤 최종 결론을 발표하라"고 지시했다고 한다.

이	이/NNP
대통령은	대통령/NNG+은/JX
김	김/NNP
총리의	총리/NNG+의/JKG
보고를	보고/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
"평가단의	"/SS+평가단/NNG+의/JKG
최종	최종/NNG
결과가	결과/NNG+가/JKS
내일(30일)	내일/MAG+(/SS+30/SN+일/NNB+)/SS
나오면	나오/VV+면/EC
그	그/MMD
결과를	결과/NNG+를/JKO
보고	보/VV+고/EC
정부	정부/NNG
차원에서	차원/NNG+에서/JKB
종합	종합/NNG
판단을	판단/NNG+을/JKO
한	하/VV+ㄴ/ETM
결론을	결론/NNG+을/JKO
발표하라"고	발표/NNG+하/XSV+라/EF+"/SS+고/JKQ
지시했다고	지시/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.309.4.3
정부 관계자는 "전면 백지화라기보다는 '장기적 관점에서 동남권 신공항이 필요하기는 하나 경제성·환경 측면에서 종합적으로 볼 때 당장 착수하는 것은 문제가 있다'는 식의 결론이 나올 가능성이 크다"고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"전면	"/SS+전면/NNG
백지화라기보다는	백지/NNG+화/XSN+이/VCP+라기/ETN+보다/JKB+는/JX
'장기적	'/SS+장기/NNG+적/XSN
관점에서	관점/NNG+에서/JKB
동남권	동남/NNG+권/XSN
신공항이	신/XPN+공항/NNG+이/JKS
필요하기는	필요/NNG+하/XSA+기/ETN+는/JX
하나	하/VX+나/EC
경제성·환경	경제/NNG+성/XSN+·/SP+환경/NNG
측면에서	측면/NNG+에서/JKB
종합적으로	종합/NNG+적/XSN+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
당장	당장/NNG
착수하는	착수/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다'는	있/VA+다/EF+'/SS+는/ETM
식의	식/NNB+의/JKG
결론이	결론/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.309.5.1
국토해양부 입지평가단은 30일 오후 3시 30분 정부과천청사에서 신공항 입지 선정을 놓고 경쟁을 벌여온 경남 밀양과 부산 가덕도에 대한 평가 결과를 공개한다.

국토해양부	국토/NNG+해양부/NNG
