# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.86
metadata : {}


# id : NWRW1800000046.86.1.1
"빠르게 발전한 한국 농업기술, 개도국 희망이 됐죠"

"빠르게	"/SS+빠르/VA+게/EC
발전한	발전/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
농업기술,	농업/NNG+기술/NNG+,/SP
개도국	개도국/NNG
희망이	희망/NNG+이/JKC
됐죠"	되/VV+었/EP+죠/EF+"/SS


# id : NWRW1800000046.86.2.1
유엔 식량농업유전자원위원회 의장 선출된 조창연 박사

유엔	유엔/NNP
식량농업유전자원위원회	식량/NNG+농업/NNG+유전자원/NNG+위원회/NNG
의장	의장/NNG
선출된	선출/NNG+되/XSV+ㄴ/ETM
조창연	조창연/NNP
박사	박사/NNG


# id : NWRW1800000046.86.3.1
"다 자라도 300㎏에 그치던 한우를 18개월 만에 600㎏으로 키워내고 있는 게 한국 축산입니다.

"다	"/SS+다/MAG
자라도	자라/VV+어도/EC
300㎏에	300/SN+㎏/SW+에/JKB
그치던	그치/VV+던/ETM
한우를	한우/NNG+를/JKO
18개월	18/SN+개월/NNB
만에	만/NNB+에/JKB
600㎏으로	600/SN+㎏/SW+으로/JKB
키워내고	키우/VV+어/EC+내/VX+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
한국	한국/NNP
축산입니다.	축산/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.86.3.2
유전자원 기술을 중심으로 농업에서의 다양한 성취를 인류와 나누는 일에 한국이 나설 차례지요."

유전자원	유전자원/NNG
기술을	기술/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
농업에서의	농업/NNG+에서/JKB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
성취를	성취/NNG+를/JKO
인류와	인류/NNG+와/JKB
나누는	나누/VV+는/ETM
일에	일/NNG+에/JKB
한국이	한국/NNP+이/JKS
나설	나서/VV+ㄹ/ETM
차례지요."	차례/NNG+이/VCP+지요/EF+./SF+"/SS


# id : NWRW1800000046.86.4.1
지난 22일 이탈리아 로마의 유엔 식량농업기구(FAO) 식량농업유전자원위원회(CGRFA) 총회에서 새 의장으로 선출된 농촌진흥청 축산과학원 조창연(54·사진) 박사는 "한국은 지난 반세기 동안 도약한 농업 기술만으로도 개발도상국들에 빛을 주고 있다"고 말했다.

지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
이탈리아	이탈리아/NNP
로마의	로마/NNP+의/JKG
유엔	유엔/NNP
식량농업기구(FAO)	식량/NNG+농업/NNG+기구/NNG+(/SS+FAO/SL+)/SS
식량농업유전자원위원회(CGRFA)	식량/NNG+농업/NNG+유전자원/NNG+위원회/NNG+(/SS+CGRFA/SL+)/SS
총회에서	총회/NNG+에서/JKB
새	새/MMA
의장으로	의장/NNG+으로/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
농촌진흥청	농촌/NNG+진흥청/NNG
축산과학원	축산/NNG+과학원/NNG
조창연(54·사진)	조창연/NNP+(/SS+54/SN+·/SP+사진/NNG+)/SS
박사는	박사/NNG+는/JX
"한국은	"/SS+한국/NNP+은/JX
반세기	반세기/NNG
동안	동안/NNG
도약한	도약/NNG+하/XSV+ㄴ/ETM
농업	농업/NNG
기술만으로도	기술/NNG+만/JX+으로/JKB+도/JX
개발도상국들에	개발/NNG+도상국/NNG+들/XSN+에/JKB
빛을	빛/NNG+을/JKO
주고	주/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.86.5.1
