# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.64
metadata : {}


# id : NWRW1800000041.64.1.1
中-인도 “국경분쟁 해법 조속 마련”

中-인도	中/SH+-/SO+인도/NNP
“국경분쟁	“/SS+국경/NNG+분쟁/NNG
해법	해법/NNG
조속	조속/XR
마련”	마련/NNG+”/SS


# id : NWRW1800000041.64.2.1
시진핑 주석-모디 총리 정상회담

시진핑	시진핑/NNP
주석-모디	주석/NNG+-/SO+모디/NNP
총리	총리/NNG
정상회담	정상/NNG+회담/NNG


# id : NWRW1800000041.64.3.1
시진핑(習近平) 중국 국가주석은 18일 나렌드라 모디 인도 총리를 만나 양국 간 국경 분쟁을 적절히 관리하고, 국경 지대의 평화와 안전에 대한 해결책을 빠른 시간 안에 찾기로 합의했다고 중국 관영 신화통신이 보도했다.

시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
18일	18/SN+일/NNB
나렌드라	나렌드라/NNP
모디	모디/NNP
인도	인도/NNP
총리를	총리/NNG+를/JKO
만나	만나/VV+아/EC
양국	양국/NNG
간	간/NNB
국경	국경/NNG
분쟁을	분쟁/NNG+을/JKO
적절히	적절히/MAG
관리하고,	관리/NNG+하/XSV+고/EC+,/SP
지대의	지대/NNG+의/JKG
평화와	평화/NNG+와/JC
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해결책을	해결책/NNG+을/JKO
빠른	빠르/VA+ㄴ/ETM
시간	시간/NNG
안에	안/NNG+에/JKB
찾기로	찾/VV+기/ETN+로/JKB
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
관영	관영/NNG
신화통신이	신화통신/NNP+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.4.1
인도 방문 이틀째인 이날 시 주석은 뉴델리 총리실 영빈관에서 90분간 공식 회담을 갖고 기자회견에서 성과를 설명했다.

인도	인도/NNP
방문	방문/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
이날	이날/NNG
시	시/NNP
주석은	주석/NNG+은/JX
뉴델리	뉴델리/NNP
총리실	총리실/NNG
영빈관에서	영빈관/NNG+에서/JKB
