# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.235
metadata : {}


# id : NWRW1800000022.235.1.1
별은… 죽음조차 빛난다;3일 잭슨 추도식 100만 인파 예상 死後 빌보드 앨범차트 1위로 등극

별은…	별/NNG+은/JX+…/SE
죽음조차	죽음/NNG+조차/JX
빛난다;3일	빛나/VV+ㄴ다/EF+;/SP+3/SN+일/NNB
잭슨	잭슨/NNP
추도식	추도식/NNG
100만	100/SN+만/NR
인파	인파/NNG
예상	예상/NNG
死後	死後/SH
빌보드	빌보드/NNP
앨범차트	앨범/NNG+차트/NNG
1위로	1/SN+위/NNB+로/JKB
등극	등극/NNG


# id : NWRW1800000022.235.2.1
내 장례식이 지상 최대의 쇼가 됐으면 좋겠다.

내	나/NP+의/JKG
장례식이	장례식/NNG+이/JKS
지상	지상/NNG
최대의	최대/NNG+의/JKG
쇼가	쇼/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000022.235.2.2
불꽃놀이도 하면 멋질 것 같다.

불꽃놀이도	불꽃놀이/NNG+도/JX
하면	하/VV+면/EC
멋질	멋지/VA+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000022.235.3.1
1992년 '팝의 제왕' 마이클 잭슨(Jackson)은 "장례식에 대해 생각해 본 적이 있느냐"는 기자의 질문에 예언처럼 답했다.

1992년	1992/SN+년/NNB
'팝의	'/SS+팝/NNG+의/JKG
제왕'	제왕/NNG+'/SS
마이클	마이클/NNP
잭슨(Jackson)은	잭슨/NNP+(/SS+Jackson/SL+)/SS+은/JX
"장례식에	"/SS+장례식/NNG+에/JKB
대해	대하/VV+아/EC
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐"는	있/VA+느냐/EF+"/SS+는/ETM
기자의	기자/NNG+의/JKG
질문에	질문/NNG+에/JKB
예언처럼	예언/NNG+처럼/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.3.2
제왕에게 작별을 고할 공개 추도식이 3일 치러질 예정이라고 CNN방송이 1일 보도했다.

제왕에게	제왕/NNG+에게/JKB
작별을	작별/NNG+을/JKO
고할	고하/VV+ㄹ/ETM
공개	공개/NNG
추도식이	추도식/NNG+이/JKS
3일	3/SN+일/NNB
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
CNN방송이	CNN/SL+방송/NNG+이/JKS
1일	1/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.3.3
잭슨의 시신은 2일 오전 LA를 출발해, 그가 '늙지 않는 소년'의 꿈을 키웠던 샌타바버라 카운티의 네버랜드 저택으로 옮겨진다.

잭슨의	잭슨/NNP+의/JKG
시신은	시신/NNG+은/JX
2일	2/SN+일/NNB
오전	오전/NNG
LA를	LA/SL+를/JKO
출발해,	출발/NNG+하/XSV+아/EC+,/SP
그가	그/NP+가/JKS
'늙지	'/SS+늙/VV+지/EC
않는	않/VX+는/ETM
소년'의	소년/NNG+'/SS+의/JKG
꿈을	꿈/NNG+을/JKO
키웠던	키우/VV+었/EP+던/ETM
샌타바버라	샌타바버라/NNP
카운티의	카운티/NNG+의/JKG
네버랜드	네버랜드/NNP
저택으로	저택/NNG+으로/JKB
옮겨진다.	옮기/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.235.3.4
차로 2시간 걸리는 네버랜드로 향하는 운구 행렬에는 리무진 30대가 동원된다.

차로	차/NNG+로/JKB
2시간	2/SN+시간/NNB
걸리는	걸리/VV+는/ETM
네버랜드로	네버랜드/NNP+로/JKB
향하는	향하/VV+는/ETM
운구	운구/NNG
행렬에는	행렬/NNG+에/JKB+는/JX
리무진	리무진/NNG
30대가	30/SN+대/NNB+가/JKS
동원된다.	동원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.235.3.5
잭슨은 유리관에 안치돼 이틀간 팬들과 마지막 인사를 나누게 된다.

잭슨은	잭슨/NNP+은/JX
유리관에	유리관/NNG+에/JKB
안치돼	안치/NNG+되/XSV+어/EC
이틀간	이틀/NNG+간/XSN
팬들과	팬/NNG+들/XSN+과/JKB
마지막	마지막/NNG
인사를	인사/NNG+를/JKO
나누게	나누/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.235.4.1
잭슨 가족의 변호사 브라이언 옥스먼(Oxman)은 "엔터테인먼트 사상 최대 인파가 모일 것"이라며 "최대 100만명이 모여들 것으로 보인다"고 말했다.

잭슨	잭슨/NNP
가족의	가족/NNG+의/JKG
변호사	변호사/NNG
브라이언	브라이언/NNP
옥스먼(Oxman)은	옥스먼/NNP+(/SS+Oxman/SL+)/SS+은/JX
"엔터테인먼트	"/SS+엔터테인먼트/NNG
사상	사상/NNG
최대	최대/NNG
인파가	인파/NNG+가/JKS
모일	모이/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"최대	"/SS+최대/NNG
100만명이	100/SN+만/NR+명/NNB+이/JKS
모여들	모여들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.4.2
TV 시청자까지 합하면 7억5000만명이 제왕의 마지막 행진을 지켜볼 것으로 예상된다.

TV	TV/SL
시청자까지	시청자/NNG+까지/JX
합하면	합/NNG+하/XSV+면/EC
7억5000만명이	7/SN+억/NR+5000/SN+만/NR+명/NNB+이/JKS
제왕의	제왕/NNG+의/JKG
마지막	마지막/NNG
행진을	행진/NNG+을/JKO
지켜볼	지켜보/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.235.4.3
1977년 엘비스 프레슬리 장례식 때는 7만5000명이 고향 테네시주 멤피스 거리를 메웠으며, 1997년 영국의 다이애나빈 장례식 때는 25만명이 런던 하이드파크에 운집했다.

1977년	1977/SN+년/NNB
엘비스	엘비스/NNP
프레슬리	프레슬리/NNP
장례식	장례식/NNG
때는	때/NNG+는/JX
7만5000명이	7/SN+만/NR+5000/SN+명/NNB+이/JKS
고향	고향/NNG
테네시주	테네시주/NNP
멤피스	멤피스/NNP
거리를	거리/NNG+를/JKO
메웠으며,	메우/VV+었/EP+으며/EC+,/SP
1997년	1997/SN+년/NNB
영국의	영국/NNP+의/JKG
다이애나빈	다이애나빈/NNP
25만명이	25/SN+만/NR+명/NNB+이/JKS
런던	런던/NNP
하이드파크에	하이드파크/NNP+에/JKB
운집했다.	운집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.5.1
추도식과 별도로 5일 가족과 친지만 참석하는 장례식이 치러질 예정이다.

추도식과	추도식/NNG+과/JKB
별도로	별도/NNG+로/JKB
5일	5/SN+일/NNB
가족과	가족/NNG+과/JC
친지만	친지/NNG+만/JX
참석하는	참석/NNG+하/XSV+는/ETM
장례식이	장례식/NNG+이/JKS
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.235.5.2
장지는 확정되지 않았다.

장지는	장지/NNG+는/JX
확정되지	확정/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.235.5.3
가족은 네버랜드를 고려하고 있으나, 화장하지 않은 시신을 정식 묘지가 아닌 곳에 묻는 것은 불법이기 때문에 최종적으로 의견을 조율 중이다.

가족은	가족/NNG+은/JX
네버랜드를	네버랜드/NNP+를/JKO
고려하고	고려/NNG+하/XSV+고/EC
있으나,	있/VX+으나/EC+,/SP
화장하지	화장/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
시신을	시신/NNG+을/JKO
정식	정식/NNG
묘지가	묘지/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
곳에	곳/NNG+에/JKB
묻는	묻/VV+는/ETM
것은	것/NNB+은/JX
불법이기	불법/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
최종적으로	최종/NNG+적/XSN+으로/JKB
의견을	의견/NNG+을/JKO
조율	조율/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.235.6.1
지난달 30일 확인된 잭슨의 유언장은 2002년 7월 7일자로 작성된 것으로, 재산의 40%는 어머니 캐서린에게, 또 40%는 세 자녀에게, 나머지 20%는 자선 기관에 돌아간다.

지난달	지난달/NNG
30일	30/SN+일/NNB
확인된	확인/NNG+되/XSV+ㄴ/ETM
잭슨의	잭슨/NNP+의/JKG
유언장은	유언장/NNG+은/JX
2002년	2002/SN+년/NNB
7월	7/SN+월/NNB
